source_id,relation,target_id,book_page,domain,provenance,note
C-IG02-IMMERSION-AS-ABSORPTION,contests,C-IG02-IMMERSION-AS-TRANSPORTATION,32-33,game-studies,text-anchored,"Canonical two-metaphor partition (challenge 1)"
PCIM-SALEN-ZIMMERMAN-2003,defines,C-IG02-IMMERSIVE-FALLACY,25-27,game-studies,text-anchored,"Immersive fallacy = mimetic-realism imperative critique"
PCIM-SALEN-ZIMMERMAN-2003,instances-in-text,C-IG02-IMMERSION-AS-ABSORPTION,26-27,game-studies,text-anchored,"Via Gorfinkel: 'one can get immersed in Tetris'"
PCIM-SALEN-ZIMMERMAN-2003,qualifies,GL-IG02-TETRIS,26-27,game-studies,text-anchored,"Tetris-as-immersive used to attack mimetic-realism imperative"
C-IG02-IMMERSIVE-FALLACY,contests,GL-IG02-TETRIS,27,game-studies,text-anchored,"Calleja: S+Z's Tetris move sidelines spatiality as defining feature"
PCIM-MURRAY-1998,defines,C-IG02-IMMERSION-AS-TRANSPORTATION,17-18,game-studies,text-anchored,"Murray = named ancestor of transportation-sense"
PCIM-RYAN-2001,extends,C-IG02-IMMERSION-AS-TRANSPORTATION,31-32,game-studies,text-anchored,"Spatial / textual-world immersion defends transportation-side"
PCIM-RYAN-2001,defines,C-IG02-METAPHORICALLY-HABITABLE-ENVIRONMENT,31-32,game-studies,text-anchored,"'Expanse to be immersed within ... a textual world'"
PCIM-SLATER-WILBUR-1997-SLATER-2003,defines,C-IG02-FIDELITY-DETERMINISM,20-22,presence-research,text-anchored,"Quadraphonic-orchestra example as paradigm of fidelity-determinism"
PCIM-SLATER-WILBUR-1997-SLATER-2003,defines,C-IG02-FORM-CONTENT-PARTITION,20-22,presence-research,text-anchored,"Slater 2003 form/content split critiqued"
C-IG02-FIDELITY-DETERMINISM,contests,C-IG02-INTERPRETIVE-COMPORTMENT,21,presence-research,text-anchored,"Heidegger p.21 cite mobilized against fidelity-determinism"
INT-HEIDEGGER-M,cites,C-IG02-INTERPRETIVE-COMPORTMENT,21,phenomenology,text-anchored,"Sole Heidegger cite in volume — Question Concerning Technology"
C-IG02-INTERPRETIVE-COMPORTMENT,awaits-ontological-grounding-in,Heidegger-BCAP-pipeline,21,phenomenology,anticipatory-projection,"Dissertation Layer A bridge — late-Heidegger here proxies for SZ-era apparatus"
PCIM-WITMER-SINGER-1998,defines,C-IG02-IMMERSION-AS-ABSORPTION,21,presence-research,text-anchored,"Witmer+Singer's psychological-envelopment inverts Slater+Wilbur"
PCIM-WITMER-SINGER-1998,contests,PCIM-SLATER-WILBUR-1997-SLATER-2003,21-22,presence-research,text-anchored,"Terminological inversion symptomatic of definitional confusion"
PCIM-LOMBARD-DITTON-1997,defines,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,23,presence-research,text-anchored,"Distilled from six characterizations"
PCIM-LOMBARD-DITTON-1997,defines,C-IG02-PERCEPTUAL-vs-PSYCHOLOGICAL-IMMERSION,23,presence-research,text-anchored,"Sub-partition under 'presence as immersion'"
INT-BOLTER-GRUSIN,defines,C-IG02-TRANSPARENT-IMMEDIACY,23,new-media,text-anchored,"Remediation logic-of-transparent-immediacy"
C-IG02-TRANSPARENT-IMMEDIACY,extends,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,23,new-media,text-anchored,"Theoretically adjacent but distinct concept-nodes"
PCIM-MCMAHAN-2003,instances-in-text,PCIM-LOMBARD-DITTON-1997,24,game-studies,text-anchored,"Myst III analysis applies L+D six categories"
PCIM-MCMAHAN-2003,qualifies,GL-IG02-MYST-III-EXILE,24,game-studies,text-anchored,"McMahan's social-realism analysis"
C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,contests,PCIM-MCMAHAN-2003,24-25,game-studies,text-anchored,"L+D framework operationalized = descriptive feature-listing"
PCIM-DOUGLAS-HARGADON-2001,defines,C-IG02-ATTENTIONAL-CONTINUUM,29-30,game-studies,text-anchored,"Within-frame schema vs. extra-textual perspective continuum"
PCIM-DOUGLAS-HARGADON-2001,contests,C-IG02-ERGODIC-NON-ERGODIC,29-30,game-studies,text-anchored,"Balzac-Dickens-Krantz-equals-Space-Invaders move collapses distinction"
PCIM-DOUGLAS-HARGADON-2001,instances-in-text,GL-IG02-SPACE-INVADERS,29,game-studies,text-anchored,"Space Invaders as cognitive-load immersion example"
PCIM-DOUGLAS-HARGADON-2001,cites,INT-NELL-V,29,game-studies,text-anchored,"Nell 1988 psychology-of-reading antecedent"
PCIM-BROWN-CAIRNS-2004,defines,C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,30-31,game-studies,text-anchored,"Three-degree ladder typology"
C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,qualifies,C-IG02-IMMERSION-AS-ABSORPTION,30-31,game-studies,text-anchored,"Levels 1-2 in absorption-sense"
C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,qualifies,C-IG02-IMMERSION-AS-TRANSPORTATION,30-31,game-studies,text-anchored,"Level 3 in transportation-sense — mixed metaphor critique"
INT-CAIRNS-ET-AL,extends,PCIM-BROWN-CAIRNS-2004,31,game-studies,text-anchored,"Cairns et al. 2006 quantification follow-on inherits mixed-metaphor"
PCIM-ERMI-MAYRA-2005,defines,C-IG02-SENSORY-CHALLENGE-IMAGINATIVE-IMMERSION,31-32,game-studies,text-anchored,"Sensory + challenge-based + imaginative tri-partition"
C-IG02-SENSORY-CHALLENGE-IMAGINATIVE-IMMERSION,extends,C-IG02-IMMERSION-AS-ABSORPTION,31-32,game-studies,text-anchored,"E+M derive immersion-meaning from child interviews — collapses to colloquial sense"
INT-MINSKY-M,defines,C-IG02-TELEPRESENCE,18,virtual-worlds-theory,text-anchored,"Minsky 1980 coined telepresence"
C-IG02-PRESENCE,extends,C-IG02-TELEPRESENCE,18-19,virtual-worlds-theory,text-anchored,"Presence-theory descends from telepresence"
INT-SHERIDAN-T,defines,C-IG02-VIRTUAL-PRESENCE,19,virtual-worlds-theory,text-anchored,"Sheridan 1992 coined virtual-presence; abandoned"
INT-HELD-DURLACH,qualifies,C-IG02-PRESENCE,19-22,virtual-worlds-theory,text-anchored,"Held+Durlach umbrella-usage dominant in field"
INT-IJSSELSTEIJN-RIVA,instances-in-text,C-IG02-PRESENCE,19-20,virtual-worlds-theory,text-anchored,"Equivalence-claim representative; critiqued as ontological-not-merely-terminological"
INT-IJSSELSTEIJN-RIVA,qualifies,GL-IG02-SECOND-LIFE,19-20,virtual-worlds-theory,text-anchored,"Second Life counter-evidence: designed nature not ignored"
C-IG02-AVATAR-ANCHORING,defines,C-IG02-METAPHORICALLY-HABITABLE-ENVIRONMENT,22-23 27-28,game-studies,text-anchored,"Avatar-anchoring as structural differentia of game-environment habitation"
C-IG02-AVATAR-ANCHORING,contests,C-IG02-PRESENCE-AS-NOETIC-CRITIQUE,22 29-30,virtual-worlds-theory,text-anchored,"System-recognition vs. noetic-imagination distinction"
GL-IG02-HALF-LIFE-2,instances-in-text,C-IG02-AVATAR-ANCHORING,26-27,game-studies,text-anchored,"Half-Life 2 paradigm of avatar-anchored transportation"
GL-IG02-TETRIS,contests,C-IG02-AVATAR-ANCHORING,27-28,game-studies,text-anchored,"Tetris non-habitable: no single-location embodiment"
GL-IG02-BEJEWELLED,contests,C-IG02-AVATAR-ANCHORING,27,game-studies,text-anchored,"Bejewelled non-habitable game class"
GL-IG02-ELISS,contests,C-IG02-AVATAR-ANCHORING,27,game-studies,text-anchored,"Eliss non-habitable game class"
C-IG02-FOUR-CHALLENGES,defines,P-IG02-CHALLENGE-1,32-33,game-studies,text-anchored,"Challenge 1 = absorption-vs-transportation"
C-IG02-FOUR-CHALLENGES,defines,P-IG02-CHALLENGE-2,32-33,game-studies,text-anchored,"Challenge 2 = ergodic-vs-non-ergodic"
C-IG02-FOUR-CHALLENGES,defines,P-IG02-CHALLENGE-3,32-33,game-studies,text-anchored,"Challenge 3 = technological determinism"
C-IG02-FOUR-CHALLENGES,defines,P-IG02-CHALLENGE-4,32-33,game-studies,text-anchored,"Challenge 4 = monolithic perspectives"
C-IG02-ATTENTIONAL-CONTINUUM,bridges-to-pipeline,IG-03-MODEL-macro-micro,33,game-studies,text-anchored,"Seeds Ch.3 macro/micro temporal-phase distinction"
C-IG02-METAPHORICALLY-HABITABLE-ENVIRONMENT,bridges-to-pipeline,IG-10-INCORPORATION,27-28,game-studies,text-anchored,"Proto-incorporation; the habitation-metaphor IG-10 thematizes"
INT-GRAU-O,cites,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,17 23-24,new-media,text-anchored,"Grau on calculated totalisation of medium"
INT-BAZIN-A,cites,C-IG02-PRESENCE,17-18,new-media,text-anchored,"Myth of Total Cinema as cinematic forerunner"
INT-SUTHERLAND-I,cites,C-IG02-PRESENCE,18,virtual-worlds-theory,text-anchored,"Ultimate Display as VR origin"
INT-LAUREL-B,cites,C-IG02-IMMERSION-AS-TRANSPORTATION,22 27,game-studies,text-anchored,"Laurel 1991 listed with Murray/Ryan/Carr on transportation-side"
INT-DOVEY-KENNEDY,instances-in-text,C-IG02-IMMERSION-AS-ABSORPTION,29,game-studies,text-anchored,"Use immersion/engagement interchangeably; time-economy framing too unspecific"
INT-WACHOWSKI,cites,C-IG02-IMMERSION-AS-TRANSPORTATION,25,new-media,text-anchored,"Neo-like-cyberpunk-romanticism diagnostic"
INT-AARSETH-E,defines,C-IG02-ERGODIC-NON-ERGODIC,22 29-30 33,game-studies,text-anchored,"Concept-source for distinction deployed throughout chapter (no in-chapter cite)"
PCIM-MURRAY-1998,bridges-to-pipeline,IG-10-INCORPORATION,17-18 22 27 32,game-studies,text-anchored,"Critique-and-rescue per IG-10 p.172 propagation: transportation-metaphor preserved under incorporation"
PCIM-RYAN-2001,bridges-to-pipeline,IG-05-SPATIAL,31-32,game-studies,text-anchored,"Critique-and-rescue: spatiality-as-defining-feature operationalized as full PIM dimension"
PCIM-SLATER-WILBUR-1997-SLATER-2003,replaces-prior-construct,C-IG02-IMMERSION-AS-TRANSPORTATION,20-22,presence-research,text-anchored,"Displace-and-replace: immersion-as-hardware vocabulary not reconstituted in incorporation"
PCIM-LOMBARD-DITTON-1997,replaces-prior-construct,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,23-25,presence-research,text-anchored,"Displace-and-replace: perceptual-illusion-of-non-mediation not preserved in incorporation"
PCIM-WITMER-SINGER-1998,replaces-prior-construct,C-IG02-IMMERSION-AS-ABSORPTION,21,presence-research,text-anchored,"Displace-and-replace: presence-questionnaire psychometrics not reconstituted"
PCIM-MCMAHAN-2003,replaces-prior-construct,PCIM-LOMBARD-DITTON-1997,24-25,game-studies,text-anchored,"Critique-and-supersede: three-fold classification superseded by six-dimensional PIM"
PCIM-SALEN-ZIMMERMAN-2003,concedes,C-IG02-IMMERSION-AS-ABSORPTION,25-27,game-studies,text-anchored,"Critique-and-supersede: anti-mimetic-realism insight preserved as resistance to fidelity-determinism"
PCIM-DOUGLAS-HARGADON-2001,concedes,C-IG02-ATTENTIONAL-CONTINUUM,29-30,game-studies,text-anchored,"Critique-and-supersede: continuum-insight rescued under macro/micro phase"
PCIM-BROWN-CAIRNS-2004,concedes,C-IG02-INVOLVEMENT-PREREQUISITE,30-31,game-studies,text-anchored,"Critique-and-supersede: involvement-as-prerequisite insight survives"
PCIM-ERMI-MAYRA-2005,concedes,C-IG02-SENSORY-CHALLENGE-IMAGINATIVE-IMMERSION,31-32,game-studies,text-anchored,"Critique-and-supersede: multidimensionality fully absorbed into six-dimensional PIM"
C-IG02-METAPHORICALLY-HABITABLE-ENVIRONMENT,awaits-ontological-grounding-in,Uexkull-Umwelt,22-23 27-28,phenomenology,anticipatory-projection,"Layer C bridge; singly-anchored (Gibson hypothesis falsified)"
C-IG02-AVATAR-ANCHORING,awaits-ontological-grounding-in,Uexkull-Funktionskreis,22-23 27-28,phenomenology,anticipatory-projection,"Layer C bridge; system-reactivity-to-player-location as proto-affordance loop"
C-IG02-NOETIC-vs-EXTRANOETIC,awaits-ontological-grounding-in,Phantasia-Cluster,22 29-30,phenomenology,anticipatory-projection,"Layer A bridge: phantasia-vs-pragmatic-perception articulation"
C-IG02-INTERPRETIVE-COMPORTMENT,bridges-to-pipeline,Dalton-dissertation,21,phenomenology,dissertation-instrument,"The one text-anchored proxy for ontological-grounding integration"
C-IG02-FOUR-CHALLENGES,bridges-to-pipeline,Dalton-dissertation,32-33,game-studies,dissertation-instrument,"Diagnostic checklist any dissertation immersion claim must answer"
