subject,stimulus,quantity,value,kind
S07,BOR,eye closure,1.10382257216,within-subject z
S07,BOR,pupil dilation,0.418577797671,within-subject z
S07,BOR,cognitive load,-1.12048834615,within-subject z
S07,BOR,HR,0.978740028813,within-subject z
S07,BOR,gaze deviation variance,1.02779282742,within-subject z
S07,BOR,gaze deviation (per-file baseline),0.71238004507,within-subject z
S07,CLC,eye closure,-0.845478649536,within-subject z
S07,CLC,pupil dilation,0.722695259009,within-subject z
S07,CLC,cognitive load,0.318625879864,within-subject z
S07,CLC,HR,0.0412437500199,within-subject z
S07,CLC,gaze deviation variance,-0.969672047031,within-subject z
S07,CLC,gaze deviation (per-file baseline),-1.14320082522,within-subject z
S07,INT,eye closure,-0.258343922628,within-subject z
S07,INT,pupil dilation,-1.14127305668,within-subject z
S07,INT,cognitive load,0.801862466282,within-subject z
S07,INT,HR,-1.01998377883,within-subject z
S07,INT,gaze deviation variance,-0.058120780387,within-subject z
S07,INT,gaze deviation (per-file baseline),0.430820780148,within-subject z
S07,BOR,boredom,9,self-report
S07,BOR,engagement,2,self-report
S07,BOR,sleep-fight,9,self-report
S07,BOR,fatigue before,3,self-report
S07,BOR,fatigue after,7,self-report
S07,CLC,boredom,6,self-report
S07,CLC,engagement,7,self-report
S07,CLC,sleep-fight,3,self-report
S07,CLC,fatigue before,4,self-report
S07,CLC,fatigue after,3,self-report
S07,INT,boredom,7,self-report
S07,INT,engagement,6,self-report
S07,INT,sleep-fight,6,self-report
S07,INT,fatigue before,4,self-report
S07,INT,fatigue after,3,self-report
