subject,stimulus,window,n_rows,mean_hz,median_hz,duration_s,pct_valid_eye,pct_hr_valid,crop_available,format_note
S01,BOR,crop,2178,2.97,2.994,732.9,90.4,100.0,True,ok
S01,CLC,crop,2179,2.971,2.994,733.0,95.4,100.0,True,ok
S01,INT,crop,1964,2.969,2.994,661.1,92.6,100.0,True,ok
S02,BOR,crop,2734,2.989,3.003,914.3,80.5,100.0,True,ok
S02,CLC,crop,2716,2.988,3.003,908.7,79.6,100.0,True,ok
S02,INT,crop,2648,2.988,3.003,885.8,93.7,100.0,True,ok
S03,BOR,crop,2115,2.988,3.003,707.4,82.3,100.0,True,ok
S03,CLC,crop,2403,2.988,3.003,803.8,93.7,100.0,True,xlsx-crop;
S03,INT,crop,2047,2.988,3.003,684.7,86.7,100.0,True,ok
S04,BOR,crop,2473,2.99,3.003,826.8,91.6,100.0,True,ok
S04,CLC,crop,2539,2.988,3.003,849.5,95.1,100.0,True,ok
S04,INT,crop,2649,2.988,3.003,886.3,94.8,100.0,True,ok
S05,BOR,crop,2371,2.988,3.003,793.3,21.2,98.1,True,ok
S05,CLC,crop,2202,2.986,3.003,737.0,86.5,92.6,True,ok
S05,INT,crop,2439,2.99,3.003,815.5,85.2,99.2,True,ok
S06,BOR,crop,2434,2.982,2.994,815.9,83.0,100.0,True,ok
S06,CLC,crop,84354,87.924,111.111,823.5,91.4,100.0,True,ok
S06,INT,crop,95079,99.129,125.0,801.9,89.1,100.0,True,ok
S07,BOR,crop,2900,2.977,2.994,973.7,56.2,100.0,True,dup-crop;
S07,CLC,crop,2618,2.979,2.994,878.5,93.1,100.0,True,ok
S07,INT,crop,2897,2.985,3.003,970.3,79.1,100.0,True,ok
S08,BOR,crop,2307,2.988,3.003,771.8,42.1,100.0,True,ok
S08,CLC,full,3615,3.318,3.003,1079.7,82.7,69.7,False,no-crop;full-fallback;
S08,INT,crop,2286,2.988,3.003,764.7,88.9,39.2,True,ok
