subject,stimulus,hr_mean,hrv_mean,gazevar_z,cog_z,pupil_z,dmn_z,palpha_z
S01,BOR,79.40725436179982,102.92502449311294,1.0834650995008646,0.2521846689042137,-0.33438212554763896,1.1384902374448544,0.9822472758548993
S01,CLC,77.10096374483709,121.37981681964207,-0.88753071525079,0.8497673518946312,1.1243438373019277,-0.4022721143539654,0.03460701182571965
S01,INT,76.24745417515275,111.83642729735236,-0.195934384250074,-1.1019520207988425,-0.7899617117542834,-0.7362181230908895,-1.0168542876806184
S02,BOR,68.30797366495976,95.89400998207756,-1.0645579486948464,-1.080825763732138,-1.1354708712705195,-0.5404124590793123,0.7951732417756636
S02,CLC,70.06516936671576,79.80121998564064,0.14493639739046535,0.8923527919457643,0.7494753488556187,1.153928912353024,0.32751656759350917
S02,INT,67.50264350453172,48.17780209365559,0.9196215513043757,0.1884729717863735,0.38599552241491386,-0.6135164532737117,-1.1226898093691777
S03,BOR,86.39007092198581,128.9036382288416,1.0755830110676892,-0.08217505081395808,-0.6335602707347717,-0.1745543094935844,0.5257688922600829
S03,CLC,87.95838535164378,91.06028345027048,-0.9015724589912455,1.0385520087969182,-0.5192527768508531,-0.9012308595067877,-1.1532075913509299
S03,INT,95.87787005373718,70.17406815876895,-0.17401055207643618,-0.9563769579829587,1.15281304758562,1.0757851690003741,0.6274386990908478
S04,BOR,98.4739183178326,77.58322561544682,0.8082908860103539,0.043066070854195,-1.0032196990245095,1.0333343059862266,0.5692052677515057
S04,CLC,95.9960614415124,53.86646041985033,-1.1182874569298784,0.9777711928756412,0.9967488880354378,-0.07038791438038623,0.5854571465593297
S04,INT,94.31898829747074,38.865365398641,0.3099965709195236,-1.0208372637298386,0.00647081098906554,-0.9629463916058407,-1.1546624143108377
S05,BOR,57.76665234207134,138.66311495620437,-0.09048364952093209,1.1346169200951823,-0.6608175451169256,1.1542925613496309,1.1502484491757332
S05,CLC,63.32482826300294,167.7544835342742,1.0421663873190552,-0.7530052637632901,-0.4896461606465571,-0.550565988292915,-0.6628532324135622
S05,INT,58.68181818181818,152.08639286346863,-0.9516827377981236,-0.3816116563318939,1.1504637057634826,-0.6037265730567146,-0.487395216762171
S06,BOR,92.29005751848808,63.8592830949055,-0.1662884066222616,0.48456849642150857,-1.02888726032021,0.5752816674365405,-0.6034598198040304
S06,CLC,89.53698698342698,62.5684998133817,1.0727187097891018,-1.1499708510334898,0.060523767255082996,0.5794164029683279,-0.5508410083136845
S06,INT,89.97355883002555,91.33532576804552,-0.9064303031668461,0.6654023546119813,0.9683634930651188,-1.1546980704048677,1.154300828117715
S07,BOR,93.25655172413794,114.22781280707272,1.027792303484402,-1.1204883321567443,0.4185777969682743,1.034487179096906,1.0812841487201146
S07,CLC,92.09854851031322,96.74795476270492,-0.969671552725398,0.31862587588606756,0.7226952577946796,-0.9615151359667766,-0.8915244508542064
S07,INT,90.7877114256127,64.42922456817398,-0.058120750759004636,0.8018624562706774,-1.1412730547629524,-0.07297204313012787,-0.18975969786590735
S08,BOR,89.37104464672736,56.86590760424794,-1.014687799530236,-1.1500540243042316,-1.1527178943250682,-0.3698595912810164,1.1099273284097149
S08,CLC,82.33412698412698,55.35563563144964,0.030054525477786736,0.4854067786937332,0.5177835014636982,-0.7623837271304067,-0.2791992837495807
S08,INT,81.75696767001115,70.84758735856575,0.9846332740524515,0.6646472456104984,0.634934392861366,1.1322433184114216,-0.8307280446601341
