source,relation,target,edge_domain,note,units
λόγος,explains,ψυχή (ζῷον λόγον ἔχον),existential,λόγος is the fundamental determination of the being of the human being,"FP1a,FP1b,FP2a"
ὁρισμός,depends_on,λόγος,ontological,ὁρισμός is a λόγος; definition is grounded in the structure of speech,"FP1a,FP1b"
ὁρισμός,explains,οὐσία,ontological,ὁρισμός as λόγος οὐσίας: definition discloses the being of beings,"FP1a,FP1b"
ὁρισμός,presupposes,πέρας,ontological,ὁρισμός as limitation presupposes πέρας as circumscription of being,FP1a
ὁρισμός,refines,γνωρισμός,ontological,ὁρισμός further determined as γνωρισμός: making-familiar with a being in its being,FP1a
λόγος,operationalizes,ἀποφαίνεσθαι,ontological,The genuine function of λόγος is ἀποφαίνεσθαι: bringing a matter to sight,"FP1a,SP1"
ζῷον λόγον ἔχον,presupposes,ζωή,ontological,The Greek definition presupposes ζωή as a mode of being (being-in-a-world),FP1a
κατηγορήματα,supports,ὁρισμός,logical,Predicables are the broader framework within which definition operates,FP1a
διαφορά,explains,οὐσία,logical,Differentia specifica predicated in quale essentiale -- addresses what the thing is,FP1a
συμβεβηκός,contrasts_with,διαφορά,logical,Accident (contingent) contrasts with differentia (essential predication),FP1a
φιλοσοφία,contrasts_with,διαλεκτική,methodological,Same subject matter but different τρόπος τῆς δυνάμεως; dialectic is limited,Intro
φιλοσοφία,contrasts_with,σοφιστική,methodological,Sophistic appears to be philosophy but is not (φαινομένη οὖσα δ' οὔ),Intro
philology,depends_on,φιλοσοφία,methodological,The philological aim depends on philosophical presuppositions,Intro
conceptuality,presupposes,ground of concepts,methodological,Concepts must be traced to the ground from which they arise,Intro
στέρησις,explains,being (constitutive determination),ontological,Privation is positively constitutive of being -- not mere absence,"Intro,SP2a"
λόγος,contrasts_with,φωνή,ontological,λόγος is not mere voice but disclosive speech revealing being-in-the-world,FP2a
λόγος,explains,κοινωνία,existential,λόγος establishes being-with-one-another (κοινωνία) in the πόλις,FP2a
πρᾶξις,depends_on,λόγος,ontological,The human ἔργον is πρακτική τοῦ λόγον ἔχοντος — praxis structured by λόγος,"FP2a,FP2b"
ψυχή,operationalizes,being-in-the-world,ontological,ψυχή is the ontological determination of living: being-in-a-world,"FP2a,FP2b,FP3c"
τέλειον,operationalizes,way-of-being,ontological,τέλειον is not a property but a mode of being itself (Met. Δ16),FP2b
τέλος,operationalizes,πέρας,ontological,τέλος has the determination of limit not aim or purpose,FP2b
τέλειον,presupposes,ἐντελέχεια,ontological,The τέλειον analysis grounds the fundamental concept ἐντελέχεια,FP2b
τελευτή,exemplifies,τέλειον,ontological,Death as being-gone-from-being-there is a carrying-over of τέλειον,FP2b
ἁπλῶς τέλειον,operationalizes,εὐδαιμονία,existential,Εὐδαιμονία is the ἁπλῶς τέλειον of being-there,FP2b
ψυχῆς ἐνέργεια κατ' ἀρετήν,operationalizes,ἀγαθόν,ontological,The formula for the ἀνθρώπινον ἀγαθόν arrived at via exclusion,FP2b
ἐντελέχεια,explains,ψυχή,ontological,The soul is ἐντελέχεια ἡ πρώτη of a body with the possibility of living,"FP2b,SP2a"
αὔταρκες,presupposes,being-with-one-another,existential,Self-sufficiency includes πόλις-relations not isolation,FP2b
σπουδαῖος,exemplifies,ἀρετή,existential,The serious one has taken being-possibility seriously and put it into work,FP2b
θεωρεῖν,exemplifies,ἐντελέχεια,ontological,θεωρεῖν is being-there's ownmost possibility the most genuine ἐντελέχεια,FP2b
ἀρετή,refines,ἐνέργεια,ontological,κατ' ἀρετήν further determines ἐνέργεια as fulfilling-itself,FP2b
τέλειον,supports,ἀγαθόν,ontological,The τέλειον analysis grounds the ἀγαθόν analysis,FP2b
ἀλήθεια / λόγος-as-πίστις,operationalizes,rhetoric as hermeneutic,rhetorical,Rhetoric as hermeneutic of being-there guided by λόγος as πίστις,FP3a
πίστις (threefold),operationalizes,λόγος/ἦθος/πάθος,rhetorical,Three modes of πίστις structure rhetorical speech,FP3a
δόξα,contrasts_with,ζήτησις,existential,δόξα is φάσις not βουλεύεσθαι — a yes-saying not a seeking,FP3b
δόξα,contrasts_with,ἐπιστήμη,existential,δόξα → ἐνδεχόμενον ἄλλως; ἐπιστήμη → ἀεί,FP3b
