subject,stimulus,measure,value
R2-01,BOR,gaze_deg_median,10.3674318998
R2-01,CLC,gaze_deg_median,9.94038766056
R2-01,INT,gaze_deg_median,9.16683540488
R2-02,BOR,gaze_deg_median,11.7541703009
R2-02,CLC,gaze_deg_median,9.01873745134
R2-02,INT,gaze_deg_median,10.463958266
R2-03,BOR,gaze_deg_median,10.987646576
R2-03,CLC,gaze_deg_median,9.66128945109
R2-03,INT,gaze_deg_median,13.6236949082
R2-04,BOR,gaze_deg_median,8.68092190582
R2-04,CLC,gaze_deg_median,7.87290470723
R2-04,INT,gaze_deg_median,6.38837779251
S01,BOR,gaze_deg_median,15.3543968349
S01,CLC,gaze_deg_median,7.08569107679
S01,INT,gaze_deg_median,9.19540975616
S02,BOR,gaze_deg_median,13.2915798551
S02,CLC,gaze_deg_median,10.5781568018
S02,INT,gaze_deg_median,14.4113764103
S03,BOR,gaze_deg_median,11.2522449133
S03,CLC,gaze_deg_median,11.5521456789
S03,INT,gaze_deg_median,10.3992882175
S04,BOR,gaze_deg_median,14.7654437423
S04,CLC,gaze_deg_median,16.0855301185
S04,INT,gaze_deg_median,12.285310819
S05,BOR,gaze_deg_median,11.2384910776
S05,CLC,gaze_deg_median,9.16401981223
S05,INT,gaze_deg_median,12.3392569554
S06,BOR,gaze_deg_median,20.1677068393
S06,CLC,gaze_deg_median,18.8398235053
S06,INT,gaze_deg_median,10.3553608906
S07,BOR,gaze_deg_median,13.6468679207
S07,CLC,gaze_deg_median,6.74802970029
S07,INT,gaze_deg_median,11.0763611109
S08,BOR,gaze_deg_median,14.7488036004
S08,CLC,gaze_deg_median,6.9558631527
S08,INT,gaze_deg_median,10.2664179002
R2-01,BOR,gaze_excursion_rate_10deg_per_min,31.191671489
R2-01,CLC,gaze_excursion_rate_10deg_per_min,40.7384463091
R2-01,INT,gaze_excursion_rate_10deg_per_min,41.3753056259
R2-02,BOR,gaze_excursion_rate_10deg_per_min,53.1631878443
R2-02,CLC,gaze_excursion_rate_10deg_per_min,49.4837564117
R2-02,INT,gaze_excursion_rate_10deg_per_min,44.7564956596
R2-03,BOR,gaze_excursion_rate_10deg_per_min,63.6154521098
R2-03,CLC,gaze_excursion_rate_10deg_per_min,56.4127480809
R2-03,INT,gaze_excursion_rate_10deg_per_min,81.2272439026
R2-04,BOR,gaze_excursion_rate_10deg_per_min,57.2114339274
R2-04,CLC,gaze_excursion_rate_10deg_per_min,38.6389263946
R2-04,INT,gaze_excursion_rate_10deg_per_min,31.4165520608
S01,BOR,gaze_excursion_rate_10deg_per_min,9.65971340122
S01,CLC,gaze_excursion_rate_10deg_per_min,16.6170066468
S01,INT,gaze_excursion_rate_10deg_per_min,13.8862417295
S02,BOR,gaze_excursion_rate_10deg_per_min,11.5503627536
S02,CLC,gaze_excursion_rate_10deg_per_min,14.8565353899
S02,INT,gaze_excursion_rate_10deg_per_min,9.48334938353
S03,BOR,gaze_excursion_rate_10deg_per_min,21.2890475908
S03,CLC,gaze_excursion_rate_10deg_per_min,22.3923209267
S03,INT,gaze_excursion_rate_10deg_per_min,25.9375337728
S04,BOR,gaze_excursion_rate_10deg_per_min,16.472751022
S04,CLC,gaze_excursion_rate_10deg_per_min,14.0559223228
S04,INT,gaze_excursion_rate_10deg_per_min,22.205372617
S05,BOR,gaze_excursion_rate_10deg_per_min,4.91634647385
S05,CLC,gaze_excursion_rate_10deg_per_min,18.7247622769
S05,INT,gaze_excursion_rate_10deg_per_min,16.4139756784
S06,BOR,gaze_excursion_rate_10deg_per_min,9.76706681355
S06,CLC,gaze_excursion_rate_10deg_per_min,26.44664226
S06,INT,gaze_excursion_rate_10deg_per_min,50.5039798383
S07,BOR,gaze_excursion_rate_10deg_per_min,9.12946256458
S07,CLC,gaze_excursion_rate_10deg_per_min,15.3666832096
S07,INT,gaze_excursion_rate_10deg_per_min,16.7583946571
S08,BOR,gaze_excursion_rate_10deg_per_min,2.54198050543
S08,CLC,gaze_excursion_rate_10deg_per_min,14.2031112218
S08,INT,gaze_excursion_rate_10deg_per_min,19.3028985735
