subject,stimulus,round,engaged_composite,boredom,engagement,composite,physiology_engaged,selfreport_bored,category
R2-01,BOR,2,-0.955708900606,8,2,A,False,True,concordant-bored
R2-02,BOR,2,-1.15224362287,9,1,A,False,True,concordant-bored
R2-03,BOR,2,-1.14230070554,3,6,A,False,False,reverse
R2-04,BOR,2,-0.962952869016,7,1,A,False,True,concordant-bored
S01,BOR,1,-1.04957977453,6,3,A,False,True,concordant-bored
S02,BOR,1,-0.455648208987,9,2,A,False,True,concordant-bored
S03,BOR,1,-0.795697637977,9,1,A,False,True,concordant-bored
S04,BOR,1,-0.452415184175,1,7,A,False,False,reverse
S05,BOR,1,-0.377394194106,9,2,A,False,True,concordant-bored
S06,BOR,1,-0.791319406952,4,5,A,False,False,reverse
S07,BOR,1,-0.941717593957,9,2,A,False,True,concordant-bored
S08,BOR,1,-1.08825263793,9,1,A,False,True,concordant-bored
R2-01,CLC,2,0.295794992633,6,4,A,True,True,divergent
R2-02,CLC,2,0.587909135954,8,4,A,True,True,divergent
R2-03,CLC,2,0.576356184451,1,8,A,True,False,concordant-engaged
R2-04,CLC,2,0.649480274681,2,3,A,True,False,concordant-engaged
S01,CLC,1,0.774808700231,3,5,A,True,False,concordant-engaged
S02,CLC,1,-0.689703824867,8,3,A,False,True,concordant-bored
S03,CLC,1,0.319203124083,3,7,A,True,False,concordant-engaged
S04,CLC,1,-0.243594276207,9,1,A,False,True,concordant-bored
S05,CLC,1,-0.264750418808,6,5,A,False,True,concordant-bored
S06,CLC,1,0.121369627746,6,3,A,True,True,divergent
S07,CLC,1,0.986476156338,6,7,A,True,True,divergent
S08,CLC,1,0.7695059262,7,3,A,True,True,divergent
R2-01,INT,2,0.659913907974,3,6,A,True,False,concordant-engaged
R2-02,INT,2,0.564334486916,7,6,A,True,True,divergent
R2-03,INT,2,0.565944521087,2,8,A,True,False,concordant-engaged
R2-04,INT,2,0.313472594335,3,7,A,True,False,concordant-engaged
S01,INT,1,0.274771074299,2,7,A,True,False,concordant-engaged
S02,INT,1,1.14535203385,3,6,A,True,False,concordant-engaged
S03,INT,1,0.476494513894,3,7,A,True,False,concordant-engaged
S04,INT,1,0.696009460382,3,7,A,True,False,concordant-engaged
S05,INT,1,0.642144612914,5,4,A,True,True,divergent
S06,INT,1,0.669949779206,8,2,A,True,True,divergent
S07,INT,1,-0.0447585623811,7,6,A,False,True,concordant-bored
S08,INT,1,0.318746711727,5,4,A,True,True,divergent
R2-01,BOR,2,-0.803298586533,8,2,B,False,True,concordant-bored
R2-02,BOR,2,-0.855491400699,9,1,B,False,True,concordant-bored
R2-03,BOR,2,-0.0683144347096,3,6,B,False,False,reverse
R2-04,BOR,2,-0.88639335843,7,1,B,False,True,concordant-bored
S01,BOR,1,-0.800387701582,6,3,B,False,True,concordant-bored
S02,BOR,1,-0.637642057872,9,2,B,False,True,concordant-bored
S03,BOR,1,-0.610598755439,9,1,B,False,True,concordant-bored
S04,BOR,1,-0.785850771082,1,7,B,False,False,reverse
S05,BOR,1,-0.672085118682,9,2,B,False,True,concordant-bored
S06,BOR,1,-0.937880309463,4,5,B,False,False,reverse
S07,BOR,1,-0.53018926129,9,2,B,False,True,concordant-bored
S08,BOR,1,-1.11792451697,9,1,B,False,True,concordant-bored
R2-01,CLC,2,-0.00730457640532,6,4,B,False,True,concordant-bored
R2-02,CLC,2,0.895354884944,8,4,B,True,True,divergent
R2-03,CLC,2,0.574812737548,1,8,B,True,False,concordant-engaged
R2-04,CLC,2,0.259541850043,2,3,B,True,False,concordant-engaged
S01,CLC,1,0.991636893632,3,5,B,True,False,concordant-engaged
S02,CLC,1,0.404178646934,8,3,B,True,True,divergent
S03,CLC,1,-0.0822512652309,3,7,B,False,False,reverse
S04,CLC,1,0.241981875425,9,1,B,True,True,divergent
S05,CLC,1,0.401385644109,6,5,B,True,True,divergent
S06,CLC,1,0.173030097253,6,3,B,True,True,divergent
S07,CLC,1,0.880518301414,6,7,B,True,True,divergent
S08,CLC,1,0.677079032511,7,3,B,True,True,divergent
R2-01,INT,2,0.810603162939,3,6,B,True,False,concordant-engaged
R2-02,INT,2,-0.0398634842448,7,6,B,False,True,concordant-bored
R2-03,INT,2,-0.506498302838,2,8,B,False,False,reverse
R2-04,INT,2,0.626851508387,3,7,B,True,False,concordant-engaged
S01,INT,1,-0.191249192049,2,7,B,False,False,reverse
S02,INT,1,0.233463410938,3,6,B,True,False,concordant-engaged
S03,INT,1,0.69285002067,3,7,B,True,False,concordant-engaged
S04,INT,1,0.543868895657,3,7,B,True,False,concordant-engaged
S05,INT,1,0.270699474573,5,4,B,True,True,divergent
S06,INT,1,0.76485021221,8,2,B,True,True,divergent
S07,INT,1,-0.350329040124,7,6,B,False,True,concordant-bored
S08,INT,1,0.440845484459,5,4,B,True,True,divergent
