source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-PIM,defines,C-INV,game-studies,1,35,calleja,PIM is the structural articulation of player involvement
C-PIM,defines,C-DIM-LAYERED,game-studies,1,37,calleja,layered + transparent property is constitutive of PIM
C-PIM,defines,C-DIM-MOD-SCAL,game-studies,2,45,calleja,modular + scalable is structural property of model
C-INV,defines,C-HIER,game-studies,1,35,calleja,three-tier hierarchy attention->involvement->presence/immersion
C-HIER,extends,C-ATT,game-studies,2,41,calleja,attention as prior cognitive substrate (Fan 2002; B+H 1994; S+W 2001)
C-INV,extends,C-PRESENCE-IMMERSION,game-studies,1,35,calleja,involvement is prerequisite to presence/immersion (referenced; presence/immersion targets are forward to Ch.10)
C-PIM,defines,C-MACRO,game-studies,1,38,calleja,macro phase = off-line involvement
C-PIM,defines,C-MICRO,game-studies,1,40,calleja,micro phase = in ludo res
C-MICRO,defines,C-IN-LUDO-RES,game-studies,2,40,calleja,subsection heading 'Micro-involvement: In Ludo Res'
C-MACRO,instances-in-text,G-ETW,game-studies,2,37,calleja,Empire: Total War commute/bedtime campaign-planning as macro paradigm
C-MICRO,instances-in-text,G-ETW,game-studies,2,37,calleja,Empire: Total War in-session army-control as micro paradigm
C-MACRO,cites,I-POELS,game-studies,3,38,calleja,Poels et al. 2010 'postgame experiences' corroboration
C-MICRO,extends,C-ERG,game-studies,1,41,calleja,Aarseth ergodicity reframed as dispositional readiness
C-ERG,operationalizes-via-game,G-RO,game-studies,2,42,calleja,Red Orchestra sniper covering a street
C-ERG,operationalizes-via-game,G-WOW,game-studies,2,42,calleja,WoW Ratchet-to-Feathermoon map-planning as cognitive-effort ergodicity
C-ERG,cites,I-AARSETH,game-studies,2,41,calleja,Cybertext 1997 source
C-ERG,extends,C-CYB,game-studies,3,41,calleja,Dovey + Kennedy cybernetic-circuit
C-INTERN,defines,C-KIN,game-studies,1,45,calleja,kinesthetic-internalization paradigm of attentional load reallocation
C-PIM,defines,C-KIN,game-studies,1,43,calleja,kinesthetic dimension paragraph
C-PIM,defines,C-SPA,game-studies,1,43,calleja,spatial dimension paragraph
C-PIM,defines,C-SHA,game-studies,1,43,calleja,shared dimension paragraph
C-PIM,defines,C-NAR,game-studies,1,43,calleja,narrative dimension paragraph
C-PIM,defines,C-AFF,game-studies,1,44,calleja,affective dimension paragraph
C-PIM,defines,C-LUD,game-studies,1,44,calleja,ludic dimension paragraph
C-SPA,operationalizes-via-game,G-PONG,game-studies,2,44,calleja,Pong as low-spatial contrast
C-SPA,operationalizes-via-game,G-OBL,game-studies,2,44,calleja,Oblivion as high-spatial contrast
C-SPA,operationalizes-via-game,G-HL2,game-studies,2,44,calleja,Half-Life 2 as high-spatial contrast
C-PIM,qualifies,C-WITT,game-studies,3,44,calleja,dimensions need not all be present at high intensity in every game
C-MC-EXC,contests,I-HUIZINGA,game-studies,1,46,calleja,magic-circle source critically excised
C-MC-EXC,contests,I-SZ,game-studies,1,47,calleja,Salen+Zimmerman magic-circle adoption critiqued
C-MC-EXC,contests,I-JUUL,game-studies,1,48,calleja,Juul's spatial-formal magic-circle refused for digital games
C-MC-EXC,operationalizes-via-game,G-FIFA09,game-studies,2,49,calleja,FIFA stadium-stands as non-navigable representational backdrop
C-MC-EXC,operationalizes-via-game,G-BF42,game-studies,2,49,calleja,Battlefield 1942 outside-combat-area as same case
C-MC-EXC,concedes,I-EHRMANN,game-studies,2,47,calleja,Ehrmann anti-Huizinga play/reality critique invoked
C-MC-EXC,concedes,I-TAYLOR,game-studies,2,51,calleja,Taylor 2006 ethnographic anti-magic-circle quoted
C-MC-EXC,concedes,I-PARGMAN-JAK,game-studies,2,51,calleja,Pargman+Jakobsson 2006 quoted
C-MC-EXC,concedes,I-COPIER,game-studies,3,51,calleja,Copier 2007 ethnographic precedent
C-LA-EXC,contests,I-SUITS,game-studies,1,49,calleja,Suits lusory-attitude refused
C-LA-EXC,operationalizes-via-game,G-GOLF,game-studies,2,50,calleja,digital-golf counter-example to Suits
C-LA-EXC,concedes,I-MALABY,game-studies,2,50,calleja,Malaby play-mode-vs-activity logical incoherence
C-FUN-EXC,contests,I-HUIZINGA,game-studies,1,51,calleja,Huizinga fun-essentialism critiqued
C-FUN-EXC,contests,I-CRAWFORD,game-studies,2,51,calleja,Crawford 'games are fun' exemplar critiqued
C-FUN-EXC,contests,I-KOSTER,game-studies,2,51,calleja,Koster 'games are fun' exemplar critiqued
C-FUN-EXC,concedes,I-MALABY,game-studies,2,52,calleja,Malaby fun-essentialism critique
C-FUN-EXC,concedes,I-DIBBELL,game-studies,3,52,calleja,Dibbell MMOG fun-vs-labor
C-FUN-EXC,concedes,I-STEIN,game-studies,3,52,calleja,Steinkuehler MMOG labor-and-tedium
C-FUN-EXC,concedes,I-YEE,game-studies,3,52,calleja,Yee MMOG labor empirical
C-METH-GT,cites,I-TAYLOR,qualitative-game-research-methods,2,36,calleja,methodological forebear named
C-METH-GT,cites,I-STEIN,qualitative-game-research-methods,2,36,calleja,methodological forebear named
C-METH-GT,cites,I-KLASTRUP,qualitative-game-research-methods,2,36,calleja,methodological forebear named
C-METH-GT,operationalizes-via-game,G-WOW,qualitative-game-research-methods,1,36,calleja,WoW as case-site
C-METH-GT,operationalizes-via-game,G-PS,qualitative-game-research-methods,1,36,calleja,Planetside as case-site
C-INV,replaces-prior-construct,C-FUN-EXC,game-studies,1,52,calleja,involvement displaces fun as analytic category
C-INV,replaces-prior-construct,C-LA-EXC,game-studies,1,51,calleja,involvement displaces Suits lusory attitude
C-INV,replaces-prior-construct,C-MC-EXC,game-studies,1,46,calleja,involvement displaces magic-circle as experiential bracket
C-KIN,bridges-to-pipeline,bowin-amt,game-studies,2,43,anticipatory-projection (dissertation),aisthesis-kinesis + dunamis/hexis grounding
C-KIN,awaits-ontological-grounding-in,aristotle-phantasia-cluster,game-studies,2,45,anticipatory-projection (dissertation),internalization = hexis actualization
C-KIN,maps-to-pentad-term,burke-agency,game-studies,2,43,anticipatory-projection (dissertation),kinesthetic -> Agency
C-KIN,bridges-to-pipeline,uexkull-foray,game-studies,2,43,anticipatory-projection (dissertation),kinesthetic <-> Funktionskreis
C-SPA,awaits-ontological-grounding-in,phantasia-cluster,game-studies,1,43,anticipatory-projection (dissertation),spatial <-> spatial phantasia / Hawhee + Papachristou
C-SPA,maps-to-pentad-term,burke-scene,game-studies,2,43,anticipatory-projection (dissertation),spatial -> Scene
C-SPA,bridges-to-pipeline,uexkull-foray,game-studies,1,43,anticipatory-projection (dissertation),spatial <-> Umwelt + Merkwelt/Wirkwelt
C-SHA,awaits-ontological-grounding-in,heidegger-bcap,game-studies,2,43,anticipatory-projection (dissertation),shared <-> Mitsein
C-SHA,maps-to-pentad-term,burke-agent,game-studies,2,43,anticipatory-projection (dissertation),shared -> Agent (with co-agent ratios)
C-SHA,bridges-to-pipeline,uexkull-foray,game-studies,3,43,anticipatory-projection (dissertation),shared <-> Umwelt-overlap
C-NAR,awaits-ontological-grounding-in,aristotle-poetics,game-studies,2,44,anticipatory-projection (dissertation),narrative <-> muthos/emplotment
C-NAR,maps-to-pentad-term,burke-act-purpose,game-studies,2,44,anticipatory-projection (dissertation),narrative -> Act + Purpose
C-AFF,awaits-ontological-grounding-in,aristotle-rhetoric-pathe,game-studies,1,44,anticipatory-projection (dissertation),affective <-> Aristotelian pathe
C-AFF,bridges-to-pipeline,gross-uncomfortable-situations,game-studies,1,44,anticipatory-projection (dissertation),affective <-> Gross 2017 situated-emotion
C-AFF,bridges-to-pipeline,uexkull-foray,game-studies,1,44,anticipatory-projection (dissertation),affective <-> Merktone/Wirktone
