subject,stimulus,quantity,value,kind
S08,BOR,eye openness,-1.15460221205,within-subject z
S08,BOR,pupil dilation,-1.15301104612,within-subject z
S08,BOR,cognitive load,-1.15412312571,within-subject z
S08,BOR,HR,1.04582932527,within-subject z
S08,BOR,gaze deviation variance,-0.876115912744,within-subject z
S08,BOR,gaze deviation median,-0.811702485591,within-subject z
S08,CLC,eye openness,0.56425124249,within-subject z
S08,CLC,pupil dilation,0.522430152958,within-subject z
S08,CLC,cognitive load,0.608682094616,within-subject z
S08,CLC,HR,-0.0990269808184,within-subject z
S08,CLC,gaze deviation variance,-0.213337223666,within-subject z
S08,CLC,gaze deviation median,-0.305383111102,within-subject z
S08,INT,eye openness,0.590350969565,within-subject z
S08,INT,pupil dilation,0.630580893157,within-subject z
S08,INT,cognitive load,0.545441031092,within-subject z
S08,INT,HR,-0.946802344456,within-subject z
S08,INT,gaze deviation variance,1.08945313641,within-subject z
S08,INT,gaze deviation median,1.11708559669,within-subject z
S08,BOR,boredom,9,self-report
S08,BOR,engagement,1,self-report
S08,BOR,sleep-fight,8,self-report
S08,BOR,fatigue before,7,self-report
S08,BOR,fatigue after,8,self-report
S08,CLC,boredom,7,self-report
S08,CLC,engagement,3,self-report
S08,CLC,sleep-fight,7,self-report
S08,CLC,fatigue before,6,self-report
S08,CLC,fatigue after,7,self-report
S08,INT,boredom,5,self-report
S08,INT,engagement,4,self-report
S08,INT,sleep-fight,5,self-report
S08,INT,fatigue before,4,self-report
S08,INT,fatigue after,6,self-report
