subject,stimulus,quantity,value,kind
S01,BOR,eye openness,0.904,physiology
S01,CLC,eye openness,0.954,physiology
S01,INT,eye openness,0.926,physiology
S01,BOR,pupil dilation,2.96459598529,physiology
S01,CLC,pupil dilation,3.21186217079,physiology
S01,INT,pupil dilation,2.88737145557,physiology
S01,BOR,cognitive load,0.571258327824,physiology
S01,CLC,cognitive load,0.599619768242,physiology
S01,INT,cognitive load,0.506990623727,physiology
S01,BOR,HR,79.4072543618,physiology
S01,CLC,HR,77.1009637448,physiology
S01,INT,HR,76.2474541752,physiology
S01,BOR,gaze deviation variance,0.0107842078986,physiology
S01,CLC,gaze deviation variance,0.00739283780075,physiology
S01,INT,gaze deviation variance,0.00858282465875,physiology
S01,BOR,gaze deviation median,0.148497449904,physiology
S01,CLC,gaze deviation median,0.11903780912,physiology
S01,INT,gaze deviation median,0.136257009847,physiology
S01,BOR,boredom,6,self-report
S01,CLC,boredom,3,self-report
S01,INT,boredom,2,self-report
S01,BOR,engagement,3,self-report
S01,CLC,engagement,5,self-report
S01,INT,engagement,7,self-report
S01,BOR,felt duration (min),15,self-report
S01,CLC,felt duration (min),20,self-report
S01,INT,felt duration (min),10,self-report
