source,relation,target,locus,note
bor-sec-13,bridges-to-fcm,fcm-04-first-form,"FCM §§19-23 book pp.78-105 (cf. Slaby p.107-108)","Slaby's §3.1 restates fcm-04's railway-station example and the twin structural moments (held in limbo / left empty) at high fidelity; compressed restatement, not extension (FAITHFUL-Slaby, p.107-108)."
bor-sec-13,bridges-to-fcm,fcm-05-second-form,"FCM §§24-28 book pp.106-131 (cf. Slaby p.108-112)","Slaby's §3.2 restates fcm-05's evening-invitation example and standing-Now analysis, adding the explicit gloss that the second form's emptiness is 'of our own making' via free choice vs. externally imposed situation — a minor sharpening of fcm-05's own C12 (FAITHFUL-Slaby, p.109-110)."
bor-sec-13,bridges-to-fcm,fcm-06-third-form,"FCM §§29-36 book pp.132-159 (cf. Slaby p.112-117)","Slaby's §3.3 restates fcm-06's core sequence (undifferentiated no one, telling-refusal-as-telling, entrancement by the threefold horizon, freedom announced in refusal) at high fidelity, then draws its payoff into explicit 'call'/'message' vocabulary echoing fcm-06's own 'telling announcement of possibilities left unexploited' (FAITHFUL-Slaby, p.114-116, cf. fcm-06 §4 p.141/GA p.212/pdf 82)."
bor-sec-13,bridges-to-fcm,fcm-07-particular-profound,"FCM §§37-38 book pp.160-168 (cf. Slaby p.117-119, contested)","(P/anticipatory-application) Slaby's own citations never reach FCM ch.5; this bridge is this unit's own extrapolation. Slaby's critique of Heidegger's demand that profound boredom's message be answered with resolute action implicitly rejects the very demand fcm-07 formalizes ('has man become boring to himself?', 'resolutely open himself again') even though Slaby's text targets fcm-06's closing pages, not fcm-07 directly."
bor-sec-13,treats-construct,profound/deep boredom (FCM 3rd form),p.112-117,"Culminating construct: undifferentiated no one, total meaninglessness of world, mode of unrelatedness (FAITHFUL-Slaby, p.113)."
bor-sec-13,treats-construct,being-bored-by (1st form),p.107-108,"Full reconstruction via railway-station and boring-book examples; held in limbo and left empty by a determinate external item (FAITHFUL-Slaby, p.107-108)."
bor-sec-13,treats-construct,being-bored-with (2nd form),p.108-112,"Full reconstruction via the evening-invitation example; self-forming, 'own-making' emptiness and the standing Now (FAITHFUL-Slaby, p.109-111)."
bor-sec-13,treats-construct,situational vs. trait/state boredom,p.103-104,"Existential orientation positioned as a middle ground between dispositional trait and momentary foreground intentional state; analogical, not a 1:1 mapping onto the psychological binary (FE, qualified by P/anticipatory-application)."
bor-sec-13,treats-construct,attentional disengagement / meta-awareness,p.106-107,"Dasein's default mode is 'being-away' (Weg-sein), non-attentive absorption; boredom intensifies active flight into distraction (FAITHFUL-Slaby, p.106-107)."
bor-sec-13,treats-construct,boredom-as-regulatory-signal (functional account),p.114-118,"Attenuated proto-signal reading: beings' 'telling refusal' is itself a 'telling' — reconstructed faithfully then judged over-extended by Slaby's own critique when it licenses a demand for resolute action (FAITHFUL-Slaby, qualified)."
bor-sec-13,treats-construct,monotony / meaninglessness,"p.101-102, 113","Draining of world/self significance, escalating across the three forms from a local item to the whole world (FAITHFUL-Slaby, p.101, 113)."
