source,relation,target,locus,note
ped-sec-33,treats-construct,cognitive load (extraneous vs germane),"p.5366-5368","Three-load model plus coherence/segmenting/generative-processing/pre-training principles applied to the CAVE design (FAITHFUL-De Back, p.5366-5368)."
ped-sec-33,treats-construct,presence (spatial/physical),"p.5369","Invoked exactly once, generically, via Heeter (1992) and Steuer (1992) to justify pre-training plus practice; explicitly not social presence (FAITHFUL-De Back, p.5369)."
ped-sec-33,treats-construct,embodiment / self-representation,"p.5367-5368, 5371-5372","Embodied 3D-mouse interaction, natural motions, tracked-glasses perspective switching; framed as amplifying collaborative learning within Dalgarno & Lee's learner-interaction feature group (FAITHFUL-De Back)."
ped-sec-33,treats-construct,engagement / flow,"p.5376-5377","Approximated only via unlabeled behavioral proxies (leader time, distance walked, head rotations, face time) framed as correlates of behavioral engagement, citing Lei et al. 2018 (FE, p.5376)."
ped-sec-33,treats-construct,learning outcomes: retention & transfer,"p.5375-5376","Study 1 (n=40) CAVE-vs-textbook gains, esp. low spatial ability; Study 2 (n=158) replication across group sizes and timing (FE, p.5375-5376)."
ped-sec-33,instances-in-text,collaborative learning (source's own term; non-canonical),"p.5367-5369","Operationalized procedurally (equal access, active/interdependent participation, visible interactions, turn-taking); not measured via any scale (FE, p.5367-5369)."
ped-sec-33,tests-condition,IVR (HMD),"p.5375-5376","Normalized from CAVE (source's own term); the plan's §3 axis has no dedicated CAVE column. Study 1 CAVE-vs-textbook; Study 2 within-IVR group-size/timing manipulation (FE, normalization flagged per Phase-1 conditionsNote)."
ped-sec-33,tests-condition,conventional instruction (control),"p.5375","Textbook learning arm of Study 1's two-arm comparison (n=40) (FE, p.5375)."
ped-sec-33,cites-cluster-author,ped-sec-04 (Dalgarno & Lee - Affordances),"p.5365-5366, 5369, 5378-5379","Primary theoretical-framework source throughout, directly engaged; cited here as '(2010)', a year discrepancy against ped-sec-04's manifest year of 2009 (FE, flagged not blocking)."
ped-sec-33,cites-cluster-author,ped-sec-05 (Fowler - Pedagogy),"p.5365-5366, 5378-5379","Second primary framework source, directly engaged for the design-for-learning approach and learning stages; cited here as '(2015)' against ped-sec-05's manifest year of 2014, an online-first/print discrepancy (FE, flagged not blocking)."
ped-sec-33,cites-cluster-author,ped-sec-08 (Parong & Mayer - Learning Science in IVR 2018),"p.5366-5367","Directly and repeatedly engaged for coherence/segmenting/generative-processing principles applied to IVR, incl. both of Parong & Mayer's 2018 experiments. CORRECTION: this task's suggested list named ped-sec-13 (Parong & Mayer 2020), which is NOT cited anywhere in this source; the correct target is ped-sec-08 (FE)."
ped-sec-33,cites-cluster-author,ped-sec-16 (Merchant et al. - Chemistry Desktop-3D),"p.5369","Cited once for the usability-self-efficacy-learning link (FAITHFUL-De Back, p.5369)."
ped-sec-33,extends-reading-of,ped-sec-04 (Dalgarno & Lee - Affordances),"p.5365-5366, 5369","Extends Dalgarno & Lee's general learning-affordances framework into IVR-specific, collaborative-setting design recommendations (FE, p.5365-5366)."
ped-sec-33,extends-reading-of,ped-sec-05 (Fowler - Pedagogy),"p.5365-5366, 5378-5379","Extends Fowler's design-for-learning approach with concrete IVR/CAVE implementation detail; paper's own framing throughout (FE, p.5378-5379)."
ped-sec-33,cites,"Mayer, Richard E. (multimedia learning, 2009/2014) (INTERLOCUTOR)","p.5366-5367, 5373, 5378-5379","External (non-cluster) interlocutor for cognitive-load and redundancy-principle content, cited extensively; distinct from ped-sec-07 (Mayer et al. 2022, 'Promise and Pitfalls'), which is NOT cited in this source (FAITHFUL-De Back)."
ped-sec-33,cites,"Heeter, Carrie (INTERLOCUTOR)",p.5369,"General/technological definition of presence, not social presence (FAITHFUL-De Back, p.5369)."
ped-sec-33,cites,"Steuer, Jonathan (INTERLOCUTOR)",p.5369,"General/technological definition of presence, not social presence (FAITHFUL-De Back, p.5369)."
ped-sec-33,cites,"Mayes, J.T. & Fowler, C.J. (INTERLOCUTOR)","p.5365-5366, 5372","Source of the three learning stages (conceptualization, construction, dialogue) structuring the CAVE task design (FAITHFUL-De Back)."
ped-sec-33,cites,"Sweller, John (INTERLOCUTOR)",p.5366,"Source of the three-load cognitive load model (intrinsic/extraneous/germane) (FAITHFUL-De Back, p.5366)."
ped-sec-33,cites,"Dillenbourg, Pierre (INTERLOCUTOR)",p.5367,"Source of the working definition of collaborative learning as two-or-more persons learning together (FAITHFUL-De Back, p.5367)."
ped-sec-33,cites,"Chodos, D. et al. (INTERLOCUTOR)","p.5375-5378","Prior fixed-category logging work for non-immersive 2D environments, explicitly extended by this paper's dynamic model (FAITHFUL-De Back)."
ped-sec-33,cites,"Fardinpour, A. & Reiners, T. (INTERLOCUTOR)","p.5375-5376, 5378","Prior conceptualization of automated goal-oriented-action analysis in VR, not previously implemented; implemented here (FAITHFUL-De Back)."
