subject,stimulus,round,window,baseline,n_samples,gaze_deg_median,gaze_deg_p90,gaze_deg_p95,gaze_deg_mean,gaze_horiz_range_deg,gaze_vert_median_deg,gaze_vert_p5_deg,gaze_pct_beyond_5deg,gaze_excursions_beyond_5deg,gaze_excursion_rate_5deg_per_min,gaze_pct_beyond_10deg,gaze_excursions_beyond_10deg,gaze_excursion_rate_10deg_per_min,gaze_pct_beyond_15deg,gaze_excursions_beyond_15deg,gaze_excursion_rate_15deg_per_min
R2-01,BOR,2,full,file,98511,10.3228259309,20.736151521,23.5779614629,11.5410204021,36.726285414,-0.215070714858,-15.0546135818,84.9894935591,524,30.6649828522,51.9464831339,545,31.8939230047,29.2627219295,384,22.4720485024
R2-01,BOR,2,r1matched,file,73442,11.317765014,21.1304435702,23.7011956646,12.2672098651,37.953164386,-1.34737967048,-14.8498335867,86.1060428638,396,30.2636322707,59.2167969282,438,33.4734114509,34.3522779881,323,24.6847303622
R2-01,CLC,2,full,file,120267,9.68911917591,18.7960908153,22.4005019355,10.4763627185,19.6238763817,0.723917018548,-17.4567401851,80.2481146117,818,47.5378731538,47.6581273333,686,39.8667249187,19.4957885372,382,22.1998380743
R2-01,CLC,2,r1matched,file,92209,9.21832195854,18.8830332535,22.0007313577,10.1333301829,18.376650127,1.80742836444,-16.628520942,76.3081694845,634,48.0035327571,45.6712468414,491,37.1762375138,19.6867984687,300,22.7146054056
R2-01,INT,2,full,file,112913,8.1949826344,19.7978829258,22.9294767675,9.92851073004,32.7672957577,-4.94665355003,-19.891195337,74.3218229965,909,53.2721711245,40.0343627395,710,41.6097266209,20.7035505212,451,26.4309671916
R2-01,INT,2,r1matched,file,85969,8.60962383933,20.1853831633,23.3724225917,10.1491427921,34.4464440465,-5.20906051991,-19.9551154753,73.4136723703,651,49.8462338758,41.3870115972,553,42.3424997439,22.0847049518,393,30.091505243
R2-02,BOR,2,full,file,90436,11.2682251372,20.0768886961,23.0219517136,11.9248139872,33.4129726582,-6.30968439515,-22.0546231054,86.0973506126,900,52.9865659578,57.5412446371,1000,58.8739621753,30.01017294,778,45.8039425724
R2-02,BOR,2,r1matched,file,64205,11.8127679321,21.1845283424,23.3522020371,12.3008324131,33.9318689859,-8.9557355365,-23.0648507352,86.4730161202,731,57.1369446918,59.9719648002,905,70.7372571081,34.4832956935,680,53.1506462249
R2-02,CLC,2,full,file,118755,8.05943593619,17.3379227317,20.6272845579,9.30145888337,24.5245546304,-4.77469272776,-21.1980898698,74.8128499853,1073,62.9100362912,36.8060292198,878,51.4771778785,16.7529788219,567,33.2432344614
R2-02,CLC,2,r1matched,file,90731,7.77599510036,17.0773743859,20.4573860546,9.10439388706,22.6827364393,-4.02936506625,-21.3161508496,75.6136270955,835,63.9568081113,34.3476871191,636,48.7144071363,15.4236148615,342,26.1954830827
R2-02,INT,2,full,file,120482,8.5753356659,20.1347990477,23.9073099095,10.2250471359,31.2873588875,-5.54629879871,-22.369235199,78.4789429126,891,52.1281537683,40.9505154297,724,42.3577815132,19.7041881775,497,29.077095873
R2-02,INT,2,r1matched,file,91937,8.52665812199,19.7694544019,23.8858725303,10.1644148105,32.0275491305,-5.71148928642,-20.8631322577,80.2865005384,748,57.1318488234,39.8294484266,592,45.2166504057,18.258155041,383,29.253339705
R2-03,BOR,2,full,file,109046,7.53598623463,16.6912286617,19.4431132574,8.61020348504,26.5055613673,2.70339052721,-9.03809003455,73.1498633604,1378,81.0185702471,32.0855418814,1015,59.6762328017,13.5896777507,441,25.9282942518
R2-03,BOR,2,r1matched,file,83865,8.10832796437,17.0336690424,19.4108818535,9.02580203527,27.0934998377,2.09523463131,-9.38062924052,75.3425147559,963,74.008718824,37.0559828295,895,68.7827656775,15.2232755023,396,30.4334918528
R2-03,CLC,2,full,file,131750,6.95410693035,14.2680942058,16.9067994758,7.73985027871,20.9392385846,-4.12664427927,-16.1337121368,67.0292220114,1856,95.3570677943,26.9897533207,1235,63.4514971584,8.24516129032,426,21.8869131899
R2-03,CLC,2,r1matched,file,104404,6.96123003459,14.4204665276,17.2999893536,7.8198631422,21.6105215302,-3.92724471343,-16.1862959553,67.4964560745,1483,95.9018511355,27.2202214475,934,60.3994126504,8.6548408107,345,22.3102755507
R2-03,INT,2,full,file,117432,6.96933605704,15.1684820201,17.7154895812,7.99323700389,24.7661268717,-7.57357472726,-18.544954465,68.3084678793,1741,101.958638525,28.4777573404,1301,76.1908034011,10.4298657947,639,37.4219241916
R2-03,INT,2,r1matched,file,89773,6.77639381071,14.7526489128,17.0582982244,7.74800618068,24.9345742056,-8.02409034185,-17.8929325675,66.6514430842,1398,106.916817281,27.6463970236,1061,81.1435930866,9.30792108986,541,41.3748198491
R2-04,BOR,2,full,file,112134,6.99954431781,16.9991785964,20.2235638309,8.42483973441,24.0755332323,4.31948599966,-10.5751238248,70.551304689,1094,64.7922450482,28.7950131093,724,42.8789629021,13.3295878146,316,18.7151274545
R2-04,BOR,2,r1matched,file,85296,7.58004162621,17.6867585182,20.9724064765,9.01040963983,26.1106188602,4.04422039936,-11.7147606725,72.2894391296,860,66.7331124992,33.3556087038,627,48.6530948104,15.6560682799,284,22.0374464532
R2-04,CLC,2,full,file,121001,6.30281014664,17.4377527029,21.1149697066,8.26497931795,23.4369136336,3.81815250167,-13.2420792702,62.2565102768,975,54.91684145,29.8187618284,623,35.0904535624,14.4172362212,301,16.9538146425
R2-04,CLC,2,r1matched,file,94469,6.45337409863,17.9428492363,21.6384786329,8.46350607602,24.3746284189,4.34754997411,-13.3085757701,62.8131979803,702,51.0391109181,31.7956154929,496,36.0618219592,15.5024399538,238,17.3038581175
R2-04,INT,2,full,file,114702,6.01256531367,15.583143569,19.9133989741,7.61381538917,23.7240108947,0.25047940568,-12.6277613302,61.877735349,1117,65.3487684394,22.7162560374,491,28.7253762791,10.6920541926,228,13.3388712661
R2-04,INT,2,r1matched,file,87357,5.63867862256,15.2589234558,19.9366828184,7.3691460353,24.6856068692,-0.0961698249051,-11.9226988658,58.1922456128,972,74.2479951838,21.5735430475,376,28.7214466966,10.3391828932,182,13.9024023904
S01,BOR,1,crop,file,1970,8.67106147658,20.9005990223,23.3613621329,10.441845326,36.792386083,-12.3605298254,-22.3990305522,75.8375634518,157,12.8523305423,43.1472081218,208,17.0272914191,25.5329949239,167,13.6709503221
S01,CLC,1,crop,file,2079,6.95378767323,17.3254509465,20.5191047535,8.52010677118,23.2764043027,-2.35043242601,-18.1860172034,68.1096681097,239,19.5638649684,27.9461279461,204,16.6988638224,14.6705146705,140,11.460004584
S01,INT,1,crop,file,1819,7.80660633667,17.8855848761,21.6445586398,9.31737964586,29.9767086849,-5.7383126617,-20.6786061446,73.7768004398,145,13.1601637306,37.8779549203,163,14.7938392282,16.7124793843,115,10.4373712346
S02,BOR,1,crop,file,2201,10.5052548397,20.121080333,23.968823621,11.6252589262,36.6897546064,-7.702116134,-22.7720601203,81.8718764198,138,9.05653443178,53.2939572921,235,15.4223593585,24.5797364834,182,11.9441251202
S02,CLC,1,crop,file,2161,9.57757293335,20.8114823043,25.1978259973,11.2363677066,27.232640666,-4.18581670916,-25.1495201936,80.286904211,166,10.9608216655,47.38546969,215,14.1962449281,22.3044886627,169,11.158908804
S02,INT,1,crop,file,2481,9.54425971485,21.1922009288,26.0292056991,11.310298798,36.3558717643,-10.3747435279,-27.3812618421,81.056025796,172,11.6509720998,47.0374848851,259,17.5441963595,21.4429665457,185,12.5315688282
S03,BOR,1,crop,file,1740,11.2068374841,21.2495104361,25.8515566743,12.4083657398,32.9365205427,0.22923772207,-16.1407606677,83.9655172414,153,12.9769891689,56.091954023,250,21.2042306681,30.2873563218,223,18.9141737559
S03,CLC,1,crop,file,2252,10.9880051438,20.5602842119,24.0818189205,11.8540189948,32.7531216285,2.40789105751,-18.1445629808,86.3676731794,178,13.2861104165,55.5506216696,293,21.8698334385,27.8863232682,240,17.9138567414
S03,INT,1,crop,file,1774,9.70899690535,21.0712066737,24.7278270271,11.0788950966,31.7654047381,3.35351422145,-13.847629434,79.7632468997,187,16.3862122146,48.365276212,279,24.447878117,24.4081172492,198,17.3501070507
S04,BOR,1,crop,file,2266,11.6657968364,24.8489845181,35.0874850097,13.4005394086,44.4882382175,5.10625452097,-18.3457429194,83.0097087379,197,14.2957354684,59.2233009709,311,22.568394572,35.039717564,272,19.7382743523
S04,CLC,1,crop,file,2415,16.2394468077,26.5628991141,28.7103932219,16.5563552296,29.1689786013,-4.70590101196,-21.9626914121,95.4037267081,71,5.01492705989,77.6811594203,226,15.963007261,56.0248447205,350,24.721471422
S04,INT,1,crop,file,2512,11.242176632,26.9275992365,31.2734069387,13.2063635787,40.1267058031,2.46469051624,-23.4103398001,85.0318471338,210,14.2168544194,56.2898089172,311,21.0544844021,31.0111464968,303,20.512889948
S05,BOR,1,crop,file,503,9.3865268359,20.0414694615,27.0286934384,10.8163869458,34.2727716508,-6.65969814874,-22.2314918015,80.9145129225,50,3.78180497988,47.5149105368,59,4.46252987626,16.8986083499,42,3.1767161831
S05,CLC,1,crop,file,1905,7.44278162064,21.9145924387,24.7052718222,9.4900488934,20.227182649,4.81715232198,-18.4876307619,65.4593175853,197,16.0381659502,36.2204724409,237,19.2946463462,19.3175853018,150,12.211801485
S05,INT,1,crop,file,2077,7.54796269426,16.3905737126,21.1119838328,8.95821116712,25.9662850929,-9.32390089516,-25.3352660374,73.2787674531,209,15.383501869,34.6653827636,245,18.0332916646,12.7106403467,131,9.64229064514
S06,BOR,1,crop,file,2020,13.6970379696,25.7055112626,30.3647863337,14.9963591269,37.6969808186,-16.0194205092,-27.452183641,84.801980198,142,10.7513448645,63.6633663366,216,16.3541583855,44.2574257426,233,17.6412912214
S06,CLC,1,crop,file,77083,18.2625962139,27.6619250483,30.2915340232,18.542391879,34.3760181392,-4.41539864402,-29.7516483958,96.7372831883,231,16.8296814382,82.6031680137,455,33.1493725297,62.6830818728,606,44.1505928638
S06,INT,1,crop,file,84726,9.67901435802,21.5477515403,25.1812121611,11.3647550625,31.4868662519,-2.06370041777,-20.3608466726,79.1527984326,721,53.9457325384,48.2295871397,627,46.9125857165,28.6405589784,432,32.3225470965
S07,BOR,1,crop,file,1630,11.8152578194,26.7002667658,116.140465304,20.3959794297,146.987485822,-10.4260927753,-35.2643896828,85.2147239264,108,6.66204024983,59.2024539877,199,12.2754260159,33.4355828221,160,9.869689259
S07,CLC,1,crop,file,2438,6.69125560582,18.1186605633,32.0884769636,13.2255033937,28.1088339038,-2.52086567702,-27.7072119014,66.201804758,250,17.0740924551,29.2042657916,235,16.0496469078,14.3560295324,125,8.53704622754
S07,INT,1,crop,file,2291,10.5380759153,19.3473174985,22.1076825466,12.6892124526,37.1383367126,-3.72895610361,-16.4381904461,77.6080314273,222,13.728279018,51.724137931,269,16.6347164678,25.8838934963,203,12.5533362192
S08,BOR,1,crop,file,971,5.52077738725,15.5224948311,17.8592780192,7.33020277947,17.195022963,-13.4750563484,-18.5704250347,54.9948506694,67,6.08259620942,23.5839340886,57,5.17474602891,11.122554068,37,3.35904566789
S08,CLC,1,crop,file,2349,6.66781196408,16.8224244508,22.5177761857,8.54704654113,17.8021207939,0.515750216559,-19.2412924744,67.0923797361,229,15.4147510417,29.4167730949,199,13.3953513419,13.0693912303,121,8.14491212246
S08,INT,1,crop,file,2033,9.79241449414,21.362816411,27.9722752892,11.2697867788,32.5134118953,0.0572924089088,-20.8432759335,82.8332513527,155,12.1623954426,48.6965076242,241,18.9105632366,20.9050664043,176,13.8102038574
R2-01,BOR,2,full,forward,98511,10.3674318998,20.807874279,23.5672505483,11.5489164138,36.726285414,-0.215070714858,-15.0546135818,84.6930799606,532,31.1331505293,51.9911481966,533,31.191671489,29.5733471389,372,21.7697969867
R2-01,BOR,2,r1matched,forward,73442,11.7243483146,21.4269657835,23.9708495701,12.3534408557,37.953164386,-1.34737967048,-14.8498335867,85.4374880858,371,28.3530494253,58.907709485,419,32.0213684884,35.4075324746,326,24.9140003036
R2-01,CLC,2,full,forward,120267,9.94038766056,18.8031378758,22.2134199427,10.7399019894,19.6238763817,0.723917018548,-17.4567401851,84.9892322915,792,46.0268894105,49.5988093159,701,40.7384463091,20.0794898019,431,25.0474612827
R2-01,CLC,2,r1matched,forward,92209,9.74832849328,18.3648082787,21.1706762091,10.4776748701,18.376650127,1.80742836444,-16.628520942,84.6121311369,623,47.1706638923,48.1720873234,532,40.2805669192,18.7281068009,316,23.9260510272
R2-01,INT,2,full,forward,112913,9.16683540488,22.023775601,24.7105694494,11.2803391217,32.7672957577,-4.94665355003,-19.891195337,84.4455465713,736,43.1334630887,44.6591623639,706,41.3753056259,25.2760975264,482,28.2477299032
R2-01,INT,2,r1matched,forward,85969,9.40196888337,22.4713064837,25.1869646797,11.6248740096,34.4464440465,-5.20906051991,-19.9551154753,85.5343205109,566,43.3378930471,46.331817283,549,42.0362248814,26.936453838,386,29.5555242336
