subject,stimulus,quantity,value,kind
R2-03,BOR,eye openness,0.845229125743,physiology
R2-03,CLC,eye openness,0.889747449725,physiology
R2-03,INT,eye openness,0.904281075001,physiology
R2-03,BOR,pupil dilation,3.87969830931,physiology
R2-03,CLC,pupil dilation,3.82873240456,physiology
R2-03,INT,pupil dilation,4.13041139322,physiology
R2-03,BOR,cognitive load,0.558786380246,physiology
R2-03,CLC,cognitive load,0.537916815452,physiology
R2-03,INT,cognitive load,0.564781367412,physiology
R2-03,BOR,HR,78.7041666667,physiology
R2-03,CLC,HR,76.9733840304,physiology
R2-03,INT,HR,88.3388773389,physiology
R2-03,BOR,gaze deviation variance,0.008093826179,physiology
R2-03,CLC,gaze deviation variance,0.00627227850711,physiology
R2-03,INT,gaze deviation variance,0.00749695178669,physiology
R2-03,BOR,gaze deviation median,0.128298153116,physiology
R2-03,CLC,gaze deviation median,0.118965587052,physiology
R2-03,INT,gaze deviation median,0.12609604979,physiology
R2-03,BOR,head motion (gyro),4.76987019184,physiology
R2-03,CLC,head motion (gyro),5.14891298195,physiology
R2-03,INT,head motion (gyro),,physiology
R2-03,BOR,boredom,3,self-report
R2-03,CLC,boredom,1,self-report
R2-03,INT,boredom,2,self-report
R2-03,BOR,engagement,6,self-report
R2-03,CLC,engagement,8,self-report
R2-03,INT,engagement,8,self-report
R2-03,BOR,felt duration (min),20,self-report
R2-03,CLC,felt duration (min),20,self-report
R2-03,INT,felt duration (min),15,self-report
