edge_id,source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,source_unit,contributor,notes
GE-001,US-00-INTRO,defines,uncomfortable-situation,rhetorical-ontology-of-emotion,12,2,US-00,Gross,Gross's contrastive definition against Berlant's situation-as-state-of-things-unfolding (Cruel Optimism p.5)
GE-002,US-00-INTRO,cites,Barrett-Barsalou-situated-conceptualization,cognitive-neuroscience-of-emotion,11,1,US-00,Gross,Note 1: Neuropsychologia 49.5 (2011): 1105-1127 at 1110; dinner-party scenario; FIRST FOOTNOTE OF BOOK
GE-003,US-00-INTRO,cites,AUSTEN-LOCUS:Persuasion-Lady-Russell-p198,affect-theory,11,1,US-00,Gross,Note 2: Austen Persuasion (Oxford Kinsley/Lynch 2004) p.198 — 'learn to feel that she had been mistaken'; epigraph-function
GE-004,US-00-INTRO,cites,Berlant-Cruel-Optimism,affect-theory,12,2,US-00,Gross,Note 3: Berlant Cruel Optimism (Duke 2011) p.5 — situation as 'state of things in which something that will perhaps matter is unfolding'
GE-005,US-00-INTRO,contests,Berlant-Cruel-Optimism,affect-theory,12,2,US-00,Gross,Gross emphasizes emotional instability defined rhetorically over Berlant's state-of-things-unfolding; supplements rather than refutes
GE-006,US-00-INTRO,extends,POSITION:Chandler-archaeology-of-sympathy,literary-criticism,13,3,US-00,Gross,Note 5: Chandler Archaeology of Sympathy (Chicago 2013). Gross redirects to 'critical history of well-being'
GE-007,US-00-INTRO,cites,POSITION:Goldsmith-Blakes-Agitation-pp12-13,literary-criticism,13,3,US-00,Gross,Note 6: Goldsmith Blake's Agitation (JHUP 2013) pp.12-13 — Blake denaturalizes sentiments grammatically
GE-008,US-00-INTRO,cites,Griffiths-Scarantino-Emotions-in-the-Wild,cognitive-neuroscience-of-emotion,14,4,US-00,Gross,Note 7: Griffiths and Scarantino 'Emotions in the Wild' (Cambridge Handbook of Situated Cognition 2009) pp.440-445
GE-009,US-00-INTRO,cites,POSITION:Fielding-David-Simple-pp236-238,literary-criticism,14,4,US-00,Gross,Note 9: Sarah Fielding David Simple (Sabor ed. 1998) — refusal to describe nature; world-contrary minds
GE-010,US-00-INTRO,cites,Reddy-Making-Romantic-Love,history-of-emotion,16,6,US-00,Gross,Note 13: Reddy Making of Romantic Love (Chicago 2012) — performative emotive 'I love you'
GE-011,US-00-INTRO,extends,Reddy-Making-Romantic-Love,history-of-emotion,16,6,US-00,Gross,Reddy's performative-emotive becomes Mode 5 (performative) of Gross's typology
GE-012,US-00-INTRO,cites,LITERARY-CHARACTER:Sterne-Yorick-hand-scene,literary-criticism,17,7,US-00,Gross,Note 14: Sterne A Sentimental Journey (Ian Jack ed. 1968) pp.18-19 — Yorick and the lady at Calais
GE-013,US-00-INTRO,glosses-german,Verstimmung,phenomenology,12,2,US-00,Gross,Heidegger's bad-mood when everyday concerns go awry; named as neighbor to Gross's project
GE-014,US-00-INTRO,defines,seven-mode-rhetoric-of-emotion-typology,rhetorical-ontology-of-emotion,20,10,US-00,Gross,Mimetic / cathartic / projective / prosthetic / performative / voluntary / systematic
GE-015,US-00-INTRO,cites,POSITION:Ngai-Ugly-Feelings-pp81-82,literary-criticism,20,10,US-00,Gross,Note 16: Ngai Ugly Feelings pp.81-82 — literary strategy of sympathy (mimetic mode); projective emotion
GE-016,US-00-INTRO,cites,Aristotle-Poetics-catharsis,classical-rhetoric,20,10,US-00,Gross,Aristotle Poetics on Oedipus suffering producing pleasant relief — Mode 2 cathartic
GE-017,US-00-INTRO,cites,POSITION:Miller-Haynes-prosthetic-emotion,rhetorical-ontology-of-emotion,20,10,US-00,Gross,Note 17: Susan Miller Trust in Texts p.14; Cynthia Haynes 'pathos@play.prosthetic.emotion' Works and Days 13.1-2 (1995): 261-276; Libby Catchings
GE-018,US-00-INTRO,cites,POSITION:Fisher-Vehement-Passions-pp142-144,literary-criticism,21,11,US-00,Gross,"Note 18: Fisher Vehement Passions pp.142, 144 — voluntary emotion / Austen's Darcy shamelessly"
GE-019,US-00-INTRO,contests,Massumi-autonomy-of-affect,affect-theory,22,12,US-00,Gross,Notes 20-21: Massumi 'Autonomy of Affect' Cultural Critique 31 (1995); Leys 'Turn to Affect: A Critique' CI 37.3 (2011) at p.437 — Cartesian dualism returns
GE-020,US-00-INTRO,cites,Williams-Long-Revolution,affect-theory,22,12,US-00,Gross,Note 23: Williams Long Revolution (Broadview 2001 [1961]) p.321 — 'creditable emotion' / 'feeling of freedom carefully controlled'
GE-021,US-00-INTRO,defines,concept-creditable-emotion,rhetorical-ontology-of-emotion,22,12,US-00,Gross,Williams's category: emotion that operates as lived reference point even though it contradicts its own conditions of satisfaction
GE-022,US-00-INTRO,defines,concept-four-mode-Imitation-of-Christ,rhetorical-ontology-of-emotion,24,14,US-00,Gross,Mimetic Eph 5:2; prosthetic John 4:19; performative 'Jesus loves you'; systematic Aquinas + Equiano Mount Calvary
GE-023,US-00-INTRO,cites,EQUIANO-LOCUS:Mount-Calvary-unseals-book-forecast,affect-theory,24,14,US-00,Gross,Equiano's spiritual autobiography conversion scene — chapter 2 forecast anchor
GE-024,US-00-INTRO,glosses-greek,mimesis-Eph-5-2,classical-rhetoric,24,14,US-00,Gross,Ephesians 5:2 'walk in love as Christ also hath loved us' — mimetic mode exemplar
GE-025,US-00-INTRO,contests,POSITION:situated-cognition-consoling-metaphors,phenomenology,25,15,US-00,Gross,Notes 27-29: Clark/Chalmers Supersizing the Mind; Wheeler; Thompson Mind in Life p.403; Uexküll Foray p.172; Serres; Rickert Ambient Rhetoric — read as bourgeois return-home rhetoric
GE-026,US-00-INTRO,glosses-german,unheimlich,phenomenology,25,15,US-00,Gross,Note 30: Freud Das Unbehagen in der Kultur (SE 21 Strachey) — anchor for being-out-of-place
GE-027,US-00-INTRO,cites,Moretti-Bourgeois-2013,literary-criticism,26,16,US-00,Gross,Note 32: Moretti The Bourgeois (Verso 2013) pp.45-51 — comfort as third keyword; Robinson Crusoe 1719 transition; Bequemlichkeit
GE-028,US-00-INTRO,glosses-german,Bequemlichkeit,literary-criticism,25,15,US-00,Gross,Weber via Moretti — bourgeois middle-class-home comfort as ideal
GE-029,US-00-INTRO,cites,Ahmed-Queer-Phenomenology,affect-theory,26,16,US-00,Gross,Note 33: Sara Ahmed Queer Phenomenology — Husserl's wife; comfort as concealment of domestic labor
GE-030,US-00-INTRO,cites,Wittgenstein-Lectures-on-Aesthetics-1938,phenomenology,27,17,US-00,Gross,Note 34: Kurt Lewin Gestalt 'hopeless situation'; Wittgenstein 1938 Lectures on Aesthetics 'discomfort'; Kramnick on Locke fantastical uneasiness
GE-031,US-00-INTRO,bridges-to-pipeline,Rickert-Ambient-Rhetoric,rhetorical-ontology-of-emotion,25,15,US-00,Gross,Note 29: explicit citation of Rickert Ambient Rhetoric (Pittsburgh 2013) in object-oriented / ambient lineage
GE-032,US-00-INTRO,bridges-to-pipeline,HR-01-GROSS-Secret-History-of-Emotion,rhetorical-ontology-of-emotion,13,3,US-00,Gross,Auto-bibliographical narration: 2005/2006 polemic against brain science; three objectives; now revised toward conciliation
GE-033,US-00-INTRO,revises-prior-author-position,HR-01-GROSS-Secret-History-of-Emotion,rhetorical-ontology-of-emotion,14,4,US-00,Gross,'There is a worthwhile science of emotion' — explicit revision of the 2006 polemic
GE-034,US-00-INTRO,contests,Ekman-basic-emotions-program,cognitive-neuroscience-of-emotion,28,18,US-00,Gross,Chapter 1 forecast: Darwin disentangled from heavy-handed editor Paul Ekman whose basic-emotions program has done Darwin a profound disservice
GE-035,US-00-INTRO,re-reads-author,DARWIN-LOCUS:Expression-of-the-Emotions-1872,history-of-emotion,28,18,US-00,Gross,Chapter 1 forecast: Darwin's Expression as rhetorical text; photographs as arguments not as basic-emotion evidence
GE-036,US-00-INTRO,cites,Noe-Out-of-Our-Heads,cognitive-neuroscience-of-emotion,28,18,US-00,Gross,Alva Noë Out of Our Heads (2009) aligned with rhetorical-situated reading of Darwin
GE-037,US-00-INTRO,instances-in-text,EQUIANO-LOCUS:happily-situated-as-a-slave-forecast,affect-theory,29,19,US-00,Gross,Chapter 2 forecast: 'What on earth might it mean when Equiano writes he is happily situated as a slave?'
GE-038,US-00-INTRO,cites,DuBois-double-consciousness,affect-theory,29,19,US-00,Gross,Chapter 2 forecast: from W.E.B. Du Bois double consciousness to Moten/Sexton Afro-pessimism
GE-039,US-00-INTRO,cites,Hartman-Scenes-of-Subjection,affect-theory,27,17,US-00,Gross,Hartman 'barbarous archive'; failure of post-abolition man; pedestrian practices below formal equality
GE-040,US-00-INTRO,defines,concept-rhetorical-theory-three-dimensions,rhetorical-ontology-of-emotion,30,20,US-00,Gross,1) forms of address; 2) critical distance from those forms; 3) field guide to threatening/promising environments
GE-041,US-00-INTRO,cites,Burke-comfort-discomfort-dialectic,classical-rhetoric,30,20,US-00,Gross,Note 38: Burke Philosophy of Literary Form (LSU 1973 [1941]) pp.60-61 — comfort/discomfort dialectic; consolatio philosophiae
GE-042,US-00-INTRO,cites,Bitzer-rhetorical-situation-1968,classical-rhetoric,30,20,US-00,Gross,Note 36: Bitzer 'The Rhetorical Situation' Philosophy and Rhetoric 1.1 (1968): 1-14 at p.6 — exigence as basic discomfort
GE-043,US-00-INTRO,cross-discipline-bridges,Heidegger-GA-18,classical-rhetoric,30,20,US-00,Gross,Note 37: Heidegger Grundbegriffe der aristotelischen Philosophie GA 18 (Michalski ed. 2002) p.261 — lack of composure / friend-enemy / Mitsein
GE-044,US-00-INTRO,glosses-german,Aus-der-Fassung,phenomenology,30,20,US-00,Gross,Lack of composure brought on by terror — Heidegger 1924 lectures; bridges to chapter 1 'loss of composure' forecast
GE-045,US-00-INTRO,defines,concept-rhetoric-as-humanistic-affordance-theory,rhetorical-ontology-of-emotion,32,22,US-00,Gross,Rhetoric posits a situation that is not neutral but 'persuasive'; tripartite deliberative/forensic/epideictic
GE-046,US-00-INTRO,re-reads-author,Gibson-affordance-theory,rhetorical-ontology-of-emotion,33,23,US-00,Gross,Chapter 3 forecast: abandon Gibson's invariance criterion to capture hostile environments not invariant w.r.t. humans-in-general
GE-047,US-00-INTRO,instances-in-text,RADCLIFFE-LOCUS:Adeline-hollow-sigh,literary-criticism,34,24,US-00,Gross,Adeline threatened virtually by the stuff of imagination; affectability of nonreferring terms
GE-048,US-00-INTRO,cites,Lewis-The-Monk-1796,literary-criticism,32,22,US-00,Gross,"Lewis The Monk 1796 — 'Am I not undone, undone for ever?'"
GE-049,US-00-INTRO,cites,Walpole-Castle-of-Otranto,literary-criticism,32,22,US-00,Gross,Horace Walpole Castle of Otranto Preface 2nd ed. 1765 — Voltaire-via-melange on vexed domestic emotional scene
GE-050,US-00-INTRO,cites,POSITION:Bartlett-Object-Lessons-nonreferring-terms,literary-criticism,34,24,US-00,Gross,Note 39: Jami Bartlett Object Lessons: The Novel as a Theory of Reference (Chicago 2016) — affectability of nonreferring terms
GE-051,US-00-INTRO,defines,concept-real-terror-is-fictional,rhetorical-ontology-of-emotion,34,24,US-00,Gross,Programmatic chapter-3 thesis: terror is the stuff of uncertainties and a form of address
GE-052,US-00-INTRO,instances-in-text,AUSTEN-LOCUS:Fanny-excessively-comfortable-Dashwood,literary-criticism,36,26,US-00,Gross,Chapter 4 forecast: Sense and Sensibility opening Fanny-and-Mr-Dashwood scene; 'excessively comfortable' as oxymoronic norm-establishment
GE-053,US-00-INTRO,contests,Galen-disequilibrium-mixed-feelings,history-of-emotion,35,25,US-00,Gross,Chapter 4 forecast: anti-Galenic — mixed feelings are negotiated convergences not internal humour-proportions
GE-054,US-00-INTRO,cites,Kahneman-Miller-Norm-Theory-1986,cognitive-neuroscience-of-emotion,36,26,US-00,Gross,Note 41: Kahneman and Miller 'Norm Theory: Comparing Reality to Its Alternatives' Psychological Review 93.2 (1986): 136-153
GE-055,US-00-INTRO,cites,Wollstonecraft-equivocal-beings,literary-criticism,36,26,US-00,Gross,Mary Wollstonecraft 'equivocal beings' — sisters and sisters-in-law structurally at odds around man's sentiments
GE-056,US-00-INTRO,contests,Zunshine-theory-of-mind,cognitive-neuroscience-of-emotion,37,27,US-00,Gross,Chapter 4 forecast: Zunshine's mind-reading approach as unecological; resource-distribution and norm-establishment are the operative dynamics
GE-057,US-00-INTRO,cross-discipline-bridges,Preston-ecological-neuroscience,cognitive-neuroscience-of-emotion,37,27,US-00,Gross,Note 42: epilogue with Stephanie Preston expands Biess/Gross Science and Emotion after 1945 (Chicago 2014)
GE-058,US-00-INTRO,contests,Phelps-2000-amygdala-race-study,cognitive-neuroscience-of-emotion,37,27,US-00,Gross,Epilogue forecast: classic laboratory fear-studies persist with unconscious white/black bias while deferring causal explanation of racial slavery
GE-059,US-00-INTRO,cites,INTERLOCUTOR:Stone-Family-Sex-Marriage-1500-1800,history-of-emotion,15,5,US-00,Gross,Note 11: Lawrence Stone Family Sex and Marriage in England 1500-1800 (1977) p.282
GE-060,US-00-INTRO,cites,INTERLOCUTOR:Geertz-Interpretation-of-Cultures-p30,literary-criticism,14,4,US-00,Gross,Note 8: Clifford Geertz Interpretation of Cultures (Basic 1973) p.30 — concrete social events and occasions
GE-061,US-00-INTRO,glosses-german,Genussmittel,literary-criticism,26,16,US-00,Gross,"Moretti via Weber — means of pleasure (coffee, tobacco, chocolate, spirits)"
GE-062,US-00-INTRO,glosses-greek,pathos-classical-lexicon,classical-rhetoric,31,21,US-00,Gross,'Emotion — pathos in the classical lexicon — is not first and foremost something Equiano feels … but instead it transacts'
GE-063,US-00-INTRO,cites,POSITION:Barker-Benfield-Ellis-Festa-sensibility-trio,literary-criticism,14,4,US-00,Gross,Note 4: Barker-Benfield Culture of Sensibility (Chicago 1996); Ellis Politics of Sensibility (Cambridge 2004); Festa Sentimental Figures of Empire (JHUP 2006)
GE-064,US-00-INTRO,defines,concept-critical-history-of-well-being,literary-criticism,13,3,US-00,Gross,Positive methodological alternative to Chandler's archaeology of sympathy
GE-065,US-00-INTRO,qualifies,POSITION:Smith-sympathy-feeling-what-we-should-feel,classical-rhetoric,12,2,US-00,Gross,Adam Smith on sympathy via Chandler p.302 — ironized in Sterne Yorick scene
GE-066,US-00-INTRO,bridges-to-pipeline,Aristotle-Rhetoric-II-pathe,classical-rhetoric,21,11,US-00,Gross,Pathos in the classical lexicon transacts; Hobbes's political-economy systematic mode; tripartite rhetoric — implicit BCAP heritage
GE-067,US-00-INTRO,cites,INTERLOCUTOR:Reid-Direct-Perception-1764,classical-rhetoric,18,8,US-00,Gross,Note 15: Thomas Reid Inquiry into the Human Mind 1764 — direct perception ancestor of Gibson; the 'English philosopher' that Sterne ridicules
GE-068,US-00-INTRO,marginal-note,Snow-Two-Cultures,history-of-emotion,37,27,US-00,Gross,C.P. Snow Two Cultures implicit in 'Irreconcilable Differences?' epilogue title
GE-069,US-01-DARWIN,defines,C-US01-01,concept,38,28,US-01,Gross,Rhetoricity of emotion as Darwin's foregrounded methodological feature — medium/occasion/social-situation
GE-070,US-01-DARWIN,defines,C-US01-16,concept,45,35,US-01,Gross,Rhetorical model of cognition situated in brain-body-world nexus
GE-071,US-01-DARWIN,defines,C-US01-17,concept,44,34,US-01,Gross,Impoverished Darwinianism — the Ekman-Damasio reception strips out interpretive openness
GE-072,US-01-DARWIN,defines,C-US01-20,concept,59,49,US-01,Gross,Second-order discomfort produced in reader when narrator pseudo-resolves character discomfort diegetically
