source,relation,target,locus,note
rdr-04-crowley,defines,virtual ecology / virtual ecologies,"pp. 1231,1238","Simulated dynamic ecosystem treated as object of study and site of learning; title concept; player action alters 'the virtual ecology of the game'"
rdr-04-crowley,defines,vicarious experience of nature,"pp. 1230-1231","Understanding of the living world formed through representation rather than direct contact; framing adopted after Kellert and Clayton et al."
rdr-04-crowley,defines,virtual biophilia,p. 1230,"Attraction to healthy vegetated landscapes accessible virtually; drawn from Truong et al. (2018) on World of Warcraft"
rdr-04-crowley,defines,recency effect,"pp. 1237,1239","Apparent decay of gained knowledge over time, mirroring retention of basic science knowledge"
rdr-04-crowley,treats-game-element,hunting & fishing,"pp. 1231,1238-1240","Key gameplay; quarry species (ungulates, fish) of high in-game utility value show largest identification gains; mechanic not skimmed, provokes guilt"
rdr-04-crowley,treats-game-element,animal AI / wildlife behaviour systems,"pp. 1231,1237-1239","~200 species programmed to appear, sound and behave realistically; players learn behaviours incl. wolves apparently mourning pack members"
rdr-04-crowley,treats-game-element,biomes / regions / territories,"pp. 1231,1237","Five territories reflecting North American biomes; wildlife spawns in appropriate habitats so players learn species-region links"
rdr-04-crowley,treats-game-element,animal compendium,p. 1240,"In-game species-fact catalogue used as contrast case; immersion teaches more than compendium facts"
rdr-04-crowley,treats-game-element,weather & dynamic environment,"pp. 1231,1238-1239","Storms, dust storms, sunsets; environment as 'resource and antagonist'; central to aesthetic memorable experiences"
rdr-04-crowley,treats-game-element,flora / plant systems & pollution,"pp. 1237,1240","Toxic mining run-off pollutes Elysian Pool yielding unhealthy flora and fauna; extinct Carolina Parakeet present"
rdr-04-crowley,treats-game-element,Naturalist role (Red Dead Online),"pp. 1231,1234,1239","Rewards non-violent interaction; associated with broader species identification, especially smaller non-quarry species"
rdr-04-crowley,treats-game-element,honour system,p. 1231,"Mechanic delivering different consequences based on player actions"
rdr-04-crowley,treats-game-element,story missions / scripted quests,"pp. 1234,1239-1240","Completing storyline (~40-60 hr) raises scores; cannot finish without killing animals; hidden quest hunts a bird to extinction for no reward"
rdr-04-crowley,extends,Clayton et al. (2017) transformation-of-experience framework,"pp. 1230,1239","Adopts broadened 'experiences of nature' and extends it to validate violent and interactive virtual encounters"
rdr-04-crowley,cites,Truong et al. (2018) / Truong & Clayton (2020),"pp. 1230,1240-1241","Virtual biophilia and technologically transformed nature; flattening risk"
rdr-04-crowley,cites,Balmford et al. (2002),p. 1230,"Children identify Pokemon better than UK wildlife; conservationists less effective than game developers"
rdr-04-crowley,cites,Sandbrook et al. (2015),p. 1230,"Games for conservation; risk of hyper-real alternative to real nature"
rdr-04-crowley,cites,Custers (2010),p. 1237,"Long-term retention of basic science knowledge supports recency interpretation"
rdr-04-crowley,cites,Holmes (2019),"pp. 1231,1239","Ecocritical reading of RDR2; environment as resource and antagonist rendered in high detail"
rdr-04-crowley,cites,Humphreys (2012),p. 1239,"Frontier ideology of original RDR — white, colonial, 'ruggedly masculine' living off the land"
rdr-04-crowley,cites-cluster-author,Westerside & Holopainen (2019),p. 1239,"Cited for RDR2 opening novel spaces for social and ethical reflection (only cluster-mate cited)"
rdr-04-crowley,instances-in-text,nature-as-lively-co-agent reading,p. 1239,"World 'always lively, risky and to be negotiated with, rather than mute, benign and there to be observed' — quarry/ungulate and fish identification data + wolf-mourning, predator-risk examples"
rdr-04-crowley,shifts-debate-axis,nature-as-resource <-> nature-as-ecological,"pp. 1239-1240","Concedes dominant resource/frontier framing but relocates the game's educational value in the ecological depth and agency of the simulation plus the Naturalist counter-frame"
rdr-04-crowley,shifts-debate-axis,entertainment games <-> educational games,"pp. 1230,1241","Inverts framing: popular entertainment games can be educational and should be taken seriously as a communicative force"
rdr-04-crowley,qualifies,virtual experience replaces embodied experience,"pp. 1240-1241","Validates virtual/vicarious nature as informative but explicitly declines to propose it replace embodied encounters; warns of 'flattening'"
rdr-04-crowley,concedes,limits of RDR2's ecological realism,"pp. 1239-1240","Repetition of a few behaviours in responses and exaggerated predator aggression hint at constrained, developer-selected simulation that can mislead"
rdr-04-crowley,contests-reading-of,video games as antithesis of engaging with nature,"pp. 1229-1230,1241","Challenges the common perception that gaming opposes nature engagement; provides quantitative + qualitative evidence of learning"
