source,relation,target,locus,note
rdr-05-wright,defines,narratives of "progress" (brand/paratext/text three-level concept),para 7,"Progress utilized on 3 levels: developer-brand image, promotional surround, in-game text"
rdr-05-wright,defines,paratextual / promotional surround,"'True West' section, para 15-16","Wide pre-play network preloading historical 'truths'; a 'discourse of historical authenticity'"
rdr-05-wright,defines,authenticity as constructed/marketed discourse,para 15,"Authenticity reframed as manufactured claim, not accuracy; Rockstar in pedagogical role"
rdr-05-wright,defines,irony as "no-lose gambit" / self-cancellation,para 8,"Quoting Kline, Dyer-Witheford & de Peuter; affirmation/negation appearance of critique"
rdr-05-wright,defines,false (and damaging) equivalence,para 29 & 36,"Native suffering aligned with white-outlaw extinction; satirical NPCs given equal weighting"
rdr-05-wright,cites,Soraya Murray (Triumphal Procession; On Video Games),para 12 & 28,"Game-history teleology critique + race/gender/space backdrop-for-white-violence critique"
rdr-05-wright,cites,"Kline, Dyer-Witheford & de Peuter (Digital Play)",para 8,"'have your cake and eat it too' self-cancelling critique structure"
rdr-05-wright,cites,Dyer-Witheford & De Peuter (Games of Empire),para 10,"GTA as 'cynical'/conservative self-cancellation"
rdr-05-wright,cites,Adam Chapman (Digital Games as History),para 14 & 16,"'developer-historian'; historical games' radical potential vs status quo"
rdr-05-wright,cites,William Uricchio,para 14,"Historical games built on principles reflecting a 'historiographic status quo'"
rdr-05-wright,cites,Patricia Nelson Limerick (Legacy of Conquest),para 6 & 13,"Turner 'ethnocentric and nationalistic'; Frontier as process of conquest"
rdr-05-wright,cites,Alan Trachtenberg (Incorporation of America),para 5 & 20-21,"Civilization wrought through violence/corporatization; ~10% homesteader statistic"
rdr-05-wright,cites,Jane Tompkins (West of Everything),para 5 & 13,"West as 'symbol of freedom'/'escape from modern industrial society'"
rdr-05-wright,cites,Philip Deloria (Playing Indian),para 29,"Van Der Linde gang 'play Indian' to negotiate identity"
rdr-05-wright,cites,Tilo Hartmann & Peter Vorderer,para 39,"Progress-narratives as 'moral disengagement factor'"
rdr-05-wright,cites,Laine Nooney,para 12,"Game history as 'patrilineal chronicle' of founding fathers/game gods"
rdr-05-wright,cites,Carl Therrien,para 12,"How to avoid progress-laden teleological discourse for an evolving object"
rdr-05-wright,cites,Sara Humphreys,para 5,"Prior textual analysis of RDR via safety-valve/freedom thematics"
rdr-05-wright,cites,Carol Anderson (White Rage),para 36,"Individual-bad-racist framing aligns game with US Conservatives"
rdr-05-wright,cites,Angela Saini (Superior),para 30 & 36,"Race science never truly died out; legacy in modern science/medicine"
rdr-05-wright,cites,John Blake (racism without racists),para 34,"'I don't see color' hides white privilege/structural racism"
rdr-05-wright,cites,Souvik Mukherjee / Sybille Lammes,para 10,"Colonial exploration/mastering of digital space critique"
rdr-05-wright,extends,Soraya Murray (game historiography critique),para 13,"Extends Murray's 'violence of game histories' by aligning it with Western historiography (Limerick)"
rdr-05-wright,extends,Esther Wright (own paratext-with-text method),para 38,"Reiterates her prior argument not to separate paratextual framing from textual content"
rdr-05-wright,contests,Rockstar's authenticity / critical self-presentation,para 22-23 & 40,"Critique judged selective, surface-level, undercut by reliance on same ideologies"
rdr-05-wright,contests-reading-of,RDR/RDR2 as genuine critique of the Western genre,para 27 & 32,"Via Byrd ('absent presence') and Keller ('hardly a radical revision')"
