subject,stimulus,window,signal,stat,value
R2-01,BOR,full,cognitive_load,mean,0.52986919277865
R2-01,BOR,full,cognitive_load,median,0.55568
R2-01,BOR,full,cognitive_load,sd,0.1476512642400085
R2-01,BOR,full,cognitive_load,min,0.1354035
R2-01,BOR,full,cognitive_load,max,0.8557512
R2-01,BOR,full,cognitive_load,slope,2.7036018441331202e-05
R2-01,BOR,full,cognitive_load,delta_last_first_third,0.04102003679245292
R2-01,BOR,full,hr,mean,
R2-01,BOR,full,hr,median,
R2-01,BOR,full,hr,sd,
R2-01,BOR,full,hr,min,
R2-01,BOR,full,hr,max,
R2-01,BOR,full,hr,slope,
R2-01,BOR,full,hr,delta_last_first_third,
R2-01,BOR,full,hrv,mean,
R2-01,BOR,full,hrv,median,
R2-01,BOR,full,hrv,sd,
R2-01,BOR,full,hrv,min,
R2-01,BOR,full,hrv,max,
R2-01,BOR,full,hrv,slope,
R2-01,BOR,full,hrv,delta_last_first_third,
R2-01,BOR,full,left_eye_dilation,mean,2.8824751127465613
R2-01,BOR,full,left_eye_dilation,median,2.827324
R2-01,BOR,full,left_eye_dilation,sd,0.31972649400397635
R2-01,BOR,full,left_eye_dilation,min,1.820053
R2-01,BOR,full,left_eye_dilation,max,4.956192
R2-01,BOR,full,left_eye_dilation,slope,-0.00023667049112300402
R2-01,BOR,full,left_eye_dilation,delta_last_first_third,-0.18202983292529984
R2-01,BOR,full,right_eye_dilation,mean,2.7541015015895693
R2-01,BOR,full,right_eye_dilation,median,2.672287
R2-01,BOR,full,right_eye_dilation,sd,0.3401361319594951
R2-01,BOR,full,right_eye_dilation,min,2.008774
R2-01,BOR,full,right_eye_dilation,max,4.619598
R2-01,BOR,full,right_eye_dilation,slope,-0.00022962124235654968
R2-01,BOR,full,right_eye_dilation,delta_last_first_third,-0.19564960907883577
R2-01,BOR,full,eye_gaze_deviation,mean,0.20164014232645974
R2-01,BOR,full,eye_gaze_deviation,median,0.18053210579180043
R2-01,BOR,full,eye_gaze_deviation,sd,0.11084838555001934
R2-01,BOR,full,eye_gaze_deviation,min,0.016547318553871027
R2-01,BOR,full,eye_gaze_deviation,max,0.6590050825221756
R2-01,BOR,full,eye_gaze_deviation,slope,2.1508948120201735e-05
R2-01,BOR,full,eye_gaze_deviation,delta_last_first_third,0.017843546469827415
R2-01,CLC,full,cognitive_load,mean,0.5204872865865866
R2-01,CLC,full,cognitive_load,median,0.5462691
R2-01,CLC,full,cognitive_load,sd,0.16795079592345494
R2-01,CLC,full,cognitive_load,min,0.1215075
R2-01,CLC,full,cognitive_load,max,0.891482
R2-01,CLC,full,cognitive_load,slope,-0.00021833049965244684
R2-01,CLC,full,cognitive_load,delta_last_first_third,-0.16209424834834846
R2-01,CLC,full,hr,mean,58.36538461538461
R2-01,CLC,full,hr,median,58.0
R2-01,CLC,full,hr,sd,4.998662028341043
R2-01,CLC,full,hr,min,5.0
R2-01,CLC,full,hr,max,76.0
R2-01,CLC,full,hr,slope,0.0009136093874715886
R2-01,CLC,full,hr,delta_last_first_third,1.463768115942031
R2-01,CLC,full,hrv,mean,
R2-01,CLC,full,hrv,median,
R2-01,CLC,full,hrv,sd,
R2-01,CLC,full,hrv,min,
R2-01,CLC,full,hrv,max,
R2-01,CLC,full,hrv,slope,
R2-01,CLC,full,hrv,delta_last_first_third,
R2-01,CLC,full,left_eye_dilation,mean,2.8637810750679735
R2-01,CLC,full,left_eye_dilation,median,2.835526
R2-01,CLC,full,left_eye_dilation,sd,0.2486011263137676
R2-01,CLC,full,left_eye_dilation,min,1.774094
R2-01,CLC,full,left_eye_dilation,max,4.705582
R2-01,CLC,full,left_eye_dilation,slope,-0.0001704193862606805
R2-01,CLC,full,left_eye_dilation,delta_last_first_third,-0.14065850484476927
R2-01,CLC,full,right_eye_dilation,mean,2.6838542190996404
R2-01,CLC,full,right_eye_dilation,median,2.647156
R2-01,CLC,full,right_eye_dilation,sd,0.2515764234143413
R2-01,CLC,full,right_eye_dilation,min,2.040176
R2-01,CLC,full,right_eye_dilation,max,4.06131
R2-01,CLC,full,right_eye_dilation,slope,-0.00014144687467141552
R2-01,CLC,full,right_eye_dilation,delta_last_first_third,-0.12293357891479761
R2-01,CLC,full,eye_gaze_deviation,mean,0.1829175689874822
R2-01,CLC,full,eye_gaze_deviation,median,0.16873093434657233
R2-01,CLC,full,eye_gaze_deviation,sd,0.10646142677191998
R2-01,CLC,full,eye_gaze_deviation,min,0.014537295367808217
R2-01,CLC,full,eye_gaze_deviation,max,0.6963196256801747
R2-01,CLC,full,eye_gaze_deviation,slope,-6.515717377903526e-05
R2-01,CLC,full,eye_gaze_deviation,delta_last_first_third,-0.056202378327178504
R2-01,INT,full,cognitive_load,mean,0.5378331432344498
R2-01,INT,full,cognitive_load,median,0.5455009
R2-01,INT,full,cognitive_load,sd,0.15624675885539965
R2-01,INT,full,cognitive_load,min,0.07104978
R2-01,INT,full,cognitive_load,max,0.8705355
R2-01,INT,full,cognitive_load,slope,-5.4060409630023594e-05
R2-01,INT,full,cognitive_load,delta_last_first_third,-0.04286162902298862
R2-01,INT,full,hr,mean,64.15315315315316
R2-01,INT,full,hr,median,63.0
R2-01,INT,full,hr,sd,3.341742055760733
R2-01,INT,full,hr,min,55.0
R2-01,INT,full,hr,max,76.0
R2-01,INT,full,hr,slope,0.0005084984296287881
R2-01,INT,full,hr,delta_last_first_third,0.8918918918918948
R2-01,INT,full,hrv,mean,
R2-01,INT,full,hrv,median,
R2-01,INT,full,hrv,sd,
R2-01,INT,full,hrv,min,
R2-01,INT,full,hrv,max,
R2-01,INT,full,hrv,slope,
R2-01,INT,full,hrv,delta_last_first_third,
R2-01,INT,full,left_eye_dilation,mean,3.154463036669257
R2-01,INT,full,left_eye_dilation,median,3.082306
R2-01,INT,full,left_eye_dilation,sd,0.5008617397599373
R2-01,INT,full,left_eye_dilation,min,1.996231
R2-01,INT,full,left_eye_dilation,max,5.305695
R2-01,INT,full,left_eye_dilation,slope,-0.000327534962435919
R2-01,INT,full,left_eye_dilation,delta_last_first_third,-0.21480894406548456
R2-01,INT,full,right_eye_dilation,mean,2.9955434918782613
R2-01,INT,full,right_eye_dilation,median,2.902939
R2-01,INT,full,right_eye_dilation,sd,0.4824519833762027
R2-01,INT,full,right_eye_dilation,min,1.841934
R2-01,INT,full,right_eye_dilation,max,4.999283
R2-01,INT,full,right_eye_dilation,slope,-0.0002576157601143725
R2-01,INT,full,right_eye_dilation,delta_last_first_third,-0.17183510158331217
R2-01,INT,full,eye_gaze_deviation,mean,0.17334030847002094
R2-01,INT,full,eye_gaze_deviation,median,0.14171647611630098
R2-01,INT,full,eye_gaze_deviation,sd,0.11547392955804815
R2-01,INT,full,eye_gaze_deviation,min,0.009072258975519776
R2-01,INT,full,eye_gaze_deviation,max,0.6779445086660114
R2-01,INT,full,eye_gaze_deviation,slope,4.054811861898258e-06
R2-01,INT,full,eye_gaze_deviation,delta_last_first_third,0.002538033946354157
R2-02,BOR,full,cognitive_load,mean,0.47133033934169277
R2-02,BOR,full,cognitive_load,median,0.4863308
R2-02,BOR,full,cognitive_load,sd,0.1588334136719807
R2-02,BOR,full,cognitive_load,min,0.1031903
R2-02,BOR,full,cognitive_load,max,0.8794118
R2-02,BOR,full,cognitive_load,slope,-6.993867570691976e-05
R2-02,BOR,full,cognitive_load,delta_last_first_third,-0.025776903773585047
R2-02,BOR,full,hr,mean,
R2-02,BOR,full,hr,median,
R2-02,BOR,full,hr,sd,
R2-02,BOR,full,hr,min,
R2-02,BOR,full,hr,max,
R2-02,BOR,full,hr,slope,
R2-02,BOR,full,hr,delta_last_first_third,
R2-02,BOR,full,hrv,mean,
R2-02,BOR,full,hrv,median,
R2-02,BOR,full,hrv,sd,
R2-02,BOR,full,hrv,min,
R2-02,BOR,full,hrv,max,
R2-02,BOR,full,hrv,slope,
R2-02,BOR,full,hrv,delta_last_first_third,
R2-02,BOR,full,left_eye_dilation,mean,3.515580440399538
R2-02,BOR,full,left_eye_dilation,median,3.47467
R2-02,BOR,full,left_eye_dilation,sd,0.44958322037403825
R2-02,BOR,full,left_eye_dilation,min,1.480179
R2-02,BOR,full,left_eye_dilation,max,5.670303
R2-02,BOR,full,left_eye_dilation,slope,-4.731470158993909e-05
R2-02,BOR,full,left_eye_dilation,delta_last_first_third,-0.09719961064265759
R2-02,BOR,full,right_eye_dilation,mean,3.305751552435298
R2-02,BOR,full,right_eye_dilation,median,3.235947
R2-02,BOR,full,right_eye_dilation,sd,0.43245621724728195
R2-02,BOR,full,right_eye_dilation,min,1.612305
R2-02,BOR,full,right_eye_dilation,max,5.178696
R2-02,BOR,full,right_eye_dilation,slope,-9.817987394930257e-05
R2-02,BOR,full,right_eye_dilation,delta_last_first_third,-0.14007645038443917
R2-02,BOR,full,eye_gaze_deviation,mean,0.2064618323153259
R2-02,BOR,full,eye_gaze_deviation,median,0.19433883095415697
R2-02,BOR,full,eye_gaze_deviation,sd,0.10693442084243826
R2-02,BOR,full,eye_gaze_deviation,min,0.014895852008905903
R2-02,BOR,full,eye_gaze_deviation,max,0.6227104279415423
R2-02,BOR,full,eye_gaze_deviation,slope,-4.077959707001338e-05
R2-02,BOR,full,eye_gaze_deviation,delta_last_first_third,-0.02929521607549268
R2-02,CLC,full,cognitive_load,mean,0.4676304900900901
R2-02,CLC,full,cognitive_load,median,0.4248053
R2-02,CLC,full,cognitive_load,sd,0.17617433419975256
R2-02,CLC,full,cognitive_load,min,0.1181982
R2-02,CLC,full,cognitive_load,max,0.8789616
R2-02,CLC,full,cognitive_load,slope,-0.00012875425467435584
R2-02,CLC,full,cognitive_load,delta_last_first_third,-0.08358418888888891
R2-02,CLC,full,hr,mean,69.54377880184332
R2-02,CLC,full,hr,median,69.0
R2-02,CLC,full,hr,sd,5.188945738468536
R2-02,CLC,full,hr,min,60.0
R2-02,CLC,full,hr,max,82.0
R2-02,CLC,full,hr,slope,-0.001697222232151984
R2-02,CLC,full,hr,delta_last_first_third,-1.1944444444444429
R2-02,CLC,full,hrv,mean,
R2-02,CLC,full,hrv,median,
R2-02,CLC,full,hrv,sd,
R2-02,CLC,full,hrv,min,
R2-02,CLC,full,hrv,max,
R2-02,CLC,full,hrv,slope,
R2-02,CLC,full,hrv,delta_last_first_third,
R2-02,CLC,full,left_eye_dilation,mean,4.142032474906863
R2-02,CLC,full,left_eye_dilation,median,4.1617204999999995
R2-02,CLC,full,left_eye_dilation,sd,0.35946843292064906
R2-02,CLC,full,left_eye_dilation,min,2.25499
R2-02,CLC,full,left_eye_dilation,max,5.407364
R2-02,CLC,full,left_eye_dilation,slope,0.0001459286385331571
R2-02,CLC,full,left_eye_dilation,delta_last_first_third,0.08619861674490181
R2-02,CLC,full,right_eye_dilation,mean,3.855496660976896
R2-02,CLC,full,right_eye_dilation,median,3.8725205000000003
R2-02,CLC,full,right_eye_dilation,sd,0.3195064099114457
R2-02,CLC,full,right_eye_dilation,min,1.456818
R2-02,CLC,full,right_eye_dilation,max,5.226395
R2-02,CLC,full,right_eye_dilation,slope,0.00012303883992284323
R2-02,CLC,full,right_eye_dilation,delta_last_first_third,0.07349178605306061
R2-02,CLC,full,eye_gaze_deviation,mean,0.16196858899524494
R2-02,CLC,full,eye_gaze_deviation,median,0.14106817457682827
R2-02,CLC,full,eye_gaze_deviation,sd,0.09838005006112044
R2-02,CLC,full,eye_gaze_deviation,min,0.008409927157461009
R2-02,CLC,full,eye_gaze_deviation,max,0.6647570863706529
R2-02,CLC,full,eye_gaze_deviation,slope,-6.449216026499586e-05
R2-02,CLC,full,eye_gaze_deviation,delta_last_first_third,-0.04184539560775344
R2-02,INT,full,cognitive_load,mean,0.5182039556112225
R2-02,INT,full,cognitive_load,median,0.53555975
R2-02,INT,full,cognitive_load,sd,0.16481407623278524
R2-02,INT,full,cognitive_load,min,0.1087035
R2-02,INT,full,cognitive_load,max,0.8293497
R2-02,INT,full,cognitive_load,slope,-5.1012302486320916e-05
R2-02,INT,full,cognitive_load,delta_last_first_third,-0.022769482831325405
R2-02,INT,full,hr,mean,67.38709677419355
