subject,stimulus,window,n_samples,sample_rate_mean_hz,sample_rate_median_hz,duration_s,pct_valid_eye,cognitive_load_mean,cognitive_load_slope,cognitive_load_delta,hr_mean,hr_slope,hr_delta,hrv_mean,left_eye_dilation_mean,left_eye_dilation_delta,right_eye_dilation_mean,right_eye_dilation_delta,eye_gaze_deviation_mean,gaze_dev_median,gaze_dev_variance,dil_mean_bilateral
S01,BOR,crop,2178,2.97,2.994,732.9,90.4,0.5712583278236915,3.236295038325632e-05,0.021306961432506877,79.40725436179982,5.6207658818171884e-05,-1.5303030303030312,102.92502449311294,3.016195160669032,-0.1397104353120242,2.912996809908999,-0.13800927921092576,0.17645008482405922,0.14849744990419889,0.010784207898580077,2.964595985289016
S01,CLC,crop,2179,2.971,2.994,733.0,95.4,0.5996197682423131,-0.00020732736083377924,-0.09124839944903573,77.10096374483709,0.007437461987812407,4.034435261707998,121.37981681964207,3.281462826442308,0.0038591832611833965,3.142261515136953,0.024863005772005398,0.13970568946110548,0.11903780911962385,0.00739283780074788,3.2118621707896304
S01,INT,crop,1964,2.969,2.994,661.1,92.6,0.5069906237270876,-0.00031297365610807084,-0.156502625382263,76.24745417515275,-0.004116334298634847,-2.327217125382262,111.83642729735236,2.9209559385628086,0.1096984382207582,2.8537869725726823,0.10059625700164743,0.15669202139842117,0.13625700984673794,0.008582824658747212,2.887371455567745
S02,BOR,crop,2734,2.989,3.003,914.3,80.5,0.4217369809593556,2.8061427727734095e-05,0.019655605494505513,68.30797366495976,-0.00034646466680761417,-0.3347969264544588,95.89400998207755,3.4311429056350624,0.10526237315436138,3.560658590971272,0.04784089192886398,0.19167689296690904,0.1852437583293969,0.009530650619373955,3.495900748303167
S02,CLC,crop,2716,2.988,3.003,908.7,79.6,0.49906690868924886,9.256578049686713e-05,0.0251604022099447,70.06516936671576,0.005714608160326792,3.270718232044203,79.80121998564064,3.576142706927986,0.05509239945280431,3.6728596175243395,0.017881068150208623,0.18394673712959572,0.16707782617690478,0.010334706961623818,3.6245011622261627
S02,INT,crop,2648,2.988,3.003,885.8,93.7,0.4714814803625378,-6.55675667229665e-05,-0.024794176870748252,67.50264350453172,0.002389475248439042,1.058956916099774,48.17780209365559,3.537295553115016,0.029717027577937483,3.6621099651962776,0.034400517618468296,0.18282322547389807,0.16551208415097673,0.010849707724767026,3.5997027591556465
S03,BOR,crop,2115,2.988,3.003,707.4,82.3,0.5203187215130023,-1.0804251192843417e-05,-0.005081483687943256,86.39007092198581,0.004314747750033779,2.4936170212765916,128.9036382288416,3.120438652424942,0.04657744887348336,3.0122870756446987,0.02313495008605848,0.20470994713557297,0.19829775591266785,0.009474582352704791,3.0663628640348204
S03,CLC,crop,2403,2.988,3.003,803.8,93.7,0.5650195692883895,6.279059557619595e-05,0.04294176654182269,87.95838535164378,0.00031672706350724123,1.0873907615480647,91.06028345027049,3.1451877330677287,0.07452687649402456,3.0510619413321574,0.07350279602648957,0.20118137754507992,0.18843622679467673,0.00855660471424198,3.098124837199943
S03,INT,crop,2047,2.988,3.003,684.7,86.7,0.48545067220322424,-4.9933674419592775e-05,-0.005794341642228806,95.87787005373718,-0.003617159514865816,-2.158357771260995,70.17406815876895,3.592128273494654,0.11397693918918961,3.5333362413600886,0.18581159030100336,0.1852972083078299,0.167919488118917,0.008894405950037184,3.5627322574273714
S04,BOR,crop,2473,2.99,3.003,826.8,91.6,0.5953592834613829,0.0001522320717325341,0.09608280703883498,98.4739183178326,0.011275597530346402,4.2560679611650585,77.58322561544682,3.0142145321869487,-0.34438593386243355,2.8077312376543206,-0.3108371190476187,0.2275487919306026,0.2050634055811092,0.016938265431702057,2.9109728849206347
S04,CLC,crop,2539,2.988,3.003,849.5,95.1,0.6374137207562032,-7.446157986235906e-05,-0.051179832151300175,95.99606144151241,0.0022433949921245124,1.4184397163120508,53.86646041985033,3.4612618826213186,-0.07852115691158179,3.235253086199751,-0.10495823134328397,0.2836457573956692,0.28068843937718563,0.010138282360811896,3.348257484410535
S04,INT,crop,2649,2.988,3.003,886.3,94.8,0.5474919346923367,-0.00018892301823708008,-0.1022594677236694,94.31898829747074,-0.007092672718302095,-4.040770101925247,38.865365398640996,3.2612373666533387,-0.014214582232893402,3.0022374483306833,-0.06812195942720756,0.21987215352796677,0.19605356410940353,0.015179503365599204,3.131737407492011
S05,BOR,crop,2371,2.988,3.003,793.3,21.2,0.6648642585407,5.512051793193547e-05,0.02887663797468365,57.76665234207134,0.007343026613965959,2.3677419354838705,138.66311495620437,3.4519452730923694,-0.051738301204818704,2.9867138152380956,-0.06577215428571348,0.1799299763371871,0.17301156030739678,0.008581205637426224,3.2193295441652325
S05,CLC,crop,2202,2.986,3.003,737.0,86.5,0.5413492461398729,0.00014661893279323195,0.03314650408719344,63.32482826300294,-0.004000477543212034,-1.6539027982326928,167.7544835342742,3.5572866776902887,0.3433128047244094,2.9006184817668204,0.25415098305084705,0.1553533862375776,0.13523590081546333,0.010969642480488784,3.2289525797285545
S05,INT,crop,2439,2.99,3.003,815.5,85.2,0.5656510828208282,3.0156819563206705e-06,0.01948340344403454,58.68181818181818,0.002484260949971736,0.28908188585607775,152.08639286346863,3.5638911583253123,0.177405209537572,3.078423744863832,0.1754482725968436,0.1510707899666061,0.13506015884986772,0.006765181654067981,3.321157451594572
S06,BOR,crop,2434,2.982,2.994,815.9,83.0,0.5954383422350041,-0.00011551311818800916,-0.05233099383477191,92.29005751848808,0.008548087629235045,4.445129469790388,63.8592830949055,3.386476274827925,-0.0251707802359884,3.103024009230769,-0.006279555384615332,0.24681581939236832,0.24153018207694965,0.015622665067589858,3.244750142029347
S06,CLC,crop,84354,87.924,111.111,823.5,91.4,0.5411914536358678,-6.90429815841808e-05,-0.0634533993882922,89.53698698342698,0.0034750962690986223,1.9378334163169484,62.5684998133817,3.5375451625139456,0.29174858534990156,3.3084560604205695,0.3043993620136938,0.30682976479127416,0.312022435090812,0.016347124914187945,3.4230006114672573
S06,INT,crop,95079,99.129,125.0,801.9,89.1,0.6014398338329179,7.8287858433878e-05,0.09144707111980566,89.97355883002555,-0.003101883701753828,-1.652667781529047,91.33532576804552,3.6270701496469147,-0.4285343453417463,3.5160142736664186,-0.4928290216304383,0.19648415059658644,0.16854969593564978,0.015189896701912833,3.5715422116566664
S07,BOR,crop,2900,2.977,2.994,973.7,56.2,0.40501355103448283,-0.000267175875066946,-0.16009722877846805,93.25655172413794,0.008479209841061097,5.339544513457554,114.22781280707271,3.6677463673064197,-0.22168197614314167,3.490825932790224,-0.3065325498981668,0.1985724612726529,0.1843529224069963,0.010520988213307983,3.579286150048322
S07,CLC,crop,2618,2.979,2.994,878.5,93.1,0.5202810320855615,0.0001985372398621969,0.11379145527522933,92.09854851031322,0.005754810276676065,3.4919724770642233,96.74795476270492,3.790839959705373,0.05014109232769837,3.7298681838331165,0.019977014341590937,0.13126908270490084,0.11452145790777779,0.006602596625235576,3.7603540717692447
S07,INT,crop,2897,2.985,3.003,970.3,79.1,0.5589864128408699,-7.899030929004735e-05,-0.041467872538860084,90.7877114256127,0.0058232343758176635,3.3803108808290148,64.42922456817398,2.6948120482789446,-0.07309360268456411,2.606326935426802,-0.06442545949535194,0.1803799330072235,0.17375694347247034,0.008390770655730065,2.650569491852873
S08,BOR,crop,2307,2.988,3.003,771.8,42.1,0.3377610078023407,-0.0004760779158808956,-0.24154565669700917,89.37104464672736,-0.008467242352729784,-3.8946684005201604,56.865907604247944,3.599375403076923,0.10701270769230797,3.6134844594039053,0.09641880246913637,0.12755815306737667,0.10203908002437184,0.007829728166500977,3.606429931240414
S08,CLC,crop,2663,2.986,3.003,891.4,88.2,0.5294230766053324,-0.00032842575505057813,-0.1728700248027058,84.99641577060932,0.03960065057649027,10.517665130568346,45.269405653186276,3.9480678755310104,0.2384889846938778,3.9918784199575374,0.25258792611464953,0.14386592677042523,0.12004987384123553,0.008824572968544187,3.969973147744274
S08,INT,crop,2286,2.988,3.003,764.7,88.9,0.5225471535433072,-0.00028946583013095566,-0.20045047244094488,81.75696767001115,-0.14428029908671872,-25.979933110367895,70.84758735856575,3.95264252278295,-0.07134498676470624,4.0342376406096365,-0.06477135250737565,0.19053842139600857,0.17064993360167785,0.010780088797935464,3.993440081696293
