source,relation,target,locus,note
Wendt,contests,Cartesian assumption (users are rational subjects),(p.123 / pdf 125),"Clears the three disembodied designer-assumptions that lead to a dualist design path."
Wendt,defines,embodied cognition,(p.124 / pdf 126),"Thinking is embodied in the world; we interact and learn rather than model-then-act."
Wendt,cites,Andy Clark,(p.124 / pdf 126),"Intelligence rooted in tuning basic responses to a real world; the earthy site of cognition."
Wendt,cites,Hubert Dreyfus,(p.125 / pdf 127),"Heideggerian critique of symbolic AI as a theory of embodied contextual cognition."
Wendt,cites,Merleau-Ponty,(p.125 / pdf 127),"Body as ambiguous third party; a theory of the body is already a theory of perception."
Merleau-Ponty,glosses,solicitations of situations,(p.126 / pdf 128),"Skills stored not as representations but as solicitations of situations in the world."
solicitations of situations,extends,extended mind,(p.126 / pdf 128),"Memory stores external to the mind, accessed through the body, adapted to context."
body as system of possible actions,applies-to-design,multistability,(p.126 / pdf 128),"Raises the design question of guiding conscious and non-conscious goals within multistability."
what things do (not what they are),applies-to-design,information architecture,(p.126 / pdf 128),"Organize content by what it lets users do, not by taxonomy (the IRS tax-form example)."
Gibson,defines,affordance,(p.130 / pdf 132),"Objects perceived by possible actions before naming; framed by what they do."
affordance,discloses,subject-object dualism is false,(p.130 / pdf 132),"Affordance is both physical and psychical yet neither; cuts across the dichotomy."
Wendt,cites,Don Norman,(p.129 / pdf 131),"Affordances as interface elements communicating possible action; deepened past communication."
Latour,glosses,script,(p.128 / pdf 130),"Intended action embedded in an object; designers embed scripts via clear affordances."
bodily capacity,qualifies,affordance,(p.132 / pdf 134),"Perceiving an affordance is near-universal; acting on it depends on bodily capacity."
Tonkinwise,glosses,unsemiotic affordance,(p.132 / pdf 134),"Promised action opportunity between things and the body without the involvement of the mind."
affordance,mediates,creative misuse,(p.128 / pdf 130),"Embodiment enables or hinders creative misuse by limiting the possibilities objects afford."
Wendt,extends,phenomenology of design,(p.133 / pdf 135),"From a metaphysics of design (what objects are) to a phenomenology of design (what they do)."
Wendt,defines,embodied meaning,(p.133 / pdf 135),"Meaning arises from engaging and acting within the world; distributed and action-contingent."
Krippendorff,defines,product semantics,(p.135 / pdf 137),"Optimizes meaningfulness and human-centeredness by users' own criteria, not performance."
Krippendorff,defines,sense vs meaning,(p.137 / pdf 139),"Sense = role in one context; meaning = sum of all imaginable contexts of use."
Wendt,qualifies,Krippendorff,(p.138 / pdf 140),"Use is necessary for sensemaking, not necessarily for meaning (the military-tank case)."
language,co-evolves-with,reality,(p.138 / pdf 140),"Language does not merely represent; it does something and creates reality ('I do')."
Wendt,defines,interface,(p.140 / pdf 142),"Point of sensemaking and structural coupling between user and object and context."
Bonsiepe,glosses,structural coupling,(p.127 / pdf 129),"Design attaches artifacts to the body; without interface there are no tools."
interface,mediates,user-system third entity,(p.143 / pdf 145),"Hookway: holding-apart and drawing-together produce a united user-system condition."
Wendt,contests,Bonsiepe (interface as central domain),(p.142 / pdf 144),"Too limiting; forgets user behaviors and what happens after the interface is designed."
Wendt,contests,Herbert Simon (positivist artifact),(p.142 / pdf 144),"Rejects 'inner appropriate to outer' as the positivist statement the framework opposes."
Wendt,designs-for,transparency,(p.146 / pdf 148),"Transparency (perceived through; movable in and out of awareness) preferable to invisibility."
Wendt,contests,invisibility and intuition,(p.145 / pdf 147),"Inaccurate and harmful; almost all interaction calls upon cultural/learned information."
Ihde,glosses,double desire (paradox of invisibility),(p.148 / pdf 150),"Wanting the transformation yet being unaware of the technology; complete incorporation (the Borg)."
invisibility ideal,discloses,Heidegger's fear of passivity,(p.148 / pdf 150),"Decreasing interaction-labor yields a docile state in which technology embeds into Dasein."
Krippendorff,defines,semantic turn,(p.149 / pdf 151),"Humans influence technological development; designers make 'homes'; meaning matters."
Dourish,defines,embodied interaction,(p.152 / pdf 154),"Takes embodiment as central to and constitutive of the whole phenomenon of interaction."
embodied interaction,applies-to-design,situated design,(p.151 / pdf 153),"Context is actively produced and enacted; ethnography blends designer and user categories."
affordance,discloses,perception-phantasma chain,(p.130 / pdf 132),"RO-hook: action-potential perceived before naming parallels perception->phantasma->desire."
embodied meaning,discloses,meaning-formation as actualized engagement,(p.133 / pdf 135),"RO-hook: meaning as terminus of an embodied perception->action arc, not a representation read-out."
