subject,stimulus,quantity,value,kind
R2-04,BOR,eye openness,-0.843081034893,within-subject z
R2-04,BOR,pupil dilation,-0.927270216701,within-subject z
R2-04,BOR,cognitive load,-0.630680033427,within-subject z
R2-04,BOR,HR,-0.572865190572,within-subject z
R2-04,BOR,gaze deviation variance,-0.270809463322,within-subject z
R2-04,BOR,gaze deviation median,1.10494685139,within-subject z
R2-04,CLC,eye openness,1.10484921522,within-subject z
R2-04,CLC,pupil dilation,-0.132290607586,within-subject z
R2-04,CLC,cognitive load,-0.522324606855,within-subject z
R2-04,CLC,HR,-0.581823763789,within-subject z
R2-04,CLC,gaze deviation variance,1.1075141267,within-subject z
R2-04,CLC,gaze deviation median,-0.262095496601,within-subject z
R2-04,INT,eye openness,-0.261768180326,within-subject z
R2-04,INT,pupil dilation,1.05956082429,within-subject z
R2-04,INT,cognitive load,1.15300464028,within-subject z
R2-04,INT,HR,1.15468895436,within-subject z
R2-04,INT,gaze deviation variance,-0.836704663382,within-subject z
R2-04,INT,gaze deviation median,-0.842851354788,within-subject z
R2-04,BOR,boredom,7,self-report
R2-04,BOR,engagement,1,self-report
R2-04,BOR,sleep-fight,6,self-report
R2-04,BOR,fatigue before,3,self-report
R2-04,BOR,fatigue after,5,self-report
R2-04,CLC,boredom,2,self-report
R2-04,CLC,engagement,3,self-report
R2-04,CLC,sleep-fight,1,self-report
R2-04,CLC,fatigue before,3,self-report
R2-04,CLC,fatigue after,3,self-report
R2-04,INT,boredom,3,self-report
R2-04,INT,engagement,7,self-report
R2-04,INT,sleep-fight,4,self-report
R2-04,INT,fatigue before,2,self-report
R2-04,INT,fatigue after,5,self-report
