source,relation,target,locus,note
bor-sec-46,treats-construct,CONSTRUCT:situational vs. trait/state boredom,p.40,"P/anticipatory-application: Sheehan's central distinction between psychological/existentiel passing affect and existential-structural facticity supplies an analogical frame for separating state-level occurrent boredom from a deeper structural condition; boredom itself is never named in this chapter"
bor-sec-46,qualifies,CONSTRUCT:situational vs. trait/state boredom,p.35-36,"P/anticipatory-application: Sorge's double focus (attuned minding of the clearing vs. relating to things within it) offers a second, independent analogical purchase on separating a state-level occurrent affect from the structural attunement that first opens a field of possible meaning"
bor-sec-46,defines,TERM:Anwesen,p.31,"Sein as provisional stand-in for Anwesen -- intelligibility/meaningful presence of whatever is encountered"
bor-sec-46,defines,TERM:the factum,p.31-33,"Sheehan's own umbrella term for the single, unitary, non-relational bond of ex-sistence and intelligibility named across Heidegger's career as In-der-Welt-sein, Gegenschwung, Ereignis, Seyn, Entsprechung"
bor-sec-46,defines,THEORY-MODEL:Sheehan's four-step reconstruction,p.30-31,"the chapter's own organizing device: (1) the goal of Heidegger's work, (2) transcendence/intentionality, (3) interlude on the phenomenological transformation of Aristotle, (4) facticity read as pathos as the factum"
§1,instances-in-text,TERM:Ereignis,p.32,"coined via translating dynamis as Eignung; ex-sistence as always-already appropriated to its proper status as the field of intelligibility"
§1,instances-in-text,TERM:Gegenschwung,p.31-32,"reciprocal sameness/back-and-forth-ness of Da-sein and Da-sein, Heidegger's 1930s name for the bond"
§1,defines,CLAIM:C2 the unitary factum,p.31-33,"the bond of ex-sistence and intelligibility is a unitary phenomenon (SZ 53) that must never be split into two independently subsisting terms subsequently brought into relation"
§1,contests,CLAIM:C3 Super-Sein mythologizing,p.33,"Sheehan's own polemic against hypostasizing Being Itself into a self-giving, self-withdrawing Metaphysical Something"
§1,contests-reading-of,INTERLOCUTOR:Richard Capobianco,p.33 n.13,"named as the standard-bearer of the Super-Sein/mythologizing reading Sheehan rejects"
§1,shifts-debate-axis,DEBATE-AXIS:correlational vs. hypostasized Being,p.33 n.13,"Sheehan's non-metaphysical, correlational reading of Ereignis/Seyn vs. Capobianco-style readings that treat Being as an independent entity that gives and withdraws itself"
§2,defines,TERM:minding,p.33,"Sheehan's rendering of transcendence-based intentionality; used throughout in place of 'intentionality' alone"
§2,defines,CLAIM:C4 transcendence as ratio essendi,p.33,"transcendence is the ratio essendi of intentionality, intentionality the ratio cognoscendi of transcendence (GA 24:91)"
§2,contests,INTERLOCUTOR:Jean-Paul Sartre,p.33-34,"Sartre's parody of 'digestive epistemology' (knowledge as eating/digesting) is invoked and rejected as a model of mind-as-container"
§2,defines,CLAIM:C5 no inside to ex-sistence,p.33-34,"we are always already outside (Draussensein); outsideness is the condition of being inside meaning"
§2,cites,INTERLOCUTOR:Aristotle,p.34-35,"De Interpretatione 1, 16a6-8 on the mind's pathemata; De Anima III.8, 431b21 on the soul as somehow all things"
§2,cites,INTERLOCUTOR:Thomas Aquinas,p.35,"cited via SZ for the soul as ens quod natum est convenire cum omni ente"
§2,defines,TERM:pathemata,p.34-35,"mental 'affections'/impressions rendered by Heidegger as Erlebnisse; likenesses (homoiomata) of things, not inner images but the mode of direct assimilation to what is encountered"
§2,instances-in-text,TERM:Sorge,p.35-36,"care/concern/interest with double focus: attuned minding of the clearing (befindliches Verstehen) and relating to things within it (Sein bei); existentiel Besorgen/Fuersorge/Selbstsorge vs. existential In-der-Welt-sein/Jemeinigkeit/Seinkoennen"
§3,defines,CLAIM:C8 Aristotle's two questions transformed,p.36-38,"ti to on hei on and tis he ousia recast from direct-realist (exo kai choriston) to phenomenological register: to on -> to paron, ousia -> parousia"
§3,cites,INTERLOCUTOR:Aristotle,p.37-38,"Metaphysics IV.1 1003a21, VII.1 1028b4 (the two questions); Metaphysics I 993b (convertibility of on and alethes) as the textual basis Heidegger draws out rather than imposes"
§3,extends-reading-of,INTERLOCUTOR:Aristotle,p.36-38,"Heidegger's phenomenological interpretation is presented as rendering the Stagirite's own implicit phenomenology explicit, not imposing phenomenology on ontology from without"
§4,cites,INTERLOCUTOR:Heraclitus,p.39-40,"fragments 35, 50, 51: philosophos as already attuned to/in harmony (homologein, harmonie) with logos, prior to Plato/Aristotle's recasting of that attunement as a striving (orexis/eros) for sophia"
§4,defines,TERM:arche,p.40,"both origin and sustaining principle -- wonder does not merely start philosophy but maintains it throughout"
§4,cites,INTERLOCUTOR:Plato,p.40,"Theaetetus 155d2-4: Socrates names pathos -- wondering/marveling -- as the sole arche of philosophy"
§4,cites,INTERLOCUTOR:Andre Gide,p.38-39,"'fine sentiments make for bad literature,' invoked and provisionally tested against philosophy"
§4,defines,CLAIM:C9 pathos concerns us personally,p.38-39,"the 1955 lecture 'What Is Philosophy?' (GA 11:7) requires philosophy's basic factum to touch us personally; raises but does not settle the worry that philosophy is then a matter of feeling"
§4,defines,CLAIM:C12 pathos relocated to Stimmung,p.40,"Heidegger moves pathos out of the psychological/existentiel realm of feeling and into the existential structure Stimmung -- the same move earlier made with Befindlichkeit at SZ section 29"
§4,qualifies,CLAIM:C13 tuning/call-response risk,p.40-41,"the stimmen (tuning-fork/orchestra) and Stimme-und-Zuspruch (call-and-response) images risk reintroducing a two-term, subject-object structure that Sheehan's Step-1 argument had already ruled out"
§4,shifts-debate-axis,DEBATE-AXIS:relational vs. one-sided Stimmung,p.40-42,"tuning/call-and-response metaphors (two-term, dualism-risking) vs. Bestimmt-sein/Bezug/Brauch (one-sided, non-relational factum) as rival images for how Seyn attunes ex-sistence"
§4,defines,TERM:Bestimmt-sein,p.41,"via Grimm's bestimmen = Latin constituere, Greek kathistemi: ex-sistence's achieved, fulfilled condition of having been de-fined/de-termined to its telos, not a point of cessation"
§4,extends,CLAIM:C14 Bestimmt-sein resolves the risk,p.41-42,"no supervenient Being calls, claims, or attunes ex-sistence ab extra as an efficient cause (poietikon) acts on a patient (pathetikon); pathos names the existential structure itself, equivalent to Geworfenheit and Ereignetsein"
§4,defines,TERM:Bezug,p.41-42,"the hermeneutical relation of ex-sistence and Sprache (= Heraclitean logos); explicitly not a two-sided Dasein<->Seyn relation"
§4,defines,TERM:Brauch,p.42,"our fate of being needed/used (gebraucht) to sustain and be the clearing; the one-sided existential fact grounding Bezug"
§4,cites,INTERLOCUTOR:Aristotle,p.42-43,"Metaphysics IX (cf. V.12) on dynamis tou pathein -- pathos as a thing's passivity/receptivity, the ability to undergo or bear up under an action (poiesis)"
§4,defines,CLAIM:C16 pathos as the factum (thesis),p.42-43,"pathos = our facticity = the factum = die Sache selbst of Heidegger's entire project, derived from Aristotle's dynamis tou pathein in Metaphysics IX radically adapted from the being of things to the being of ex-sistence itself"
bor-sec-46,cites,INTERLOCUTOR:Martin Heidegger,throughout,"primary text under analysis across GA 6, 7, 9, 10, 11, 12, 15, 18, 21, 24, 58, 60, 61, 64, 73, 78, 83, and Sein und Zeit; also 'What Is Philosophy?' (GA 11) and 'Conversation with a Japanese Professor' (GA 12)"
bor-sec-46,instances-in-text,TERM:Sinn / Sinngebilde,p.30,"all forms of Sein are Sinngebilde, formations of sense; ontology as the explicit inquiry into the Sinn of things (SZ 12)"
bor-sec-46,shifts-debate-axis,DEBATE-AXIS:ontological/psychological pathos vs. rhetorical pathe,p.34-35;42-43,"P/anticipatory-application: our own observation, not Sheehan's -- this chapter engages pathos exclusively via De Interpretatione's psychological pathemata and Metaphysics IX's ontological dynamis tou pathein, never via Rhetoric II's taxonomy of persuasive emotions (anger, fear, pity, etc.) -- an adjacent but textually distinct lineage of the same Greek root, worth tracking against the dissertation's Part I material"
bor-sec-46,bridges-to-part-iii,DISSERTATION:Part I Aristotelian rhetorical pathos,n/a,"P/anticipatory-application: Sheehan's ontological pathos (receptivity/dynamis tou pathein, a being's capacity to be acted upon) is a plausible deep metaphysical substrate for Rhetoric II's pathe (the audience's being-moved/persuaded) as a species of pathein generally -- a genealogical link Sheehan himself does not draw, offered here as our own cross-reference"
bor-sec-46,bridges-to-part-iii,DISSERTATION:Part II Heideggerian affect/metaphysics chapter,n/a,"P/anticipatory-application: Sheehan's culminating equation pathos = facticity = the factum sharpens Part II's own vocabulary for distinguishing existentiel/psychological affect from existential-structural attunement, directly relevant to the phantasma/originary terminology lock"
