subject,stimulus,round,engaged_composite,boredom,engagement,composite,physiology_engaged,selfreport_bored,category
R2-01,BOR,2,-0.803298586533,8,2,B,False,True,concordant-bored
R2-02,BOR,2,-0.855491400699,9,1,B,False,True,concordant-bored
R2-03,BOR,2,-0.0683144347096,3,6,B,False,False,reverse
R2-04,BOR,2,-0.88639335843,7,1,B,False,True,concordant-bored
S01,BOR,1,-0.803814402386,6,3,B,False,True,concordant-bored
S02,BOR,1,-0.641460099755,9,2,B,False,True,concordant-bored
S03,BOR,1,-0.61928109094,9,1,B,False,True,concordant-bored
S04,BOR,1,-0.784959896257,1,7,B,False,False,reverse
S05,BOR,1,-0.67221654185,9,2,B,False,True,concordant-bored
S06,BOR,1,-0.947418873362,4,5,B,False,False,reverse
S07,BOR,1,-0.518939157364,9,2,B,False,True,concordant-bored
S08,BOR,1,-1.11793388069,9,1,B,False,True,concordant-bored
R2-01,CLC,2,-0.00730457640532,6,4,B,False,True,concordant-bored
R2-02,CLC,2,0.895354884944,8,4,B,True,True,divergent
R2-03,CLC,2,0.574812737548,1,8,B,True,False,concordant-engaged
R2-04,CLC,2,0.259541850043,2,3,B,True,False,concordant-engaged
S01,CLC,1,0.98901851272,3,5,B,True,False,concordant-engaged
S02,CLC,1,0.407730091307,8,3,B,True,True,divergent
S03,CLC,1,-0.0873498684577,3,7,B,False,False,reverse
S04,CLC,1,0.255026308736,9,1,B,True,True,divergent
S05,CLC,1,0.396789206079,6,5,B,True,True,divergent
S06,CLC,1,0.152904562583,6,3,B,True,True,divergent
S07,CLC,1,0.902296756327,6,7,B,True,True,divergent
S08,CLC,1,0.677666074238,7,3,B,True,True,divergent
R2-01,INT,2,0.810603162939,3,6,B,True,False,concordant-engaged
R2-02,INT,2,-0.0398634842448,7,6,B,False,True,concordant-bored
R2-03,INT,2,-0.506498302838,2,8,B,False,False,reverse
R2-04,INT,2,0.626851508387,3,7,B,True,False,concordant-engaged
S01,INT,1,-0.185204110334,2,7,B,False,False,reverse
S02,INT,1,0.233730008448,3,6,B,True,False,concordant-engaged
S03,INT,1,0.706630959398,3,7,B,True,False,concordant-engaged
S04,INT,1,0.529933587521,3,7,B,True,False,concordant-engaged
S05,INT,1,0.275427335771,5,4,B,True,True,divergent
S06,INT,1,0.794514310779,8,2,B,True,True,divergent
S07,INT,1,-0.383357598963,7,6,B,False,True,concordant-bored
S08,INT,1,0.440267806453,5,4,B,True,True,divergent
