channel,criterion,round_scope,n,n_subjects,rho,p_perm,p_analytic,pearson_r,pearson_p_perm,pearson_p_analytic,r_minus_rho,permutations,note
pupil dilation,boredom,pooled,36,12,-0.172096213541,0.40365,0.315547615917,-0.163749235453,0.4334,0.33994003392,0.00834697808863,20000,load-bearing
eye closure,boredom,pooled,36,12,0.45952527184,0.0212,0.00481060413236,0.57654005247,0.0042,0.000232982022333,0.117014780631,20000,load-bearing
gaze deviation (per-file baseline),boredom,pooled,36,12,0.523513069378,0.0074,0.00105106398514,0.573904794886,0.0036,0.00025263590417,0.0503917255076,20000,load-bearing
gaze deviation (device-forward baseline),boredom,pooled,36,12,0.358770292248,0.07515,0.0316531748286,0.340923763807,0.09545,0.0418745773726,-0.0178465284409,20000,load-bearing
gaze deg p90 (device-forward baseline),boredom,pooled,36,12,-0.0455397026837,0.8222,0.791986500603,8.91327363971e-05,0.9995,0.999588354038,0.0456288354201,20000,load-bearing
% time >10 deg off center (device-forward baseline),boredom,pooled,36,12,0.324325248008,0.1114,0.0536315195976,0.346464683423,0.0931,0.0384497699032,0.0221394354145,20000,load-bearing
excursion rate >10 deg (device-forward baseline),boredom,pooled,36,12,-0.0823068847372,0.68295,0.633202695122,-0.148141198772,0.4675,0.388549923431,-0.065834314035,20000,load-bearing
gaze deviation variance (per-file baseline),boredom,pooled,36,12,-0.114300783506,0.56745,0.506829726711,-0.104699878396,0.61,0.543384461486,0.00960090511083,20000,load-bearing
cognitive load,boredom,pooled,36,12,-0.0918534513054,0.6516,0.594172538944,-0.0593004016807,0.77425,0.731186176083,0.0325530496247,20000,APPENDIX ONLY (vendor index)
HR,boredom,pooled,34,12,0.0877558181285,0.6774,0.621649364667,0.0788490947236,0.7153,0.657578163199,-0.00890672340495,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),boredom,pooled,36,12,0.590468043012,0.00245,0.000150089165694,0.622785400409,0.00165,4.98571764188e-05,0.0323173573964,20000,load-bearing
pupil dilation,engagement,pooled,36,12,0.0358178401997,0.86075,0.835706085354,0.10040248451,0.6276,0.560142362639,0.0645846443102,20000,load-bearing
eye closure,engagement,pooled,36,12,-0.41641460261,0.03705,0.0115295349154,-0.530415170636,0.0077,0.000875903250039,-0.114000568026,20000,load-bearing
gaze deviation (per-file baseline),engagement,pooled,36,12,-0.527475675459,0.0075,0.000947064698408,-0.590030348908,0.003,0.000152224273858,-0.0625546734492,20000,load-bearing
gaze deviation (device-forward baseline),engagement,pooled,36,12,-0.391161736857,0.05145,0.0183241331319,-0.403273717222,0.04755,0.0147352404188,-0.0121119803644,20000,load-bearing
gaze deg p90 (device-forward baseline),engagement,pooled,36,12,-0.0328544937084,0.87295,0.849135806342,-0.0881391881963,0.6675,0.609233202503,-0.055284694488,20000,load-bearing
% time >10 deg off center (device-forward baseline),engagement,pooled,36,12,-0.333956265459,0.09905,0.0465266482753,-0.389379856331,0.05695,0.0189091347775,-0.055423590872,20000,load-bearing
excursion rate >10 deg (device-forward baseline),engagement,pooled,36,12,0.184371688222,0.3622,0.281725626696,0.216220433861,0.29315,0.205304141613,0.0318487456388,20000,load-bearing
