subject,stimulus,round,variant,bin,t_s,duration_s,cognitive_load,decimation_step,gaze_dev,hr,openness,openness_sentinel,pupil,grid,t_frac
S01,BOR,1,unified,0,0,732.9,0.306231,1,0.138283546656,73,1,1,3.86978416667,abs,
S01,BOR,1,unified,1,1,732.9,0.354923,1,0.0993603945906,73,1,1,3.80411033333,abs,
S01,BOR,1,unified,2,2,732.9,0.344734,1,0.0881365779403,73,1,1,3.74288183333,abs,
S01,BOR,1,unified,3,3,732.9,0.29547,1,0.106492152619,73,0.666666666667,0.666666666667,3.624355,abs,
S01,BOR,1,unified,4,4,732.9,0.27742,1,0.102884894108,73,0.666666666667,0.666666666667,3.62519075,abs,
S01,BOR,1,unified,5,5,732.9,0.287495,1,0.126002662203,73,1,1,3.62432866667,abs,
S01,BOR,1,unified,6,6,732.9,0.282692,1,0.166863496499,74.3333333333,1,1,3.775388,abs,
S01,BOR,1,unified,7,7,732.9,0.297987,1,0.172230864861,75,1,1,3.757754,abs,
S01,BOR,1,unified,8,8,732.9,0.305212,1,0.170099606116,75,1,1,3.65505483333,abs,
S01,BOR,1,unified,9,9,732.9,0.312616,1,0.159539821285,75,1,1,3.66645816667,abs,
S01,BOR,1,unified,10,10,732.9,0.352157,1,0.15660442237,75,1,1,3.665217,abs,
S01,BOR,1,unified,11,11,732.9,0.362491,1,0.0752794792756,78,1,1,3.54207366667,abs,
S01,BOR,1,unified,12,12,732.9,0.363925,1,0.0865100280477,78,1,1,3.51943466667,abs,
S01,BOR,1,unified,13,13,732.9,0.328975,1,0.141311285067,78,1,1,3.05717466667,abs,
S01,BOR,1,unified,14,14,732.9,0.346863,1,0.303850317161,78,1,1,2.69156633333,abs,
S01,BOR,1,unified,15,15,732.9,0.371901,1,0.274875644791,78,1,1,2.95101433333,abs,
S01,BOR,1,unified,16,16,732.9,0.373545,1,0.282359763028,77,1,1,2.85973366667,abs,
S01,BOR,1,unified,17,17,732.9,0.849367,1,0.323983851674,77,1,1,2.848722,abs,
S01,BOR,1,unified,18,18,732.9,0.845378,1,0.276396454391,77,1,1,3.05564866667,abs,
S01,BOR,1,unified,19,19,732.9,0.850032,1,0.280846911954,77,1,1,3.16111783333,abs,
S01,BOR,1,unified,20,20,732.9,0.359331,1,0.289382537726,77,1,1,3.278216,abs,
S01,BOR,1,unified,21,21,732.9,0.343551,1,0.293581206287,76,1,1,3.34457383333,abs,
S01,BOR,1,unified,22,22,732.9,0.344333,1,0.273491183004,76,1,1,3.3959275,abs,
S01,BOR,1,unified,23,23,732.9,0.344250333333,1,0.163997838431,76,1,1,2.6959685,abs,
S01,BOR,1,unified,24,24,732.9,0.336741,1,0.162211400137,76,1,1,2.67613233333,abs,
S01,BOR,1,unified,25,25,732.9,0.792791,1,0.185317566879,76,1,1,2.646505,abs,
S01,BOR,1,unified,26,26,732.9,0.761863,1,0.185499326144,76,1,1,2.64585116667,abs,
S01,BOR,1,unified,27,27,732.9,0.716636333333,1,0.243895469413,76,1,1,2.69916033333,abs,
S01,BOR,1,unified,28,28,732.9,0.694983333333,1,0.265720422358,76,1,1,2.731771,abs,
S01,BOR,1,unified,29,29,732.9,0.686705,1,0.266442861739,76,1,1,2.62011216667,abs,
S01,BOR,1,unified,30,30,732.9,0.651459,1,0.180587928722,76,1,1,2.91137325,abs,
S01,BOR,1,unified,31,31,732.9,0.644006,1,0.271560029741,74,1,1,2.96551516667,abs,
S01,BOR,1,unified,32,32,732.9,0.637538,1,0.406494943769,74,1,1,3.09279633333,abs,
S01,BOR,1,unified,33,33,732.9,0.639482,1,0.386373908023,74,1,1,3.352585,abs,
S01,BOR,1,unified,34,34,732.9,0.649266,1,0.197002024355,74,1,1,3.0172985,abs,
S01,BOR,1,unified,35,35,732.9,0.648125,1,0.174874823219,74,1,1,2.802269,abs,
S01,BOR,1,unified,36,36,732.9,0.655956,1,0.19948476048,73,1,1,2.75679033333,abs,
S01,BOR,1,unified,37,37,732.9,0.667435,1,0.279310089096,73,1,1,2.81914533333,abs,
S01,BOR,1,unified,38,38,732.9,0.690404,1,0.223295373793,73,0.666666666667,0.666666666667,2.7331085,abs,
S01,BOR,1,unified,39,39,732.9,0.700549,1,0.235738464955,73,1,1,2.68304466667,abs,
S01,BOR,1,unified,40,40,732.9,0.714464,1,0.154342656017,73,1,1,2.7610575,abs,
S01,BOR,1,unified,41,41,732.9,0.713971,1,0.149205036026,73,1,1,2.84695683333,abs,
S01,BOR,1,unified,42,42,732.9,0.526012,1,0.149541226331,73,1,1,2.89037316667,abs,
S01,BOR,1,unified,43,43,732.9,0.52834,1,0.131666056441,73,1,1,2.71799483333,abs,
S01,BOR,1,unified,44,44,732.9,0.523432,1,0.267673960446,73,1,1,2.93955733333,abs,
S01,BOR,1,unified,45,45,732.9,0.521363,1,0.234670626355,73,1,1,3.03730016667,abs,
S01,BOR,1,unified,46,46,732.9,0.514035,1,0.180564783796,76,0,0.333333333333,3.153854,abs,
S01,BOR,1,unified,47,47,732.9,0.508393,1,0.341697049689,76,1,1,2.94851416667,abs,
S01,BOR,1,unified,48,48,732.9,0.456719,1,0.27254454995,76,0.666666666667,0.666666666667,3.07356625,abs,
S01,BOR,1,unified,49,49,732.9,0.466319,1,0.168874153858,76,1,1,2.88857266667,abs,
S01,BOR,1,unified,50,50,732.9,0.458526,1,0.166676333053,76,1,1,2.759801,abs,
S01,BOR,1,unified,51,51,732.9,0.48979,1,0.216233140344,74,1,1,2.7193705,abs,
S01,BOR,1,unified,52,52,732.9,0.48129,1,0.267407807506,74,1,1,2.7939655,abs,
S01,BOR,1,unified,53,53,732.9,0.482672666667,1,0.260287293442,74,1,1,2.7812625,abs,
S01,BOR,1,unified,54,54,732.9,0.498302666667,1,0.257653619509,74,1,1,2.837476,abs,
S01,BOR,1,unified,55,55,732.9,0.492251666667,1,0.258824231586,75.6666666667,0.666666666667,0.666666666667,2.69673525,abs,
S01,BOR,1,unified,56,56,732.9,0.488057333333,1,0.256847162901,79,1,1,2.832614,abs,
S01,BOR,1,unified,57,57,732.9,0.489203333333,1,0.240054470992,79,1,1,2.83689883333,abs,
S01,BOR,1,unified,58,58,732.9,0.501663,1,0.0484567591044,79,1,1,2.65273783333,abs,
S01,BOR,1,unified,59,59,732.9,0.505248,1,0.0672478864213,79,1,1,2.64591733333,abs,
S01,BOR,1,unified,60,60,732.9,0.507416,1,0.159382014682,79,1,1,2.8177845,abs,
S01,BOR,1,unified,61,61,732.9,0.505484,1,0.142849124235,79,0.5,0.5,2.838394,abs,
S01,BOR,1,unified,62,62,732.9,0.506492,1,0.0932117315895,79,1,1,2.84655266667,abs,
S01,BOR,1,unified,63,63,732.9,0.503151,1,0.0902926757088,79,1,1,2.69056966667,abs,
S01,BOR,1,unified,64,64,732.9,0.504393,1,0.0938494618233,79,0.666666666667,0.666666666667,2.796932,abs,
S01,BOR,1,unified,65,65,732.9,0.512518,1,0.107361340157,79,1,1,2.60927833333,abs,
S01,BOR,1,unified,66,66,732.9,0.519924,1,0.135494022943,83,0.666666666667,0.666666666667,2.6469575,abs,
S01,BOR,1,unified,67,67,732.9,0.524662,1,0.14554237904,83,0.666666666667,0.666666666667,2.8711735,abs,
S01,BOR,1,unified,68,68,732.9,0.524425,1,0.0951231800832,83,1,1,3.0174915,abs,
S01,BOR,1,unified,69,69,732.9,0.495967,1,0.0570458552089,83,1,1,3.05349733333,abs,
S01,BOR,1,unified,70,70,732.9,0.498226,1,0.0585421747151,83,1,1,3.5151875,abs,
S01,BOR,1,unified,71,71,732.9,0.47317,1,0.0947259204231,84,1,1,3.44053916667,abs,
S01,BOR,1,unified,72,72,732.9,0.472869,1,0.090426765949,84,1,1,2.8191935,abs,
S01,BOR,1,unified,73,73,732.9,0.477447,1,0.0775729139392,84,1,1,2.780131,abs,
S01,BOR,1,unified,74,74,732.9,0.483422,1,0.0516333225737,84,1,1,2.823222,abs,
S01,BOR,1,unified,75,75,732.9,0.709527,1,0.0886471393755,84,1,1,2.81023916667,abs,
S01,BOR,1,unified,76,76,732.9,0.506654,1,0.163792052737,84,0.666666666667,0.666666666667,2.8937455,abs,
S01,BOR,1,unified,77,77,732.9,0.516997,1,0.153975295411,84,1,1,2.797076,abs,
S01,BOR,1,unified,78,78,732.9,0.508818,1,0.150570715971,84,1,1,2.91245816667,abs,
S01,BOR,1,unified,79,79,732.9,0.505198,1,0.1444808363,84,1,1,2.89965816667,abs,
S01,BOR,1,unified,80,80,732.9,0.494069,1,0.115028956446,84.3333333333,0.666666666667,0.666666666667,3.020447,abs,
S01,BOR,1,unified,81,81,732.9,0.508171,1,0.112182491629,85,1,1,2.81221766667,abs,
S01,BOR,1,unified,82,82,732.9,0.515446,1,0.180853617886,85,1,1,2.98695116667,abs,
S01,BOR,1,unified,83,83,732.9,0.514486,1,0.260160681043,85,1,1,3.02144366667,abs,
S01,BOR,1,unified,84,84,732.9,0.521128,1,0.263298729128,85,1,1,3.004181,abs,
S01,BOR,1,unified,85,85,732.9,0.519193,1,0.399709383326,85.3333333333,1,1,3.27151483333,abs,
S01,BOR,1,unified,86,86,732.9,0.524383,1,0.399786575411,86,1,1,3.25867466667,abs,
S01,BOR,1,unified,87,87,732.9,0.515797,1,0.400721826011,86,1,1,2.93741333333,abs,
S01,BOR,1,unified,88,88,732.9,0.512699,1,0.376963795751,86,1,1,3.287005,abs,
S01,BOR,1,unified,89,89,732.9,0.572731333333,1,0.119613666438,86,1,1,2.838501,abs,
S01,BOR,1,unified,90,90,732.9,0.709285,1,0.274818940356,86,1,1,2.84393283333,abs,
S01,BOR,1,unified,91,91,732.9,0.709731333333,1,0.390441529505,86,1,1,3.12035633333,abs,
S01,BOR,1,unified,92,92,732.9,0.707305666667,1,0.402997730815,86,1,1,3.10935966667,abs,
S01,BOR,1,unified,93,93,732.9,0.698571,1,0.406508743895,86,1,1,3.25223783333,abs,
S01,BOR,1,unified,94,94,732.9,0.692029666667,1,0.402329082166,86,1,1,3.23851016667,abs,
S01,BOR,1,unified,95,95,732.9,0.689611,1,0.400805439085,86,1,1,2.94541575,abs,
S01,BOR,1,unified,96,96,732.9,0.685971,1,0.403941139819,84,1,1,3.13522083333,abs,
S01,BOR,1,unified,97,97,732.9,0.685668,1,0.403187913017,84,1,1,3.23264816667,abs,
S01,BOR,1,unified,98,98,732.9,0.666965,1,0.255823971945,84,1,1,3.19036633333,abs,
S01,BOR,1,unified,99,99,732.9,0.663655,1,0.189854274829,84,1,1,3.1500855,abs,
S01,BOR,1,unified,100,100,732.9,0.648202,1,0.18445323132,82.3333333333,1,1,3.38109833333,abs,
S01,BOR,1,unified,101,101,732.9,0.642564,1,0.182789317353,79,0.666666666667,0.666666666667,3.4375955,abs,
S01,BOR,1,unified,102,102,732.9,0.627163,1,0.19446353343,79,1,1,3.35755416667,abs,
S01,BOR,1,unified,103,103,732.9,0.623876,1,0.20944588612,79,1,1,3.47224666667,abs,
S01,BOR,1,unified,104,104,732.9,0.620159,1,0.241026969445,79,1,1,3.48752583333,abs,
S01,BOR,1,unified,105,105,732.9,0.623636,1,0.234307073584,79.3333333333,1,1,3.46877783333,abs,
S01,BOR,1,unified,106,106,732.9,0.627479,1,0.208696532263,80,0.666666666667,1,3.38180533333,abs,
S01,BOR,1,unified,107,107,732.9,0.645937,1,0.205544687202,80,1,1,3.5053865,abs,
S01,BOR,1,unified,108,108,732.9,0.660283,1,0.202846628798,80,1,1,3.5113525,abs,
S01,BOR,1,unified,109,109,732.9,0.672314,1,0.18291198488,80,1,1,3.34482316667,abs,
S01,BOR,1,unified,110,110,732.9,0.701627,1,0.172303171278,78.6666666667,1,1,3.55181133333,abs,
S01,BOR,1,unified,111,111,732.9,0.525483,1,0.143403129105,76,1,1,3.60854066667,abs,
S01,BOR,1,unified,112,112,732.9,0.271283,1,0.164199497367,76,1,1,3.56287383333,abs,
S01,BOR,1,unified,113,113,732.9,0.327058,1,0.212687564282,76,1,1,3.56145966667,abs,
S01,BOR,1,unified,114,114,732.9,0.300375,1,0.180152303998,76,1,1,3.590243,abs,
S01,BOR,1,unified,115,115,732.9,0.338639,1,0.121326342119,74.6666666667,1,1,3.53405766667,abs,
S01,BOR,1,unified,116,116,732.9,0.358009,1,0.14827900819,72,0.333333333333,0.333333333333,3.54657,abs,
S01,BOR,1,unified,117,117,732.9,0.37892,1,0.140664684689,72,1,1,2.769755,abs,
