source,relation,target,locus,note
bor-sec-44,defines,Fisher (1993) boredom definition,p.83,"'Real boredom' defined as 'an unpleasant, transient affective state in which the individual feels a pervasive lack of interest in and difficulty concentrating on the current activity' (paraphrased; short direct fragment quoted), the sole definitional anchor for this paper's boredom condition (FAITHFUL-Nacke & Lindley, p.83)."
bor-sec-44,defines,Csikszentmihalyi (1975/1990) flow definition,p.82,"Flow defined as 'the holistic sensation that people feel when they act with total involvement' (direct quote, 11 words), with characteristics: balance of challenge/skill, clear goals, explicit feedback, indistinct sense of time, loss of self-consciousness, enjoyment, control, autotelic activity (FAITHFUL-Nacke & Lindley, p.82)."
bor-sec-44,defines,Ellis et al. (1994) four-channel flow model,p.82,"Revises Csikszentmihalyi's original flow model into a two-dimensional four-channel model (Fig.1: skill x challenge) yielding flow/anxiety/apathy/boredom quadrants -- boredom appears here as a named, structurally opposite quadrant to flow (FAITHFUL-Nacke & Lindley, p.82)."
bor-sec-44,treats-construct,flow / engagement (contrast pole),"p.82, 86-87","Primary theoretical anchor of the entire paper; Csikszentmihalyi's model + four-channel revision defined at length; GEQ flow subscale administered; flow-designed level scores highest on every physiological measure taken, described as 'high-arousal positive affect' (FAITHFUL-Nacke & Lindley, p.82, 86-87)."
bor-sec-44,treats-construct,situational vs. trait/state boredom,p.83,"Boredom operationalized purely as a situational, experimentally-induced level condition identical across all 25 participants; no boredom-proneness or other trait instrument administered anywhere in the study (FAITHFUL-Nacke & Lindley, p.83)."
bor-sec-44,treats-construct,monotony / meaninglessness,p.83,"Boredom-condition design criteria -- linear level, repeating textures/models, weak/repetitive opponents, damped sound, 'no real winning condition,' 'no surprises' -- operationally define monotony as the mechanism inducing the boredom condition (FAITHFUL-Nacke & Lindley, p.83)."
bor-sec-44,treats-construct,attentional disengagement / meta-awareness,p.83,"Present only via the single borrowed Fisher (1993) definition's attentional-failure clause ('difficulty concentrating on the current activity'); never developed as an independent construct or measured directly (FAITHFUL-Nacke & Lindley, p.83)."
bor-sec-44,operationalizes-measure,self-report / survey scale,p.84-87,"GEQ (7 subscales) + MEC Spatial Presence Questionnaire (2 subscales) administered after each of 3 modality plays; analytic N approx 21 (inferred from ANOVA df); significant only for GEQ challenge/tension and both MEC-SPQ subscales (FAITHFUL-Nacke & Lindley, p.84-87)."
bor-sec-44,operationalizes-measure,"facial electromyography (EMG) [own-term measure, no exact controlled-vocabulary match]",p.84-85/87,"OO (positive valence), CS (negative valence), ZM (positive valence) via BioSemi electrodes, ActiveTwo AD-box 2kHz; analytic N approx 16 (inferred); OO and ZM significant (flow condition highest), CS non-significant; falls outside the twelve given MEASURE-axis columns and is logged under the source's own terminology (FAITHFUL-Nacke & Lindley, p.84-85, 87)."
bor-sec-44,operationalizes-measure,"galvanic skin response (GSR) [own-term measure, no exact controlled-vocabulary match]",p.84/87,"Log-transformed skin conductance via two passive Nihon Kohden electrodes on the left hand; analytic N approx 16 (inferred); significant, flow condition highest arousal; falls outside the twelve given MEASURE-axis columns and is logged under the source's own terminology (FAITHFUL-Nacke & Lindley, p.84, 87)."
bor-sec-44,construct-measured-by,flow / engagement (contrast pole) <- self-report / survey scale (GEQ flow subscale),p.86,"GEQ flow subscale administered as the primary self-report index of the flow condition, though the subscale itself did not reach significance across the three conditions (F(2,40)=2.08, p>.05) despite the flow condition's other significant results elsewhere (FAITHFUL-Nacke & Lindley, p.86)."
bor-sec-44,construct-measured-by,flow / engagement (contrast pole) <- facial EMG + GSR,p.86-87,"The paper's own internal construct-measure pairing: flow's positive-valence high-arousal profile is operationalized via OO/ZM (valence) and GSR (arousal), the physiological triad that most clearly discriminated the flow condition from the other two (FAITHFUL-Nacke & Lindley, p.86-87)."
bor-sec-44,construct-measured-by,situational vs. trait/state boredom <- self-report / survey scale (GEQ),p.86,"The boredom-designed level is operationalized/validated via GEQ scores: lowest on challenge/immersion/flow, highest on competence, 'completely in line with expectations' for a low-engagement condition (FAITHFUL-Nacke & Lindley, p.86)."
bor-sec-44,cites,"Half-Life 2 (Valve Corporation, 2004) [ref.1]",p.83,"The base game engine and content modified to create the three experimental level conditions (boredom, immersion, flow) (FAITHFUL-Nacke & Lindley, p.83)."
bor-sec-44,cites,"Appelman, R. (2007) [ref.2]",p.84,"Experiential Modes of Game Play; informs the demographic-data-collection design used in the Participants section (FAITHFUL-Nacke & Lindley, p.84)."
bor-sec-44,cites,"Brown, E. and Cairns, P. (2004) [ref.3]",p.81,"A Grounded Investigation of Game Immersion; source of the engagement/engrossment/total-immersion (=presence) gradient discussed in section 1.1 (FAITHFUL-Nacke & Lindley, p.81)."
