concept,priority,category,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10
phantasia,core,perceptual/cognitive,C,C,P,C,C,C,C,P,C,C
phantasma,core,perceptual,-,P,-,C,C,P,P,-,P,P
aisthesis,core,perceptual,P,P,-,C,-,P,P,C,-,-
kinesis,core,kinetic,P,P,C,C,-,C,P,-,P,P
chronos,core,temporal,P,-,C,-,-,-,P,-,-,-
pathos,core,affective,-,P,-,-,P,C,P,-,C,C
doxa/krisis,core,cognitive,-,-,-,-,-,C,P,-,P,P
taking_as,core,cognitive,P,-,-,-,-,C,P,-,P,-
Stimmung,core,existential,-,-,-,-,-,-,P,C,C,C
Befindlichkeit,core,existential,-,-,-,-,-,-,-,C,P,P
resonant_motion,core,kinetic,-,-,-,-,-,-,-,-,C,P
resonant_affect,core,affective,-,-,-,-,-,-,-,-,C,P
antichesis,core,kinetic/existential,-,-,-,-,-,-,-,-,C,P
ontological_completion,core,existential,-,-,-,-,-,-,-,-,-,C
affective_architecture,core,affective,-,-,-,-,-,C,-,-,-,-
orexis,core,affective/kinetic,-,P,-,-,-,C,-,-,-,-
habituated_phantasia,core,cognitive,-,C,-,-,-,-,-,-,-,-
Erschlossenheit,core,existential,-,-,-,-,-,-,-,C,-,P
Geworfenheit,core,existential,-,-,-,-,-,-,-,C,-,P
apoleipomene_kinesis,core,kinetic,-,-,-,C,-,-,-,-,P,-
mneme,important,cognitive,-,-,-,-,C,-,-,-,-,-
hexis,important,cognitive,-,C,-,-,-,-,-,-,-,-
Sorge,important,existential,-,-,-,-,-,-,-,P,-,P
Bedeutsamkeit,important,existential,-,-,-,-,-,-,-,P,-,P
Zeitlichkeit,important,temporal/existential,-,-,-,-,-,-,P,P,-,P
dynamis,important,perceptual,-,-,-,C,-,-,-,-,-,-
energeia,important,perceptual,-,-,-,C,-,-,-,-,-,-
deliberative_phantasia,important,cognitive,-,P,-,-,-,C,-,-,-,-
sensitive_phantasia,important,cognitive,-,-,-,-,-,C,-,-,-,-
dual_trace,important,kinetic/affective,-,-,-,-,-,-,-,-,C,-
eikon,peripheral,perceptual,-,-,-,-,C,-,-,-,-,-
nous,peripheral,cognitive,P,-,-,-,-,-,-,-,-,-
phronesis,peripheral,cognitive,-,P,-,-,-,P,-,-,-,-
enargeia,peripheral,rhetorical,-,-,-,-,-,P,-,-,-,-
alloiosis,peripheral,kinetic,-,-,-,P,-,-,-,-,-,-
Verstehen,peripheral,existential,-,-,-,-,-,-,-,P,-,-
