source_claim,relation,edge_domain,target,note,location
DISS-02-C001,grounds,architectural,DISS-02-C004,A_1 scope definition grounds the hinge claim,line 5
DISS-02-C001,grounds,architectural,DISS-02-C019,A_1 scope definition grounds the constellation-of-preconditions summary,line 5
DISS-02-C002,depends_on,architectural,DISS-02-C001,Transition definition depends on A_1 scope,line 5
DISS-02-C003,instantiates,architectural,DISS-02-C001,Three-factor schema instantiates A_1 scope for perception,line 5
DISS-02-C003,depends_on,citation,ARISTOTLE-LOCUS:DA III.10 433b12-25,Three-factor schema warrant,line 5
DISS-02-C003,needs-citation,citation,ARISTOTLE-LOCUS:DA III.10 433b12-25,T5 citation gap,line 5
DISS-02-C004,grounds,architectural,DISS-02-C133,Hinge claim grounds A_2-as-threshold,line 5
DISS-02-C005,grounds,architectural,DISS-02-C006,Preconditions list grounds first-vs-second-actuality precondition,line 7
DISS-02-C005,grounds,architectural,DISS-02-C008,Preconditions list grounds organ first-actuality,line 7
DISS-02-C005,grounds,architectural,DISS-02-C010,Preconditions list grounds medium precondition,line 7
DISS-02-C006,cites-as-support,citation,ARISTOTLE-LOCUS:Met. IX.6 1048b10-34,First-vs-second-actuality,line 7
DISS-02-C008,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417a21-b2,Hexis at second grade of potentiality,line 7
DISS-02-C010,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.7-11,Five sense-media coverage,line 7
DISS-02-C011,cites-as-support,citation,ARISTOTLE-LOCUS:Sense and Sensibilia 6 447a3-7,Sequential medium affection,line 7
DISS-02-C012,cites-as-support,citation,ARISTOTLE-LOCUS:Sense and Sensibilia 6 446b8-9,Light vs. sound speed,line 7
DISS-02-C013,grounds,architectural,DISS-02-C015,Receptivity-vs-passivity grounds structured-readiness thesis,line 9
DISS-02-C014,instantiates,Heidegger,DISS-02-C013,Geworfenheit instantiates receptivity-vs-passivity,line 9
DISS-02-C014,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.135,Geworfenheit canonical,line 9
DISS-02-C015,supports,architectural,DISS-02-C027,Structured readiness supports sense-as-logos,line 9
DISS-02-C016,extends,Heidegger,DISS-02-C014,Befindlichkeit extends Geworfenheit (deferred to emotion section),line 9
DISS-02-C017,contrasts_with,scholarly,DISS-02-C010,Gibson reformulates medium-precondition,line 11
DISS-02-C018,refines,architectural,DISS-02-C017,Gibson-tension qualifies the parallel,line 11
DISS-02-C019,supports,architectural,DISS-02-C133,A_1 summary supports A_2-as-threshold,line 11
DISS-02-C020,grounds,architectural,DISS-02-C023,Form-without-matter thesis grounds canonical quotation,line 15
DISS-02-C021,supports,citation,DISS-02-C020,Scholarly interlocutors support form-without-matter thesis,line 15
DISS-02-C022,refines,methodological,DISS-02-C020,Methodological restriction refines section scope,line 15
DISS-02-C023,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.12 424a18-24,Form-without-matter canonical,line 17
DISS-02-C024,refines,architectural,DISS-02-C023,Isomorphism gloss refines the quotation,line 19
