source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-01-NUSSBAUM,defines,READING:phantasia-as-interpretation,interpretive-thesis,11,221-269,Nussbaum,"Core thesis: phantasia is the interpretive aspect of perception — seeing object as F"
PHX-01-NUSSBAUM,defines,CONCEPT:phantasia-as-seeing-as,concept,20,230-231,Nussbaum,"Phantasia roughly analogous to Wittgensteinian seeing-as / aspect-seeing"
PHX-01-NUSSBAUM,defines,CONCEPT:object-as-F,concept,47,257-258,Nussbaum,"Object-as-F formal content is what phantasia adds over aisthesis"
PHX-01-NUSSBAUM,defines,READING:two-description-identity,interpretive-thesis,25,234-236,Nussbaum,"Phantasia/aisthesis identity on arete/dikaiosune model, not road-up/road-down"
PHX-01-NUSSBAUM,contests,READING:image-theory-of-phantasia,interpretive-thesis,12,222-228,Nussbaum,"Four-part attack on image view (Ross/Hicks/Hamlyn/Rees/Freudenthal/Sorabji)"
PHX-01-NUSSBAUM,contests,MODERN:Sorabji-AristotleOnMemory,modern-interlocutor,12,222 n.2,Nussbaum,"Sorabji as canonical image-theorist"
PHX-01-NUSSBAUM,contests,MODERN:Ross-DA-commentary,modern-interlocutor,53,263 + n.65,Nussbaum,"Rejects Ross's collage-of-pictures reading of DA 434a7-10"
PHX-01-NUSSBAUM,contests,MODERN:Hicks-DA-commentary,modern-interlocutor,50,260 + n.58,Nussbaum,"Rejects Hicks's voice-image reading of DA 420b31"
PHX-01-NUSSBAUM,contests,MODERN:Freudenthal,modern-interlocutor,11,221 n.1,Nussbaum,"Target of opening complaint; Freudenthal dismissed action passages"
PHX-01-NUSSBAUM,contests,READING:DA-428a1-4-standard-reading,interpretive-thesis,42,252-253,Nussbaum,"Rereads kata metaphoran clause as bracketing 'mere show' sense, not phainetai-uses"
PHX-01-NUSSBAUM,extends,MODERN:Owen-Tithenai-ta-phainomena,modern-interlocutor,36,246 + n.40,Nussbaum,"Extends Owen's methodological phainomena thesis to phantasia"
PHX-01-NUSSBAUM,extends,MODERN:Wittgenstein-PI-IIxi,modern-interlocutor,20,230-231,Nussbaum,"Adopts seeing-as as analytic lens for phantasia"
PHX-01-NUSSBAUM,extends,MODERN:Ishiguro-Imagination,modern-interlocutor,20,230 n.21,Nussbaum,"Adopts Ishiguro's elaboration of imagining as species of seeing-as"
PHX-01-NUSSBAUM,extends,MODERN:Goodman-LanguagesOfArt,modern-interlocutor,16,225-228,Nussbaum,"Heavy borrowing for anti-similarity account of representation"
PHX-01-NUSSBAUM,concedes,LOCUS:Mem-449b31,aristotle-locus,56,266,Nussbaum,"Triangle example is pictorial; concedes image-language but resists centrality"
PHX-01-NUSSBAUM,concedes,LOCUS:Mem-450a25,aristotle-locus,40,250,Nussbaum,"zographema language is metaphorical assimilation, not lexical identity"
PHX-01-NUSSBAUM,concedes,LOCUS:Mem-451a15,aristotle-locus,39,249,Nussbaum,"Definition of memory uses phantasma; admitted but localized"
PHX-01-NUSSBAUM,concedes,LOCUS:Insomn-461b29,aristotle-locus,39,249,Nussbaum,"Dream-image as cloud-form residue — imagistic but isolable physiological hypothesis"
PHX-01-NUSSBAUM,concedes,LOCUS:DA-III.3-closing-paragraph,aristotle-locus,41,251,Nussbaum,"Decaying-sense paragraph at chapter close — concedes but denies governance"
PHX-01-NUSSBAUM,qualifies,READING:phantasia-image-relation,interpretive-thesis,40,250,Nussbaum,"Imaging finds a place within theory but not theoretically central"
PHX-01-NUSSBAUM,cites,LOCUS:MA-700b17,aristotle-locus,22,232,Nussbaum,"MA 6 kritika catalog: phantasia, aisthesis, nous/dianoia"
PHX-01-NUSSBAUM,cites,LOCUS:MA-701a29-32,aristotle-locus,22,232,Nussbaum,"Drink syllogism — disjunctive kritika"
PHX-01-NUSSBAUM,cites,LOCUS:MA-702a18,aristotle-locus,23,233,Nussbaum,"Phantasia prepares desire — umbrella role passage"
PHX-01-NUSSBAUM,cites,LOCUS:MA-701b17-21,aristotle-locus,28,238,Nussbaum,"Noesis + phantasia have power of actual things"
PHX-01-NUSSBAUM,cites,LOCUS:MA-701b21,aristotle-locus,47,257,Nussbaum,"Forms of pleasant/painful"
PHX-01-NUSSBAUM,cites,LOCUS:MA-703b19-20,aristotle-locus,47,257,Nussbaum,"Forms of that which produces affections"
PHX-01-NUSSBAUM,cites,LOCUS:MA-702a5,aristotle-locus,41,251,Nussbaum,"Memory as awareness of eidola/shadows — non-imagistic revision"
PHX-01-NUSSBAUM,cites,LOCUS:DA-432b15,aristotle-locus,23,233,Nussbaum,"Motion always with both phantasia and orexis"
PHX-01-NUSSBAUM,cites,LOCUS:DA-433a20,aristotle-locus,23,233 + n.26,Nussbaum,"When phantasia imparts motion it does so with orexis"
