subject,stimulus,quantity,value,kind
R2-01,BOR,eye openness,0.771792246124,physiology
R2-01,CLC,eye openness,0.907995241907,physiology
R2-01,INT,eye openness,0.862150533031,physiology
R2-01,BOR,pupil dilation,2.81828830717,physiology
R2-01,CLC,pupil dilation,2.77381764708,physiology
R2-01,INT,pupil dilation,3.07500326427,physiology
R2-01,BOR,cognitive load,0.529869192779,physiology
R2-01,CLC,cognitive load,0.520487286587,physiology
R2-01,INT,cognitive load,0.537833143234,physiology
R2-01,BOR,HR,,physiology
R2-01,CLC,HR,58.3653846154,physiology
R2-01,INT,HR,64.1531531532,physiology
R2-01,BOR,gaze deviation variance,0.012287364579,physiology
R2-01,CLC,gaze deviation variance,0.0113340353903,physiology
R2-01,INT,gaze deviation variance,0.0133342284076,physiology
R2-01,BOR,gaze deviation median,0.180532105792,physiology
R2-01,CLC,gaze deviation median,0.168730934347,physiology
R2-01,INT,gaze deviation median,0.141716476116,physiology
R2-01,BOR,head motion (gyro),3.47503499663,physiology
R2-01,CLC,head motion (gyro),4.09094880465,physiology
R2-01,INT,head motion (gyro),,physiology
R2-01,BOR,boredom,8,self-report
R2-01,CLC,boredom,6,self-report
R2-01,INT,boredom,3,self-report
R2-01,BOR,engagement,2,self-report
R2-01,CLC,engagement,4,self-report
R2-01,INT,engagement,6,self-report
R2-01,BOR,felt duration (min),20,self-report
R2-01,CLC,felt duration (min),20,self-report
R2-01,INT,felt duration (min),18,self-report
