subject,stimulus,quantity,value,kind
R2-01,BOR,eye closure,0.18419128103,physiology
R2-01,CLC,eye closure,0.030758491571,physiology
R2-01,INT,eye closure,0.083227544228,physiology
R2-01,BOR,pupil dilation,2.80556689778,physiology
R2-01,CLC,pupil dilation,2.77079157441,physiology
R2-01,INT,pupil dilation,3.00021935141,physiology
R2-01,BOR,cognitive load,0.529869192779,physiology
R2-01,CLC,cognitive load,0.520130985556,physiology
R2-01,INT,cognitive load,0.538119586179,physiology
R2-01,BOR,HR,,physiology
R2-01,CLC,HR,58.7171717172,physiology
R2-01,INT,HR,64.5813953488,physiology
R2-01,BOR,gaze deviation variance,0.0121623966918,physiology
R2-01,CLC,gaze deviation variance,0.0111627791078,physiology
R2-01,INT,gaze deviation variance,0.0131021583015,physiology
R2-01,BOR,gaze deviation (per-file baseline),0.179169320734,physiology
R2-01,CLC,gaze deviation (per-file baseline),0.168247341944,physiology
R2-01,INT,gaze deviation (per-file baseline),0.142534995211,physiology
R2-01,BOR,head motion (gyro),,physiology
R2-01,CLC,head motion (gyro),,physiology
R2-01,INT,head motion (gyro),,physiology
R2-01,BOR,boredom,8,self-report
R2-01,CLC,boredom,6,self-report
R2-01,INT,boredom,3,self-report
R2-01,BOR,engagement,2,self-report
R2-01,CLC,engagement,4,self-report
R2-01,INT,engagement,6,self-report
R2-01,BOR,felt duration (min),20,self-report
R2-01,CLC,felt duration (min),20,self-report
R2-01,INT,felt duration (min),18,self-report
