source,relation,target,domain,provenance,book_page
courtship,defines,mystery-social,rhetoric,burke-direct,208
courtship,defines,embarrassment,rhetoric,burke-direct,208
courtship,extends,hierarchy,rhetoric,burke-direct,208
courtship,identifies-with,identification-across-ranks,rhetoric,burke-direct,208
mystery-social,defines,glamour,rhetoric,burke-direct,210
mystery-social,extends,hierarchy,rhetoric,burke-direct,208
military-caste,consubstantial-with,mystery-social,rhetoric,burke-direct,211
embarrassment,consubstantial-with,mystery-social,rhetoric,burke-direct,208
embarrassment,consubstantial-with,stage-fright,rhetoric,burke-direct,210
socioanagogic,extends,mystification-marxist,rhetoric,burke-direct,220
socioanagogic,extends,mystery-carlyle,rhetoric,burke-direct,220
socioanagogic,defines,identification-across-ranks,rhetoric,burke-direct,219
socioanagogic,qualifies,medieval-fourfold-sense,rhetoric,burke-direct,220
venus-and-adonis,cites,socioanagogic,rhetoric,burke-direct,212
venus-and-adonis,extends,hierarchy,rhetoric,burke-direct,215
venus-and-adonis,identifies-with,social-revolutionary-challenge,rhetoric,burke-direct,217
goddess-mortal-boar,consubstantial-with,three-motivational-classes,rhetoric,burke-direct,215
castiglione-courtier,defines,paradigm-vs-caricature,rhetoric,burke-direct,221
castiglione-courtier,extends,addressed-quality,rhetoric,burke-direct,222
castiglione-courtier,extends,courtship,rhetoric,burke-direct,221
castiglione-courtier,extends,pure-persuasion-seeded,rhetoric,burke-direct,230
castiglione-book4,identifies-with,pure-persuasion-seeded,rhetoric,burke-direct,230
castiglione-book4,bridges-to-pipeline,RM-07-pure-persuasion,rhetoric,burke-direct,231
martyrdom-as-rhetoric,extends,addressed-quality,rhetoric,burke-direct,222
martyrdom-as-rhetoric,consubstantial-with,epideictic-oratory,rhetoric,burke-direct,223
reversibility-social-religious,extends,consubstantiality-implicit,rhetoric,burke-direct,224
reversibility-social-religious,extends,hierarchy,rhetoric,burke-direct,232
laughter-courtly,extends,hierarchy,rhetoric,burke-direct,226
laughter-courtly,identifies-with,fraternal-solidarity,rhetoric,burke-direct,227
kafka-castle,defines,caricature-of-courtship,rhetoric,burke-direct,233
kafka-castle,extends,mystery-social,rhetoric,burke-direct,234
kafka-castle,extends,hazing-initiation,rhetoric,burke-direct,235
kafka-castle,consubstantial-with,bureaucracy-as-hierarchy,rhetoric,burke-direct,234
kafka-castle,qualifies,castiglione-courtier,rhetoric,burke-direct,233
kafka-castle,bridges-to-pipeline,castiglione-courtier,rhetoric,burke-direct,237
hazing-initiation,extends,mystery-social,rhetoric,burke-direct,235
hazing-initiation,extends,hierarchy,rhetoric,burke-direct,235
barnabas-episode,extends,mystery-social,rhetoric,burke-direct,240
grammar-of-regression,extends,hierarchy,rhetoric,burke-direct,241
grammar-of-regression,bridges-to-pipeline,GMB-pentad-scene-agent,grammar,burke-direct,242
kierkegaard-fear-trembling,defines,dialectical-lyric,rhetoric,burke-direct,244
kierkegaard-fear-trembling,defines,perpetual-courtship,rhetoric,burke-direct,251
kierkegaard-fear-trembling,extends,attitude-incipient,rhetoric,burke-direct,251
kierkegaard-fear-trembling,extends,pure-persuasion-seeded,rhetoric,burke-direct,230
kierkegaard-leap,extends,courtship,rhetoric,burke-direct,246
perpetual-courtship,identifies-with,attitude-incipient,rhetoric,burke-direct,251
courtship,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,208
hazing-initiation,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,235
kafka-castle,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,233
courtship,maps-to-pentad-term,Agent,pentad,anticipatory-projection,208
courtship,maps-to-pentad-term,Scene,pentad,anticipatory-projection,208
courtship,maps-to-pentad-term,Attitude,pentad,anticipatory-projection,251
mystery-social,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,208
glamour,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,210
addressed-quality,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,222
caricature-of-courtship,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,233
attitude-incipient,maps-to-pentad-term,Attitude,pentad,anticipatory-projection,251
RM-06,bridges-to-pipeline,RM-01-identification,rhetoric,burke-direct,208
RM-06,bridges-to-pipeline,RM-03-mystery,rhetoric,burke-direct,220
RM-06,bridges-to-pipeline,RM-04-hierarchy,rhetoric,burke-direct,221
RM-06,bridges-to-pipeline,RM-07-pure-persuasion,rhetoric,burke-direct,230
RM-06,bridges-to-pipeline,Calleja-Shared-involvement,game-behavior,anticipatory-projection,208
RM-06,bridges-to-pipeline,Calleja-incorporation,game-behavior,anticipatory-projection,208
