subject,stimulus,round,variant,signal,stat,value
R2-01,BOR,2,native,cognitive_load,delta_last_first_third,0.0410200367925
R2-01,BOR,2,native,cognitive_load,max,0.8557512
R2-01,BOR,2,native,cognitive_load,mean,0.529869192779
R2-01,BOR,2,native,cognitive_load,median,0.55568
R2-01,BOR,2,native,cognitive_load,min,0.1354035
R2-01,BOR,2,native,cognitive_load,sd,0.14765126424
R2-01,BOR,2,native,cognitive_load,slope,2.70360184413e-05
R2-01,BOR,2,native,cognitive_load,third1,0.51467227217
R2-01,BOR,2,native,cognitive_load,third2,0.518835831604
R2-01,BOR,2,native,cognitive_load,third3,0.5559763277
R2-01,BOR,2,native,eye_gaze_deviation,delta_last_first_third,0.0178435464698
R2-01,BOR,2,native,eye_gaze_deviation,max,0.659005082522
R2-01,BOR,2,native,eye_gaze_deviation,mean,0.201640142326
R2-01,BOR,2,native,eye_gaze_deviation,median,0.180532105792
R2-01,BOR,2,native,eye_gaze_deviation,min,0.0165473185539
R2-01,BOR,2,native,eye_gaze_deviation,sd,0.11084838555
R2-01,BOR,2,native,eye_gaze_deviation,slope,2.15089481202e-05
R2-01,BOR,2,native,eye_gaze_deviation,third1,0.189787408608
R2-01,BOR,2,native,eye_gaze_deviation,third2,0.207502063293
R2-01,BOR,2,native,eye_gaze_deviation,third3,0.207630955078
R2-01,BOR,2,native,eye_openness,third1,0.841969731195
R2-01,BOR,2,native,eye_openness,third2,0.861316918907
R2-01,BOR,2,native,eye_openness,third3,0.612093695647
R2-01,BOR,2,native,hr,delta_last_first_third,
R2-01,BOR,2,native,hr,max,
R2-01,BOR,2,native,hr,mean,
R2-01,BOR,2,native,hr,median,
R2-01,BOR,2,native,hr,min,
R2-01,BOR,2,native,hr,sd,
R2-01,BOR,2,native,hr,slope,
R2-01,BOR,2,native,hr,third1,
R2-01,BOR,2,native,hr,third2,
R2-01,BOR,2,native,hr,third3,
R2-01,BOR,2,native,left_eye_dilation,delta_last_first_third,-0.182029832925
R2-01,BOR,2,native,left_eye_dilation,max,4.956192
R2-01,BOR,2,native,left_eye_dilation,mean,2.88247511275
R2-01,BOR,2,native,left_eye_dilation,median,2.827324
R2-01,BOR,2,native,left_eye_dilation,min,1.820053
R2-01,BOR,2,native,left_eye_dilation,sd,0.319726494004
R2-01,BOR,2,native,left_eye_dilation,slope,-0.000236670491123
R2-01,BOR,2,native,left_eye_dilation,third1,2.97358711898
R2-01,BOR,2,native,left_eye_dilation,third2,2.88228093321
R2-01,BOR,2,native,left_eye_dilation,third3,2.79155728605
R2-01,BOR,2,native,right_eye_dilation,delta_last_first_third,-0.195649609079
R2-01,BOR,2,native,right_eye_dilation,max,4.619598
R2-01,BOR,2,native,right_eye_dilation,mean,2.75410150159
R2-01,BOR,2,native,right_eye_dilation,median,2.672287
R2-01,BOR,2,native,right_eye_dilation,min,2.008774
R2-01,BOR,2,native,right_eye_dilation,sd,0.340136131959
R2-01,BOR,2,native,right_eye_dilation,slope,-0.000229621242357
R2-01,BOR,2,native,right_eye_dilation,third1,2.85938775543
R2-01,BOR,2,native,right_eye_dilation,third2,2.73916746728
R2-01,BOR,2,native,right_eye_dilation,third3,2.6637547358
R2-01,CLC,2,native,cognitive_load,delta_last_first_third,-0.162094248348
R2-01,CLC,2,native,cognitive_load,max,0.891482
R2-01,CLC,2,native,cognitive_load,mean,0.520487286587
R2-01,CLC,2,native,cognitive_load,median,0.5462691
R2-01,CLC,2,native,cognitive_load,min,0.1215075
R2-01,CLC,2,native,cognitive_load,sd,0.167950795923
R2-01,CLC,2,native,cognitive_load,slope,-0.000218330499649
R2-01,CLC,2,native,cognitive_load,third1,0.590384243243
R2-01,CLC,2,native,cognitive_load,third2,0.542787621622
R2-01,CLC,2,native,cognitive_load,third3,0.428289994895
R2-01,CLC,2,native,eye_gaze_deviation,delta_last_first_third,-0.0562023783272
R2-01,CLC,2,native,eye_gaze_deviation,max,0.69631962568
R2-01,CLC,2,native,eye_gaze_deviation,mean,0.182917568987
R2-01,CLC,2,native,eye_gaze_deviation,median,0.168730934347
R2-01,CLC,2,native,eye_gaze_deviation,min,0.0145372953678
R2-01,CLC,2,native,eye_gaze_deviation,sd,0.106461426772
R2-01,CLC,2,native,eye_gaze_deviation,slope,-6.5157173779e-05
R2-01,CLC,2,native,eye_gaze_deviation,third1,0.21561894156
R2-01,CLC,2,native,eye_gaze_deviation,third2,0.173717202169
R2-01,CLC,2,native,eye_gaze_deviation,third3,0.159416563233
R2-01,CLC,2,native,eye_openness,third1,0.888082145663
R2-01,CLC,2,native,eye_openness,third2,0.964571877455
R2-01,CLC,2,native,eye_openness,third3,0.871333348295
R2-01,CLC,2,native,hr,delta_last_first_third,1.46376811594
R2-01,CLC,2,native,hr,max,76
R2-01,CLC,2,native,hr,mean,58.3653846154
R2-01,CLC,2,native,hr,median,58
R2-01,CLC,2,native,hr,min,5
R2-01,CLC,2,native,hr,sd,4.99866202834
R2-01,CLC,2,native,hr,slope,0.000913609387472
R2-01,CLC,2,native,hr,third1,58.0579710145
R2-01,CLC,2,native,hr,third2,57.4492753623
R2-01,CLC,2,native,hr,third3,59.5714285714
R2-01,CLC,2,native,left_eye_dilation,delta_last_first_third,-0.140658504845
R2-01,CLC,2,native,left_eye_dilation,max,4.705582
R2-01,CLC,2,native,left_eye_dilation,mean,2.86378107507
R2-01,CLC,2,native,left_eye_dilation,median,2.835526
R2-01,CLC,2,native,left_eye_dilation,min,1.774094
R2-01,CLC,2,native,left_eye_dilation,sd,0.248601126314
R2-01,CLC,2,native,left_eye_dilation,slope,-0.000170419386261
R2-01,CLC,2,native,left_eye_dilation,third1,2.94716009897
R2-01,CLC,2,native,left_eye_dilation,third2,2.83768659692
R2-01,CLC,2,native,left_eye_dilation,third3,2.80649936112
R2-01,CLC,2,native,right_eye_dilation,delta_last_first_third,-0.122933578915
R2-01,CLC,2,native,right_eye_dilation,max,4.06131
R2-01,CLC,2,native,right_eye_dilation,mean,2.6838542191
R2-01,CLC,2,native,right_eye_dilation,median,2.647156
R2-01,CLC,2,native,right_eye_dilation,min,2.040176
R2-01,CLC,2,native,right_eye_dilation,sd,0.251576423414
R2-01,CLC,2,native,right_eye_dilation,slope,-0.000141446874671
R2-01,CLC,2,native,right_eye_dilation,third1,2.77214817914
R2-01,CLC,2,native,right_eye_dilation,third2,2.63020422167
R2-01,CLC,2,native,right_eye_dilation,third3,2.64921197153
R2-01,INT,2,native,cognitive_load,delta_last_first_third,-0.042861629023
R2-01,INT,2,native,cognitive_load,max,0.8705355
R2-01,INT,2,native,cognitive_load,mean,0.537833143234
R2-01,INT,2,native,cognitive_load,median,0.5455009
R2-01,INT,2,native,cognitive_load,min,0.07104978
R2-01,INT,2,native,cognitive_load,sd,0.156246758855
R2-01,INT,2,native,cognitive_load,slope,-5.406040963e-05
R2-01,INT,2,native,cognitive_load,third1,0.577502236494
R2-01,INT,2,native,cognitive_load,third2,0.501479220345
R2-01,INT,2,native,cognitive_load,third3,0.53452747192
R2-01,INT,2,native,eye_gaze_deviation,delta_last_first_third,0.00253803394635
R2-01,INT,2,native,eye_gaze_deviation,max,0.677944508666
R2-01,INT,2,native,eye_gaze_deviation,mean,0.17334030847
R2-01,INT,2,native,eye_gaze_deviation,median,0.141716476116
R2-01,INT,2,native,eye_gaze_deviation,min,0.00907225897552
R2-01,INT,2,native,eye_gaze_deviation,sd,0.115473929558
R2-01,INT,2,native,eye_gaze_deviation,slope,4.0548118605e-06
R2-01,INT,2,native,eye_gaze_deviation,third1,0.173775838751
R2-01,INT,2,native,eye_gaze_deviation,third2,0.169931213961
R2-01,INT,2,native,eye_gaze_deviation,third3,0.176313872698
R2-01,INT,2,native,eye_openness,third1,0.845645844929
R2-01,INT,2,native,eye_openness,third2,0.905831228326
R2-01,INT,2,native,eye_openness,third3,0.834974525838
R2-01,INT,2,native,hr,delta_last_first_third,0.891891891892
R2-01,INT,2,native,hr,max,76
R2-01,INT,2,native,hr,mean,64.1531531532
R2-01,INT,2,native,hr,median,63
R2-01,INT,2,native,hr,min,55
R2-01,INT,2,native,hr,sd,3.34174205576
R2-01,INT,2,native,hr,slope,0.000508498429629
R2-01,INT,2,native,hr,third1,63.1891891892
R2-01,INT,2,native,hr,third2,65.1891891892
R2-01,INT,2,native,hr,third3,64.0810810811
R2-01,INT,2,native,left_eye_dilation,delta_last_first_third,-0.214808944065
R2-01,INT,2,native,left_eye_dilation,max,5.305695
R2-01,INT,2,native,left_eye_dilation,mean,3.15446303667
R2-01,INT,2,native,left_eye_dilation,median,3.082306
R2-01,INT,2,native,left_eye_dilation,min,1.996231
R2-01,INT,2,native,left_eye_dilation,sd,0.50086173976
R2-01,INT,2,native,left_eye_dilation,slope,-0.000327534962431
R2-01,INT,2,native,left_eye_dilation,third1,3.28216998222
R2-01,INT,2,native,left_eye_dilation,third2,3.11384994868
R2-01,INT,2,native,left_eye_dilation,third3,3.06737133939
R2-01,INT,2,native,right_eye_dilation,delta_last_first_third,-0.171835101583
R2-01,INT,2,native,right_eye_dilation,max,4.999283
R2-01,INT,2,native,right_eye_dilation,mean,2.99554349188
R2-01,INT,2,native,right_eye_dilation,median,2.902939
R2-01,INT,2,native,right_eye_dilation,min,1.841934
R2-01,INT,2,native,right_eye_dilation,sd,0.482451983376
R2-01,INT,2,native,right_eye_dilation,slope,-0.000257615760106
R2-01,INT,2,native,right_eye_dilation,third1,3.11379090299
R2-01,INT,2,native,right_eye_dilation,third2,2.93087833956
R2-01,INT,2,native,right_eye_dilation,third3,2.94196257968
R2-02,BOR,2,native,cognitive_load,delta_last_first_third,-0.0257769037736
