surface,stimulus,r1_z,r2_z,delta,poolable,poolable_reason
pupil dilation,BOR,-0.69214705718,-0.540914640833,0.151232416347,True,mean of a per-sample value; robust to sampling rate
pupil dilation,CLC,0.397697350002,-0.121561532032,-0.519258882033,True,mean of a per-sample value; robust to sampling rate
pupil dilation,INT,0.294449707179,0.662476172865,0.368026465686,True,mean of a per-sample value; robust to sampling rate
cognitive load,BOR,-0.18993491217,-0.18336202115,0.0065728910202,True,mean of a vendor index; robust to sampling rate
cognitive load,CLC,0.347801732727,-0.830065324796,-1.17786705752,True,mean of a vendor index; robust to sampling rate
cognitive load,INT,-0.157866820557,1.01342734595,1.1712941665,True,mean of a vendor index; robust to sampling rate
HR,BOR,0.45599093653,-0.512418697748,-0.968409634278,True,mean of a vendor index; robust to sampling rate
HR,CLC,0.0777329371435,-0.318200444051,-0.395933381194,True,mean of a vendor index; robust to sampling rate
HR,INT,-0.533723873674,0.574409792924,1.1081336666,True,mean of a vendor index; robust to sampling rate
eye openness,BOR,-1.00412760172,-1.02531763938,-0.0211900376559,True,time-fraction/mean; robust to sampling rate
eye openness,CLC,0.628205310346,0.720974131462,0.092768821116,True,time-fraction/mean; robust to sampling rate
eye openness,INT,0.375922291373,0.304343507913,-0.0715787834602,True,time-fraction/mean; robust to sampling rate
gaze deviation variance,BOR,0.38965803919,0.208042705658,-0.181615333532,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
gaze deviation variance,CLC,-0.428812969622,-0.519002502613,-0.0901895329914,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
gaze deviation variance,INT,0.0391549304318,0.310959796955,0.271804866524,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
