subject,stimulus,round,dil_mean_bilateral,cognitive_load_mean,hr_mean,gaze_dev_variance,gaze_dev_median,openness_frac,pct_time_closed,duration_s,effective_hz
S01,BOR,1,2.96459598529,0.571258327824,79.4072543618,0.0107842078986,0.148497449904,0.904,8.95316804408,732.9,2.99401197602
S01,CLC,1,3.21186217079,0.599619768242,77.1009637448,0.00739283780075,0.11903780912,0.954,4.31390546122,733,2.99401197602
S01,INT,1,2.88737145557,0.506990623727,76.2474541752,0.00858282465875,0.136257009847,0.926,6.97556008147,661.1,2.99401197602
S02,BOR,1,3.4959007483,0.421736980959,68.307973665,0.00953065061937,0.185243758329,0.805,17.9224579371,914.3,3.00300300301
S02,CLC,1,3.62450116223,0.499066908689,70.0651693667,0.0103347069616,0.167077826177,0.796,18.9617083947,908.7,3.00300300288
S02,INT,1,3.59970275916,0.471481480363,67.5026435045,0.0108497077248,0.165512084151,0.937,5.24924471299,885.8,3.00300300301
S03,BOR,1,3.06636286403,0.520318721513,86.390070922,0.0094745823527,0.198297755913,0.823,15.8865248227,707.4,3.00300300301
S03,CLC,1,3.0981248372,0.565019569288,87.9583853516,0.00855660471424,0.188436226795,0.937,5.36828963795,803.8,3.00300300288
S03,INT,1,3.56273225743,0.485450672203,95.8778700537,0.00889440595004,0.167919488119,0.867,12.1641426478,684.7,3.00300300288
S04,BOR,1,2.91097288492,0.595359283461,98.4739183178,0.0169382654317,0.205063405581,0.916,8.1682167408,826.8,3.00300300301
S04,CLC,1,3.34825748441,0.637413720756,95.9960614415,0.0101382823608,0.280688439377,0.951,4.84442693974,849.5,3.00300300301
S04,INT,1,3.13173740749,0.547491934692,94.3189882975,0.0151795033656,0.196053564109,0.948,4.98301245753,886.3,3.00300300301
S05,BOR,1,3.21932954417,0.664864258541,57.7666523421,0.00858120563743,0.173011560307,0.212,77.8152678195,793.3,3.00300300301
S05,CLC,1,3.22895257973,0.54134924614,63.324828263,0.0109696424805,0.135235900815,0.865,11.5803814714,737,3.00300300288
S05,INT,1,3.32115745159,0.565651082821,58.6818181818,0.00676518165407,0.13506015885,0.852,13.9401394014,815.5,3.00300300288
S06,BOR,1,3.24475014203,0.595438342235,92.2900575185,0.0156226650676,0.241530182077,0.83,15.6532456861,815.9,2.99401197616
S06,CLC,1,3.42582329341,0.541018064035,89.5385964912,0.0117929731567,0.307845740591,0.914,6.97368421053,823.2,2.79329608933
S06,INT,1,3.57030055319,0.601210553445,89.9792402827,0.011567636128,0.167388769038,0.89,10.0706713781,801.6,2.8571428571
S07,BOR,1,3.57928615005,0.405013551034,93.2565517241,0.0105209882133,0.184352922407,0.562,46.6206896552,973.7,2.99401197602
S07,CLC,1,3.76035407177,0.520281032086,92.0985485103,0.00660259662524,0.114521457908,0.931,10.5805958747,878.5,2.99401197602
S07,INT,1,2.65056949185,0.558986412841,90.7877114256,0.00839077065573,0.173756943472,0.791,21.435968243,970.3,3.00300300288
S08,BOR,1,3.60642993124,0.337761007802,89.3710446467,0.0078297281665,0.102039080024,0.421,57.6506285219,771.8,3.00300300301
S08,CLC,1,3.96997314774,0.529423076605,84.9964157706,0.00882457296854,0.120049873841,0.882,11.3405933158,891.4,3.00300300301
S08,INT,1,3.9934400817,0.522547153543,81.75696767,0.0107800887979,0.170649933602,0.889,10.542432196,764.7,3.00300300301
R2-01,BOR,2,2.81828830717,0.529869192779,,0.012287364579,0.180532105792,0.771792246124,20.5013138972,1106.467769,120.048019208
R2-01,CLC,2,2.77381764708,0.520487286587,58.3653846154,0.0113340353903,0.168730934347,0.907995241907,9.05758339755,1113.668454,120.148984741
R2-01,INT,2,3.07500326427,0.537833143234,64.1531531532,0.0133342284076,0.141716476116,0.862150533031,13.0794973705,1167.563311,120.12012012
R2-02,BOR,2,3.41066599642,0.471330339342,,0.0114349703609,0.194338830954,0.712359542105,25.9435985821,1106.951386,120.033609411
R2-02,CLC,2,3.99876456794,0.46763049009,69.5437788018,0.00967863425003,0.141068174577,0.908713257349,8.81217147442,1111.049864,120.033609411
R2-02,INT,2,3.30190168557,0.518203955611,67.3870967742,0.0122420691844,0.148212810614,0.916171521325,8.15308439745,1118.966983,120.004800192
R2-03,BOR,2,3.87969830931,0.558786380246,78.7041666667,0.008093826179,0.128298153116,0.845229125743,14.8829825163,1238.499884,120.134550697
R2-03,CLC,2,3.82873240456,0.537916815452,76.9733840304,0.00627227850711,0.118965587052,0.889747449725,10.6476364699,1311.726292,120.134550697
R2-03,INT,2,4.13041139322,0.564781367412,88.3388773389,0.00749695178669,0.12609604979,0.904281075001,8.79636773899,2429.452508,120.062432465
R2-04,BOR,2,3.78077315469,0.473266306531,72.971291866,0.00975656203734,0.12182053359,0.868846494918,12.6461871954,1099.307927,120.10569301
R2-04,CLC,2,3.8494977729,0.47556248215,73.0357142857,0.0112159504833,0.110666893496,0.901331333072,9.7367772608,1149.672276,120.134550697
R2-04,INT,2,3.97498126541,0.512282039321,76.2211981567,0.00909774526847,0.10471560305,0.874604602354,12.2839367364,1111.474433,120.10569301
