source_claim,relation,edge_domain,target,note,location
DISS-01-C002,grounds,architectural,DISS-01-C006,"A_0 as first actuality grounds the chain overview A_0 → A_4.","line 5"
DISS-01-C004,depends_on,architectural,DISS-01-C002,"Chain cannot begin with static potentiality presupposes A_0 as ongoing actuality.","line 5"
DISS-01-C007,grounds,architectural,DISS-01-C011,"Threefold priority of actuality grounds the iterated chain structure.","line 7"
DISS-01-C008,depends_on,citation,DISS-01-C007,"In-account priority is one of the three senses.","line 7"
DISS-01-C009,depends_on,citation,DISS-01-C007,"In-time priority is one of the three senses.","line 7"
DISS-01-C010,depends_on,citation,DISS-01-C007,"In-substance priority is one of the three senses.","line 7"
DISS-01-C007,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.8 1049b12-17,"In-account priority","line 7"
DISS-01-C007,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.8 1049b17-1050a3,"In-time priority","line 7"
DISS-01-C007,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.8 1050a4-16,"In-substance priority","line 7"
DISS-01-C011,grounds,architectural,DISS-01-C016,"Threefold priority licenses the entelecheia-arche dual role at every node.","line 7"
DISS-01-C012,cites-but-misreads,citation,SECONDARY-LOCUS:Burke Grammar pp. 280-281,"Burke priority-of-actuality verbatim — corpus-attested locus is pp. 261-262, not 280-281. See G05.","line 7"
DISS-01-C015,cites-but-misreads,citation,SECONDARY-LOCUS:Burke Grammar pp. 280-281,"Burke man-prior-to-boy verbatim — corpus-attested locus is p. 261, not 280-281. See G05.","line 7"
DISS-01-C017,depends_on,architectural,DISS-01-C018,"A_0 as limit case (motion uncaused) depends on Met. XII.6 motion-co-eternal claim.","line 7"
DISS-01-C017,depends_on,architectural,DISS-01-C019,"A_0 as limit case (time uncaused) depends on Met. XII.6 time-co-eternal claim.","line 7"
DISS-01-C018,cites-as-support,citation,ARISTOTLE-LOCUS:Met XII.6 1071b6-8,"Movement eternal","line 7"
DISS-01-C019,cites-as-support,citation,ARISTOTLE-LOCUS:Met XII.6 1071b8-11,"Time eternal + time-or-attribute-of-movement","line 7"
DISS-01-C021,instantiates,architectural,DISS-01-C022,"De Motu Animalium chain and orexis chain are one chain.","line 9"
DISS-01-C023,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.4 408b5-7,"Cognitive acts as kinēsis of soul","line 9"
DISS-01-C024,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b17-18,"Orexis as moved mover","line 9"
DISS-01-C026,extends,architectural,DISS-01-C158,"Section's chapter-thesis promise extends to the threshold-of-A_1 main thesis at S7.","line 9"
DISS-01-C027,grounds,architectural,DISS-01-C029,"Heideggerian register operating from opening grounds the kinēsis-Bewegtheit bridge.","line 11"
DISS-01-C028,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP/GA 18 (no page),"Heidegger glossing kinēsis (placeholder)","line 11"
DISS-01-C029,needs-citation,citation,HEIDEGGER-LOCUS:BCAP placeholder,"Bewegtheit gloss needs page. See G01.","line 11"
DISS-01-C033,grounds,citation,DISS-01-C034,"Aristotle's canonical kinēsis definition grounds the energeia-ateles paraphrase.","line 17"
DISS-01-C033,cites-as-support,citation,ARISTOTLE-LOCUS:Phys III.1 201a11-14,"Canonical kinēsis definition","line 17"
DISS-01-C035,grounds,citation,DISS-01-C036,"Tense test grounds energeia-strict-sense claim.","line 19"
DISS-01-C035,grounds,citation,DISS-01-C037,"Tense test grounds kinēsis-as-incomplete-actuality claim.","line 19"
DISS-01-C035,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.6 1048b23-30,"Tense test verbatim","line 19"
DISS-01-C038,extends,architectural,DISS-01-C040,"Genuinely-present-yet-incomplete texture extends to kinēsis-as-peculiar-presence claim.","line 21"
DISS-01-C039,cites-but-misreads,citation,SECONDARY-LOCUS:Hawhee Bodily Arts p. 154,"Hawhee verbatim attributed to Bodily Arts; corpus has Hawhee 2011 Rhetorical Vision. See G07.","line 21"
DISS-01-C041,cites-as-support,citation,ARISTOTLE-LOCUS:Phys III.1 201a28-33,"Bronze statue example","line 21"
DISS-01-C043,cites-as-support,citation,ARISTOTLE-LOCUS:Phys V.2 226a23-30,"Four categories of motion","line 21"
DISS-01-C046,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417b2-5,"Two modes of being-affected","line 23"
DISS-01-C047,depends_on,citation,DISS-01-C046,"Preservation-vs-destruction interpretation depends on DA II.5 quote.","line 23"
DISS-01-C049,grounds,architectural,DISS-01-C002,"Preservation principle grounds A_0 as preserving-itself horizon.","line 23"
DISS-01-C050,needs-citation,citation,HEIDEGGER-LOCUS:BCAP/GA 18 placeholder,"BCAP page needed for Heideggerian transposition. See G01.","line 25"
DISS-01-C051,extends,interpretive-bridge,DISS-01-C029,"Kinēsis ≅ Seinscharakter / Bewegtheit framing extends initial S1 bridge claim.","line 25"
DISS-01-C052,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:BCAP page ******,"Verbatim placeholder #1","line 25"
DISS-01-C054,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §9 H.42 Eng.67,"'Dasein is its possibility'","line 25"
DISS-01-C056,grounds,architectural,DISS-01-C057,"Energeia-ateles as primitive pattern grounds the iterated entelecheia-arche structure.","line 25"
DISS-01-C057,instantiates,architectural,DISS-01-C016,"Each A_n entelecheia/archē instantiates the formal-priority iteration thesis.","line 25"
DISS-01-C059,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §68b H.342,"Temporality of taking care","line 25"
DISS-01-C061,grounds,citation,DISS-01-C062,"Met. IX.8 telos-as-archē quote grounds end-is-archē paraphrase.","line 31"
DISS-01-C061,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.8 1050a7-11,"Most concentrated priority statement","line 31"
DISS-01-C067,cites-but-misreads,citation,SECONDARY-LOCUS:Burke Grammar pp. 280-281,"Burke entelechy verbatim — corpus locus pp. 261-262. See G05.","line 33"
DISS-01-C069,cites-as-support,citation,ARISTOTLE-LOCUS:Phys V.1 224b7-8,"Motion named by terminus","line 35"
DISS-01-C070,depends_on,architectural,DISS-01-C069,"Chain-motion-naming-by-terminus depends on Phys. V.1 principle.","line 35"
DISS-01-C072,cites-as-support,citation,ARISTOTLE-LOCUS:Met IX.9 1051a29-33,"Geometer illustration","line 37"
DISS-01-C075,needs-citation,citation,ARISTOTLE-LOCUS:Met XI.6 1063a19-21 [VERIFY],"Motion-as-passage; verify chapter. See G09.","line 41"
