anchor_stimulus,channel,subject,round,stimulus,value,poolable
BOR,eye closure,S01,1,BOR,0.0895316804408,True
BOR,eye closure,S01,1,CLC,0.0431390546122,True
BOR,eye closure,S01,1,INT,0.0697556008147,True
BOR,eye closure,S02,1,BOR,0.179224579371,True
BOR,eye closure,S02,1,CLC,0.189617083947,True
BOR,eye closure,S02,1,INT,0.0524924471299,True
BOR,eye closure,S03,1,BOR,0.158865248227,True
BOR,eye closure,S03,1,CLC,0.0536828963795,True
BOR,eye closure,S03,1,INT,0.121641426478,True
BOR,eye closure,S04,1,BOR,0.081682167408,True
BOR,eye closure,S04,1,CLC,0.0484442693974,True
BOR,eye closure,S04,1,INT,0.0498301245753,True
BOR,eye closure,S05,1,BOR,0.778152678195,True
BOR,eye closure,S05,1,CLC,0.115803814714,True
BOR,eye closure,S05,1,INT,0.139401394014,True
BOR,eye closure,S06,1,BOR,0.156532456861,True
BOR,eye closure,S06,1,CLC,0.0697368421053,True
BOR,eye closure,S06,1,INT,0.100706713781,True
BOR,eye closure,S07,1,BOR,0.466206896552,True
BOR,eye closure,S07,1,CLC,0.105805958747,True
BOR,eye closure,S07,1,INT,0.21435968243,True
BOR,eye closure,S08,1,BOR,0.576506285219,True
BOR,eye closure,S08,1,CLC,0.113405933158,True
BOR,eye closure,S08,1,INT,0.10542432196,True
BOR,eye closure,R2-01,2,BOR,0.18419128103,True
BOR,eye closure,R2-01,2,CLC,0.030758491571,True
BOR,eye closure,R2-01,2,INT,0.083227544228,True
BOR,eye closure,R2-02,2,BOR,0.246625847115,True
BOR,eye closure,R2-02,2,CLC,0.0363899833925,True
BOR,eye closure,R2-02,2,INT,0.0232712117766,True
BOR,eye closure,R2-03,2,BOR,0.116570351144,True
BOR,eye closure,R2-03,2,CLC,0.0639942637396,True
BOR,eye closure,R2-03,2,INT,0.0545838212334,True
BOR,eye closure,R2-04,2,BOR,0.0778134122775,True
BOR,eye closure,R2-04,2,CLC,0.0546664789437,True
BOR,eye closure,R2-04,2,INT,0.0709057676686,True
BOR,pupil dilation,S01,1,BOR,2.96459598529,True
BOR,pupil dilation,S01,1,CLC,3.21186217079,True
BOR,pupil dilation,S01,1,INT,2.88737145557,True
BOR,pupil dilation,S02,1,BOR,3.4959007483,True
BOR,pupil dilation,S02,1,CLC,3.62450116223,True
BOR,pupil dilation,S02,1,INT,3.59970275916,True
BOR,pupil dilation,S03,1,BOR,3.06636286403,True
BOR,pupil dilation,S03,1,CLC,3.0981248372,True
BOR,pupil dilation,S03,1,INT,3.56273225743,True
BOR,pupil dilation,S04,1,BOR,2.91097288492,True
BOR,pupil dilation,S04,1,CLC,3.34825748441,True
BOR,pupil dilation,S04,1,INT,3.13173740749,True
BOR,pupil dilation,S05,1,BOR,3.21932954417,True
BOR,pupil dilation,S05,1,CLC,3.22895257973,True
BOR,pupil dilation,S05,1,INT,3.32115745159,True
BOR,pupil dilation,S06,1,BOR,3.24475014203,True
BOR,pupil dilation,S06,1,CLC,3.42582329341,True
BOR,pupil dilation,S06,1,INT,3.57030055319,True
BOR,pupil dilation,S07,1,BOR,3.57928615005,True
BOR,pupil dilation,S07,1,CLC,3.76035407177,True
BOR,pupil dilation,S07,1,INT,2.65056949185,True
BOR,pupil dilation,S08,1,BOR,3.60642993124,True
BOR,pupil dilation,S08,1,CLC,3.96997314774,True
BOR,pupil dilation,S08,1,INT,3.9934400817,True
BOR,pupil dilation,R2-01,2,BOR,2.80556689778,True
BOR,pupil dilation,R2-01,2,CLC,2.77079157441,True
BOR,pupil dilation,R2-01,2,INT,3.00021935141,True
BOR,pupil dilation,R2-02,2,BOR,3.39493061309,True
BOR,pupil dilation,R2-02,2,CLC,3.99520543423,True
BOR,pupil dilation,R2-02,2,INT,3.28907929326,True
BOR,pupil dilation,R2-03,2,BOR,3.8459363748,True
BOR,pupil dilation,R2-03,2,CLC,3.83660966004,True
BOR,pupil dilation,R2-03,2,INT,3.78842175162,True
BOR,pupil dilation,R2-04,2,BOR,3.76285584392,True
BOR,pupil dilation,R2-04,2,CLC,3.8464644152,True
BOR,pupil dilation,R2-04,2,INT,3.97181227853,True
BOR,cognitive load,S01,1,BOR,0.571258327824,True
BOR,cognitive load,S01,1,CLC,0.599619768242,True
BOR,cognitive load,S01,1,INT,0.506990623727,True
BOR,cognitive load,S02,1,BOR,0.421736980959,True
BOR,cognitive load,S02,1,CLC,0.499066908689,True
BOR,cognitive load,S02,1,INT,0.471481480363,True
BOR,cognitive load,S03,1,BOR,0.520318721513,True
BOR,cognitive load,S03,1,CLC,0.565019569288,True
BOR,cognitive load,S03,1,INT,0.485450672203,True
BOR,cognitive load,S04,1,BOR,0.595359283461,True
BOR,cognitive load,S04,1,CLC,0.637413720756,True
BOR,cognitive load,S04,1,INT,0.547491934692,True
BOR,cognitive load,S05,1,BOR,0.664864258541,True
BOR,cognitive load,S05,1,CLC,0.54134924614,True
