source_claim,relation,edge_domain,target,note,location
DISS-05-C002,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a31-b30,"DA III.10 kinetic schema as ground for A_4-as-praxis claim",line 3
DISS-05-C003,instantiates,architectural,DISS-05-C002,"Orektikon transition specifies how A_4 is reached",line 3
DISS-05-C004,grounds,architectural,DISS-05-C008,"Schema-invariance across MA three types grounds not-the-schema-but-orexis-complexity thesis",line 3
DISS-05-C004,needs-citation,citation,ARISTOTLE-LOCUS:MA 7-8 701a7-702a21,"MA three-types catalog needs explicit locus",line 3
DISS-05-C005,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b17-18,"Orexis as moved mover — T1 quoted",line 3
DISS-05-C006,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b10-18,"Realizable good as unmoved originator — T1",line 3
DISS-05-C007,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b21-25,"Animal via ball-and-socket joint — T1",line 3
DISS-05-C009,refines,architectural,DISS-05-C008,"What-varies = orexis-complexity refines schema-preservation thesis",line 3
DISS-05-C010,grounds,typological,DISS-05-C033,"Type 1 definition grounds Type 1 chain formula",line 3
DISS-05-C011,extends,typological,DISS-05-C010,"Type 2 extends Type 1 by adding doxa+technē-hexis",line 3
DISS-05-C011,depends_on,architectural,DISS-05-C031,"Type 2 definition depends on technē-hexis Heideggerian distinction",line 3
DISS-05-C012,extends,typological,DISS-05-C011,"Type 3 extends Type 2 by adding pathē concretion",line 3
DISS-05-C012,depends_on,architectural,DISS-05-C031,"Type 3 definition depends on praxis-hexis Heideggerian distinction",line 3
DISS-05-C012,cites-as-support,citation,DISSERTATION-INTERNAL:§1.8,"cf. §1.8 — emotion-desire composite established prior in chapter",line 3
DISS-05-C013,cites-as-support,citation,ARISTOTLE-LOCUS:MA 702a17-19,"Somatic preparation internal to transition — T1 quoted",line 5
DISS-05-C014,supports,architectural,DISS-05-C013,"MA quote provides textual ground for internal-not-fifth-stage thesis",line 5
DISS-05-C015,inconsistent-with,structural,DISS-05-A4-SELF-REFERENCE,"§1.5 cross-reference to '§1.5' is self-reference; likely intends §1.4",line 5
DISS-05-C016,depends_on,architectural,DISS-05-C013,"Heating/cooling/trembling as functionally-distinguishable depends on internal-not-fifth-stage thesis",line 5
DISS-05-C017,grounds,architectural,DISS-05-C016,"A_0 → A_4 macro-skeleton preservation grounds heating/cooling moments-within-transition claim",line 5
DISS-05-C017,inconsistent-with,architectural,DISS-00-INTRO-PROSE-A_4,"§1.0 prose line 45 names A_4 = completed cognitive actuality; §1.5 names A_4 = completed action (praxis). MAJOR CROSS-SECTION DRIFT.",line 5
DISS-05-C017,inconsistent-with,architectural,DISS-00-INTRO-DIAGRAM-A_4,"§1.0 diagram line 176 names A_4 = praxis; §1.5 consistent with diagram but §1.0 internally inconsistent (prose vs. its own diagram)",line 5
DISS-05-C019,cites-as-support,citation,ARISTOTLE-LOCUS:MA 702a15-17,"Aristotle's speed-claim — T1 quoted",line 5
DISS-05-C021,cites-as-support,citation,ARISTOTLE-LOCUS:MA 702a21,"Natural correspondence of active and passive — T1",line 5
DISS-05-C023,depends_on,architectural,DISS-05-C022,"Heideggerian recovery of hexis depends on need for sharpened account",line 7
DISS-05-C023,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 §17,"GA 18 §17 cited as Heideggerian recovery site",line 7
DISS-05-C024,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.119,"Hexis as determination of genuineness of being-there — T1 quoted",line 7
DISS-05-C025,cites-as-support,citation,ARISTOTLE-LOCUS:Met. Δ 20 1022b4,"Hexis as energeia of having — T2 cited",line 7
DISS-05-C027,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.127,"Technē-hexis quote — T1",line 7
DISS-05-C028,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.128,"Praxis-hexis quote — T1",line 7
DISS-05-C029,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.128,"Acting-anew-in-every-moment quote — T1",line 7
DISS-05-C030,refines,architectural,DISS-05-C027,"Two-modes-differ-structurally refines technē + praxis quotes",line 7
DISS-05-C031,grounds,architectural,DISS-05-C011,"Three-types-tracks-technē/praxis is architectural ground for Type 2 definition",line 7
DISS-05-C031,grounds,architectural,DISS-05-C012,"Three-types-tracks-technē/praxis is architectural ground for Type 3 definition",line 7
DISS-05-C031,needs-citation,citation,SECONDARY-LOCUS:Sheehan-2015-or-Sherman-1989,"Dissertation-novel synthesis needs secondary support",line 7
DISS-05-C031,awaits-corpus-resolution,citation,corpus/download/Sheehan-2015,"Promote Sheehan from corpus/download for this gap",line 7
DISS-05-C033,inconsistent-with,structural,DISS-00-INTRO-DIAGRAM-CHAIN,"Type 1 formula 'A_0 → A_1 → orexis → action' is non-standard relative to §1.0 diagram's A_0..A_4 + M01..M34",line 9
DISS-05-C034,cites-as-support,citation,ARISTOTLE-LOCUS:MA 7 701a29-b1,"Drinking case quoted verbatim — T1",line 11
DISS-05-C036,needs-citation,citation,DISSERTATION-INTERNAL:§1.2-or-§1.3,"Resonant orexis coined-term needs cross-reference to definition site",line 13
DISS-05-C039,cites-as-support,citation,ARISTOTLE-LOCUS:MA 701a36-37,"Substitute-for-inquiry — T2 within quoted block",line 13
DISS-05-C043,instantiates,kinetic,DISS-05-C002,"Type 1 kinetic roles instantiate DA III.10 schema",line 13
DISS-05-C045,cites-as-support,citation,ARISTOTLE-LOCUS:MA 7 701a7-16,"Practical syllogism quoted verbatim — T1",line 17
DISS-05-C046,refines,typological,DISS-05-C044,"Type 2 chain formula refines Type 2 thesis",line 19
