rcode,term,item,src,text
S25-R001,S25,Q10,E-SHA+KW,"VR can be used to simulate emergency response situations, collaborative surgeries, and provide immersive practice environments. These are more engaging and practical than reading case studies or attending Zoom lectures."
S25-R002,S25,Q10,E-SHA,VR can provide a more interactive place for group communications that do not wish to do video camera meetings.
S25-R002,S25,Q6,E-SHA+KW,"Perhaps more collaboration, such as class discussions."
S25-R003,S25,Q5,E-SHA,One of the most useful parts of this course was learning through virtual reality examples. It helped me better understand real-life clinical needs in a hands-on way. I also found the class discussions and group projects helpful for learning how to work as a team and think creatively.
S25-R009,S25,Q6,KW,"The discord and just checking in, and sending the announcement. I feel like the discord should not have been used. I would want something more formal to be in contact with the professor and as well as getting help for assignments. Bigger emphasis on the final group report."
S25-R010,S25,Q5,KW,"[instructor] is very responsive and could be communicated with through different platforms: Discord, Office Hours, and Email. She answers to the best of her ability in regards to questions about the class and assignments. She also organized the video lectures in different weeks that would match the lecture quizzes and could be accessed by students anywhere on any device which is very convenient."
S25-R012,S25,Q5,E-SHA,Studying with my team and discussing the clinnical applications of the surgery
S25-R013,S25,Q10,E-SHA+KW,I believe that the use of a virtual space where groups can meet up rather than zoom lectures would help students understand the information better because it would allow for real time questions to be asked in the case of a student being confused.
S25-R016,S25,Q10,E-SHA,"I think VR programs can also be used in discussions. Many people often don't go to discussion sections, so being able to do them online and still have communication with others is valuable."
S25-R020,S25,Q10,E-SHA,I think individual vr programs are better because group settings may be doing to much lessening the expirence.
S25-R021,S25,Q10,E-SHA+KW,something that comes in my head is maybe a vr simulation with multiple characters. These people can be in one room together and interact in spaces such as in real life.
S25-R024,S25,Q10,E-SHA+KW,"I think it would be useful for the VR space to be used to aid group meetups. Since this was a remote class with no proper lecture meetup, it was occasionally difficult to get group members to meet up at one time to discuss things"
S25-R026,S25,Q5,KW,I feel like more in person and forced meeting with your group.
S25-R028,S25,Q10,E-SHA+KW,"I think that it would be beneficial to have when meeting remotely and you could meet online. Where you could go up to each procedure and interact with each of the instruments and what is happening in the procedure to explain to other groupmates. It seems easier to pay attention to because it is more interactive and if improvements could be made, it could allow for better collaboration."
S25-R029,S25,Q6,KW,"I think the course could be even better if there was more group work. Working with others would let us share ideas and learn from each other, which can make things easier to understand. It also makes the class feel more fun and less lonely when we get to talk with classmates. Plus, group work would help us practice working together, which is something we’ll need in any job. Overall, I think more group work would make the class more interesting and help everyone learn more."
S25-R030,S25,Q10,E-SHA+KW,"My group and I communicated through discord, so anything where its similar to that."
S25-R031,S25,Q9,KW,"Some of the videos had the actual surgical screen far in the back which made it hard to see how the surgeries are going so maybe that can be changed to where we can click on the screen of the surgical sight to get a better view. Also, if the videos were more organized in order on the website for example, if the TAVR videos were all grouped together or if the countries were grouped together, would make it more educationally beneficial."
S25-R033,S25,Q10,E-SHA,"i think a class where its like an empty room, and students use real vr headsets around eachother, and they try to complete a task."
S25-R036,S25,Q10,E-SHA+KW,"Virtual online class and meeting teammate sounds so so cool i would love it, or museum is amazing too but it would be hard and some student might not be able to access but that sounds super cool!!!"
S25-R037,S25,Q10,E-SHA+KW,"I liked the idea of using the VR platform to do collaborative work and the possibility of using it like an interactive museum exhibit. I think maybe one step further possible further in the future could be almost designing it similar to video game. Just a platform where you can meet up with group members and work together to complete lessons ensuring everyone is contributing equal to complete the lesson before being allowed to move on. I think this can promote accountability, collaboration, and also just allow students to a have a fun time while learning."
S25-R038,S25,Q9,E-SHA+KW,"To make the VR platform more educational, it could include interactive annotations or quizzes that reinforce key concepts, for example, clicking on equipment to learn its name, function, and safety details. Adding guided voiceovers or scenario-based tasks would increase engagement. An interactive avatar feature that allows users to comment and interact with peers or even real doctors in real time would also enhance collaboration and clinical insight."
S25-R039,S25,Q10,KW,"i think this is helpful when it comes to treating patients and doing hands on activities, like surgeries where practice is really helpful. nothing beats the real thing, but this is definitely a step in the right direction. meeting up in virtual spaces doesn't make much sense, since we can always do that in person, and it's more fun in person. we shouldn't try to replace in person and real human interactions with virtual meetings. interactive museum exhibits aren't really helpful. vr where we could be transported to the actual situation we're learning about, such as points in history, would be a lot more useful."
