subject,round,category,engaged_composite,boredom,engagement
R2-01,2,divergent,0.083939126574,6,4
R2-02,2,divergent,0.833860258721,8,4
S02,1,divergent,0.0580281489966,8,3
S04,1,divergent,0.824846493551,9,1
S05,1,divergent,0.0525141071645,6,5
S06,1,divergent,0.453417267045,6,3
S07,1,divergent,0.816754636642,6,7
S08,1,divergent,0.543340697724,7,3
R2-03,2,concordant-engaged,0.425193649935,1,8
R2-04,2,concordant-engaged,0.486279303817,2,3
S01,1,concordant-engaged,1.08092839687,3,5
S03,1,concordant-engaged,0.273780893398,3,7
