concept,HR-01A,HR-01B,HR-02,HR-03,HR-04,HR-05,HR-06,HR-07,unit_count,centrality
rhetoric,3,3,3,3,3,3,3,3,8,core
pathos,3,3,3,3,3,3,3,3,8,core
logos,3,3,3,3,3,3,3,2,8,core
mitsein_koinonia,3,3,2,3,2,3,3,2,8,core
befindlichkeit_attunement,2,3,3,3,3,3,2,3,8,core
alltäglichkeit,2,2,1,2,2,3,2,3,8,core
phronesis,2,1,3,1,3,2,3,2,8,core
dynamis,1,0,3,1,1,3,3,1,7,core
kairos,2,2,1,0,2,3,3,1,7,core
call_of_conscience,2,2,1,0,3,0,2,2,6,core
fundamental_ontology,3,2,1,2,1,2,2,2,8,core
kinesis,3,0,1,2,1,3,2,2,7,core
doxa,1,3,1,1,2,3,3,1,8,core
phobos_fear,2,3,0,1,2,2,1,2,7,core
sorge_care,1,1,0,0,1,1,1,0,5,important
epideictic_rhetoric,1,0,0,0,3,0,2,0,3,important
deliberative_rhetoric,2,0,0,0,2,1,2,0,4,important
zoon_politikon,1,1,0,0,0,3,2,1,5,important
sprachlichkeit,0,0,3,0,0,0,0,0,1,important
hermeneutics_of_facticity,2,2,0,2,0,0,1,1,5,important
hermeneutic_phenomenology_philology,0,0,0,3,0,0,0,1,2,important
rhetorical_protopolitics,0,2,0,0,0,2,3,0,3,important
topology_of_being,0,0,0,0,0,0,2,3,2,important
hexis,1,3,2,0,1,3,2,0,5,important
middle_voice,3,1,0,0,0,0,0,0,2,important
affektenlehre,0,3,0,0,0,1,1,1,4,important
disclosedness_unconcealment,1,2,1,1,1,2,3,2,8,important
resoluteness,1,3,1,0,2,1,3,1,7,important
das_man_publicness,2,1,1,3,2,1,3,3,8,important
jeweiligkeit,1,0,0,2,0,3,2,0,4,important
enthymeme,0,0,0,0,3,2,0,0,2,important
pisteis_three_modes,1,0,0,0,2,2,3,0,4,important
restricted_conception,0,0,0,0,0,0,0,3,1,important
destruktion,0,0,0,2,0,0,0,0,1,peripheral
trope,2,0,0,0,0,0,0,0,1,peripheral
showing_forth_sage,0,0,0,0,2,0,0,0,1,peripheral
