edge_id,source,source_type,relation,target,target_type,evidence_page,provenance,notes
E-MOORE-01,GM-12-MOORE,unit,features,Act,pentad-term,486-489-498,exegetical-intra-volume,Moore's signature attentive observation is her characteristic act; trunk-as-act is chapter pivot
E-MOORE-02,GM-12-MOORE,unit,features,Scene,pentad-term,488-491,exegetical-intra-volume,Descriptive material functions as scene-context for terminal act
E-MOORE-03,GM-12-MOORE,unit,features,Agent,pentad-term,488-489-497,exegetical-intra-volume,Moore-as-poet plus scene-internal animal agents; Black Earth I-poem
E-MOORE-04,GM-12-MOORE,unit,recessive-on,Agency,pentad-term,implicit-throughout,exegetical-intra-volume,Agency idiom largely absent from Moore's strategy
E-MOORE-05,GM-12-MOORE,unit,recessive-on,Purpose,pentad-term,489-implicit,exegetical-intra-volume,Purpose appears only via appreciation-as-secular-glorification analog
E-MOORE-06,GM-12-MOORE,unit,foregrounds,act-agent-ratio,ratio,486-498,exegetical-intra-volume,Signature attentive act diagnostic of Moore-as-agent
E-MOORE-07,GM-12-MOORE,unit,foregrounds,scene-act-ratio,ratio,489-491,exegetical-intra-volume,Description as logical ground of assertive act in Spenser's Ireland
E-MOORE-08,GM-12-MOORE,unit,foregrounds,scene-agent-ratio,ratio,488-494,exegetical-intra-volume,People's Surroundings + basilisk-in-basilica catalog of correspondences
E-MOORE-09,GM-12-MOORE,unit,operationalizes,oeuvre-level-dramatism,method,programmatic-throughout,exegetical-intra-volume,Whole-body-of-work as analytic object; chapter's signature contribution
E-MOORE-10,GM-12-MOORE,unit,methodologically-pairs-with,GM-10-KEATS,unit,GM-12-485-GM-10-447,exegetical-intra-volume,GM-10 single-text + GM-12 oeuvre = two scales of dramatistic application
E-MOORE-11,GM-12-MOORE,unit,exemplifies-trope,synecdoche,trope,494,exegetical-intra-volume,Chasm-in-sea becomes sea-in-chasm; years subsume synecdochic reversibility
E-MOORE-12,GM-12-MOORE,unit,anticipates,GM-13-TROPES,unit,494-505,exegetical-intra-volume,Synecdochic reversibility worked here is theorized in GM-13
E-MOORE-13,GM-12-MOORE,unit,redeploys-from,GM-04-SCENE,unit,488-Burke-489,exegetical-intra-volume,Scene-as-materialism vocabulary applied at scene-as-poem-background
E-MOORE-14,GM-12-MOORE,unit,redeploys-from,GM-05-AGENT,unit,488-489,exegetical-intra-volume,Agent-as-idealism vocabulary applied at agent-as-poetic-speaker
E-MOORE-15,GM-12-MOORE,unit,redeploys-from,GM-06-ACT,unit,498,exegetical-intra-volume,Act-as-realism vocabulary applied at trunk-as-act; realism in its purity
E-MOORE-16,GM-12-MOORE,unit,explicitly-sources,Henry-James-prefaces,interlocutor,489,exegetical-intra-volume,Burke names James as source of act/scene/agent in Moore reading
E-MOORE-17,GM-12-MOORE,unit,quotes,Spoils-of-Poynton-preface,citation,489,exegetical-intra-volume,James on appreciation as appropriation
E-MOORE-18,GM-12-MOORE,unit,locates-in-period-with,T-S-Eliot,interlocutor,485-486,exegetical-intra-volume,Eliot's Selected-Poems introduction is Burke's framing source
E-MOORE-19,GM-12-MOORE,unit,places-in-imagist-orbit,H-D,interlocutor,485-486,exegetical-intra-volume,Via Eliot citation
E-MOORE-20,GM-12-MOORE,unit,parallels,William-Carlos-Williams,interlocutor,486,exegetical-intra-volume,Objectivist trade-name shared
E-MOORE-21,GM-12-MOORE,unit,proportion-theory,Symbolism-Imagism-Objectivism,taxonomy,486-487,exegetical-intra-volume,Same ingredients in different proportions; load-bearing transferable
E-MOORE-22,Moore-strategy,concept,is-substance-of,Moore-oeuvre,corpus,485-486,exegetical-intra-volume,Substance-as-strategy programmatic commitment
E-MOORE-23,appreciation-as-motive,concept,redeems,complaint,emotional-state,489,exegetical-intra-volume,Burke's redemption-of-complaint claim
E-MOORE-24,appreciation-as-motive,concept,secular-analog-of,glorification,religious-motive,489,exegetical-intra-volume,Closest secular equivalent to religious motive
E-MOORE-25,contractility,concept,equates,style,esthetic-value,498,exegetical-intra-volume,To-a-Snail compression = first grace of style
E-MOORE-26,contractility,concept,equates,virtue,moral-value,498,exegetical-intra-volume,Contractility as virtue alongside modesty
E-MOORE-27,jeopardy,concept,context-of,contractility,concept,499-500,exegetical-intra-volume,Pangolin / Bird-Witted; armored animals as thesaurus of protectivenesses
E-MOORE-28,withinness-of-withinness,concept,instances-in,Four-Quartz-Crystal-Clocks,poem,487,exegetical-intra-volume,Clocks-for-clocks; motives-behind-motives
E-MOORE-29,trunk-as-act,exhibit,decodes-via,Black-Earth,poem,497-498,exegetical-intra-volume,Smooth Gnarled Crape Myrtle readable only against Black Earth
