stimulus,channel,subject,round,value,poolable
INT,eye closure,S01,1,0.0697556008147,True
INT,eye closure,S02,1,0.0524924471299,True
INT,eye closure,S03,1,0.121641426478,True
INT,eye closure,S04,1,0.0498301245753,True
INT,eye closure,S05,1,0.139401394014,True
INT,eye closure,S06,1,0.100706713781,True
INT,eye closure,S07,1,0.21435968243,True
INT,eye closure,S08,1,0.10542432196,True
INT,eye closure,R2-01,2,0.083227544228,True
INT,eye closure,R2-02,2,0.0232712117766,True
INT,eye closure,R2-03,2,0.0545838212334,True
INT,eye closure,R2-04,2,0.0709057676686,True
INT,pupil dilation,S01,1,2.88737145557,True
INT,pupil dilation,S02,1,3.59970275916,True
INT,pupil dilation,S03,1,3.56273225743,True
INT,pupil dilation,S04,1,3.13173740749,True
INT,pupil dilation,S05,1,3.32115745159,True
INT,pupil dilation,S06,1,3.57030055319,True
INT,pupil dilation,S07,1,2.65056949185,True
INT,pupil dilation,S08,1,3.9934400817,True
INT,pupil dilation,R2-01,2,3.00021935141,True
INT,pupil dilation,R2-02,2,3.28907929326,True
INT,pupil dilation,R2-03,2,3.78842175162,True
INT,pupil dilation,R2-04,2,3.97181227853,True
INT,cognitive load,S01,1,0.506990623727,True
INT,cognitive load,S02,1,0.471481480363,True
INT,cognitive load,S03,1,0.485450672203,True
INT,cognitive load,S04,1,0.547491934692,True
INT,cognitive load,S05,1,0.565651082821,True
INT,cognitive load,S06,1,0.601210553445,True
INT,cognitive load,S07,1,0.558986412841,True
INT,cognitive load,S08,1,0.522547153543,True
INT,cognitive load,R2-01,2,0.538119586179,True
INT,cognitive load,R2-02,2,0.520758557317,True
INT,cognitive load,R2-03,2,0.541608051574,True
INT,cognitive load,R2-04,2,0.516065824338,True
INT,HR,S01,1,76.2474541752,True
INT,HR,S02,1,67.5026435045,True
INT,HR,S03,1,95.8778700537,True
INT,HR,S04,1,94.3189882975,True
INT,HR,S05,1,58.6818181818,True
INT,HR,S06,1,89.9792402827,True
INT,HR,S07,1,90.7877114256,True
INT,HR,S08,1,81.75696767,True
INT,HR,R2-01,2,64.5813953488,True
INT,HR,R2-02,2,67.4126213592,True
INT,HR,R2-03,2,88.645631068,True
INT,HR,R2-04,2,75.7087378641,True
INT,gaze deviation variance,S01,1,0.00858282465875,False
INT,gaze deviation variance,S02,1,0.0108497077248,False
INT,gaze deviation variance,S03,1,0.00889440595004,False
INT,gaze deviation variance,S04,1,0.0151795033656,False
INT,gaze deviation variance,S05,1,0.00676518165407,False
INT,gaze deviation variance,S06,1,0.011567636128,False
INT,gaze deviation variance,S07,1,0.00839077065573,False
INT,gaze deviation variance,S08,1,0.0107800887979,False
INT,gaze deviation variance,R2-01,2,0.0131021583015,False
INT,gaze deviation variance,R2-02,2,0.0123488776212,False
INT,gaze deviation variance,R2-03,2,0.007249176169,False
INT,gaze deviation variance,R2-04,2,0.00920790011099,False
INT,gaze deviation (per-file baseline),S01,1,0.136257009847,False
INT,gaze deviation (per-file baseline),S02,1,0.165512084151,False
INT,gaze deviation (per-file baseline),S03,1,0.167919488119,False
INT,gaze deviation (per-file baseline),S04,1,0.196053564109,False
INT,gaze deviation (per-file baseline),S05,1,0.13506015885,False
INT,gaze deviation (per-file baseline),S06,1,0.167388769038,False
INT,gaze deviation (per-file baseline),S07,1,0.173756943472,False
INT,gaze deviation (per-file baseline),S08,1,0.170649933602,False
INT,gaze deviation (per-file baseline),R2-01,2,0.142534995211,False
INT,gaze deviation (per-file baseline),R2-02,2,0.149044858102,False
INT,gaze deviation (per-file baseline),R2-03,2,0.121451997405,False
INT,gaze deviation (per-file baseline),R2-04,2,0.104645255044,False
