subject,stimulus,retained_epoch_pct,duration_min,frontal_alpha,parietal_alpha,frontal_theta,parietal_theta,dmn_power,parietal_alpha_only,F3_alpha,F3_theta,F4_alpha,F4_theta,P3_alpha,P3_theta,P4_alpha,P4_theta,qc_flag
S01,BOR,62.9,17.8,1.5362526530728278,10.931234307984031,12.998399506255407,24.06001529778601,24.762950882549134,10.931234307984031,1.3152885261667615,11.627983614059422,1.757216779978894,14.368815398451389,9.92509420156051,23.512309202619395,11.937374414407552,24.607721392952623,retained62.9%
S01,CLC,56.6,18.0,1.2205728414424595,8.287270439927815,4.162045772877674,10.622278347973069,12.146083701110507,8.287270439927815,0.9716201380999022,3.530496008739785,1.4695255447850168,4.793595537015562,7.262932277129528,10.294159716684959,9.3116086027261,10.950396979261177,retained56.6%
S01,INT,54.4,16.7,0.8865541388575486,5.353640675470494,3.8377126141280566,8.745081118133765,9.411494273294931,5.353640675470494,0.7020692036944082,3.274714944175916,1.0710390740206892,4.400710284080197,4.5190053735948785,8.626138777128771,6.18827597734611,8.86402345913876,retained54.4%
S02,BOR,51.1,17.1,1.5022969556016272,10.483281282625654,5.372983214083652,17.74739899399764,17.552980223154286,10.483281282625654,1.4063927535896164,5.017024207259218,1.5982011576136381,5.728942220908086,10.110217248302357,17.248334712133175,10.856345316948953,18.2464632758621,retained51.1%
S02,CLC,63.2,17.0,2.1091530772075937,10.140320635424338,8.24843843499555,30.187080442694977,25.34249629516123,10.140320635424338,1.804781374750649,7.432088351159034,2.4135247796645385,9.064788518832067,10.059347086574604,29.833228043658625,10.221294184274074,30.540932841731333,retained63.2%
S02,INT,56.7,17.0,2.196427883085202,9.076797446135107,6.786687261631123,16.373875473543585,17.21689403219751,9.076797446135107,1.8839056352789263,6.1027819359541144,2.508950130891478,7.470592587308132,8.803241685680893,15.952036826672279,9.350353206589318,16.795714120414893,retained56.7%
S03,BOR,74.2,17.4,1.8233358693452228,12.954094726684858,6.079021767154153,25.266616300665156,23.061534331924697,12.954094726684858,1.9593225339225497,6.537310249904674,1.687349204767896,5.620733284403632,11.008371124457694,24.49795211343865,14.899818328912023,26.035280487891665,retained74.2%
S03,CLC,69.3,16.1,2.0607597824637445,9.702432366970616,5.383689295463553,23.536539283817888,20.3417103643579,9.702432366970616,2.0903250702683067,5.229598027427072,2.0311944946591827,5.537780563500033,8.827034844412228,22.714102960453996,10.577829889529001,24.358975607181783,retained69.3%
S03,INT,74.4,16.0,2.769195659140352,13.150997951487625,7.544486713344667,32.017994841947164,27.741337582959904,13.150997951487625,2.929826746521749,7.521777164547494,2.6085645717589543,7.56719626214184,11.079089871213073,31.0164036814176,15.222906031762177,33.01958600247673,retained74.4%
S04,BOR,62.9,17.0,2.267096849113588,15.707393621341827,14.126768267151988,52.28637923958944,42.19381898859842,15.707393621341827,2.1146976600464877,13.827519274836863,2.4194960381806876,14.426017259467114,13.832455279447867,53.057409249841214,17.582331963235788,51.51534922933765,retained62.9%
S04,CLC,62.1,17.1,3.0327679647925483,15.74598722840265,10.82088344044036,36.17681554181391,32.88822708772474,15.74598722840265,2.8092159168437414,11.407675450813036,3.256320012741355,10.234091430067684,13.815891740162407,35.348291159057084,17.67608271664289,37.005339924570734,retained62.1%
S04,INT,70.4,16.9,2.50346491116658,11.613696348978802,8.646577760814395,27.962216426709276,25.362977723834526,11.613696348978802,2.381015926620154,8.724957665063714,2.625913895713006,8.568197856565078,10.731449602218767,26.811090338789715,12.495943095738838,29.113342514628833,retained70.4%
S05,BOR,65.8,17.2,1.4378415123119512,71.94604027588316,2.6344343892602415,17.30550711640297,46.661911646929155,71.94604027588316,1.42019936017512,2.348705695581215,1.4554836644487825,2.9201630829392675,76.11372844097899,18.653346363999354,67.77835211078734,15.957667868806588,retained65.8%
S05,CLC,46.5,16.1,2.054666597948503,13.958774547639866,9.858649972997824,26.51259136372833,26.19234124115726,13.958774547639866,1.9759652304833975,10.5201913207848,2.133367965413608,9.19710862521085,0.3105512153151305,0.500722636198568,27.606997879964602,52.52446009125809,retained46.5%
S05,INT,68.3,16.9,1.7602302275522885,19.570335488231496,6.102508757215727,23.675051273434775,25.55406287321714,19.570335488231496,1.5579563011177522,5.710487357497923,1.962504153986825,6.49453015693353,20.60058950311431,24.618193412243073,18.540081473348682,22.731909134626477,retained68.3%
S06,BOR,63.5,17.0,1.20963977479608,11.87644514909637,5.996301317680642,21.33372442915586,20.208055335364477,11.87644514909637,1.4982626324737363,7.164564729622443,0.9210169171184239,4.82803790573884,12.188294558586787,21.58773043278714,11.564595739605952,21.079718425524582,trimmed;retained63.5%
S06,CLC,64.0,16.9,1.2071591847536265,11.884057601873819,5.998713553886245,21.35190279847042,20.22091656949205,11.884057601873819,1.4954426668897038,7.16414077262098,0.918875702617549,4.833286335151509,12.197644666356602,21.602760591102008,11.570470537391035,21.101045005838827,retained64.0%
