subject,stimulus,window,n_samples,duration_s,cognitive_load_mean,cognitive_load_slope,hr_mean,hr_slope,hrv_mean,left_eye_dilation_mean,right_eye_dilation_mean,eye_gaze_deviation_mean,gaze_dev_median,gaze_dev_variance,dil_mean_bilateral,gaze_dev_variance_dec3hz,openness_mean_bilateral
R2-01,BOR,full,132811,1106.5,0.52986919277865,2.7036018441331202e-05,,,,2.8824751127465613,2.7541015015895693,0.20164014232645974,0.18053210579180043,0.012287364579045737,2.818288307168065,0.010265909275690849,0.7717922461241915
R2-01,CLC,full,133667,1113.7,0.5204872865865866,-0.00021833049965244684,58.36538461538461,0.0009136093874715886,,2.8637810750679735,2.6838542190996404,0.1829175689874822,0.16873093434657233,0.011334035390312882,2.773817647083807,0.008535554832603391,0.9079952419071273
R2-01,INT,full,140143,1711057218.8,0.5378331432344498,-5.4060409630023594e-05,64.15315315315316,0.0005084984296287881,,3.154463036669257,2.9955434918782613,0.17334030847002094,0.14171647611630098,0.013334228407577066,3.075003264273759,0.009738165058238232,0.862150533030783
R2-02,BOR,full,132869,1107.0,0.47133033934169277,-6.993867570691976e-05,,,,3.515580440399538,3.305751552435298,0.2064618323153259,0.19433883095415697,0.011434970360907694,3.4106659964174177,0.008311256407939178,0.712359542105382
R2-02,CLC,full,133361,1111.0,0.4676304900900901,-0.00012875425467435584,69.54377880184332,-0.001697222232151984,,4.142032474906863,3.855496660976896,0.16196858899524494,0.14106817457682827,0.009678634250028564,3.9987645679418793,0.006717208467915967,0.9087132573485303
R2-02,INT,full,134305,1119.0,0.5182039556112225,-5.1012302486320916e-05,67.38709677419355,-0.001422993654561248,,3.2789796737069308,3.3248236974354395,0.1761243677747629,0.14821281061355301,0.01224206918442847,3.301901685571185,0.008950255938407169,0.9161715213247558
R2-03,BOR,full,148653,1238.5,0.5587863802458297,-5.952516148188824e-05,78.70416666666667,0.003869042741323194,,3.9542262436742877,3.805170374947925,0.14750350005308283,0.12829815311637383,0.00809382617900263,3.8796983093111064,0.006036459208281372,0.8452291257433469
R2-03,CLC,full,157434,1311.7,0.5379168154521511,-4.100148145409354e-06,76.97338403041825,-0.004638182972829482,,3.8991167338440635,3.7583480752751353,0.13274709116978334,0.11896558705228207,0.006272278507112226,3.8287324045595996,0.00428116217703747,0.8897474497249641
R2-03,INT,full,291609,2429.5,0.5647813674122807,-2.346046961582067e-05,88.33887733887734,-0.0002756525779559739,,4.343702593232384,3.91712019320309,0.14357099174059992,0.12609604978963357,0.007496951786693142,4.130411393217737,0.004890340790100544,0.9042810750011145
R2-04,BOR,full,131937,1099.3,0.47326630653061225,0.00022463412131450188,72.97129186602871,-0.0039313462896283175,,3.694746952780087,3.8667993566044383,0.14598610190838074,0.12182053358980989,0.009756562037342303,3.7807731546922625,0.008134437183596473,0.868846494918029
R2-04,CLC,full,137982,1149.7,0.47556248215031316,-7.656835787694171e-05,73.03571428571429,-0.0038958827747148186,,3.7315562132873086,3.967439332502759,0.14425810856907523,0.11066689349631534,0.01121595048331594,3.8494977728950337,0.00905480123906092,0.9013313330724297
R2-04,INT,full,133410,1111.5,0.5122820393213574,-4.5787657433210255e-05,76.22119815668202,-0.009516864238900006,,3.8737325571426133,4.076229973670869,0.1321234099131408,0.10471560305025655,0.009097745268468885,3.974981265406741,0.006598339257144119,0.8746046023536467
