subject,stimulus,quantity,value,kind
R2-04,BOR,eye openness,-0.735426578921,within-subject z
R2-04,BOR,pupil dilation,-0.88999973812,within-subject z
R2-04,BOR,cognitive load,-0.628996671805,within-subject z
R2-04,BOR,HR,-0.594599845253,within-subject z
R2-04,BOR,gaze deviation variance,-0.246172814252,within-subject z
R2-04,BOR,gaze deviation median,1.0847837476,within-subject z
R2-04,CLC,eye openness,1.13866128399,within-subject z
R2-04,CLC,pupil dilation,-0.192122842519,within-subject z
R2-04,CLC,cognitive load,-0.524115037556,within-subject z
R2-04,CLC,HR,-0.559927158151,within-subject z
R2-04,CLC,gaze deviation variance,1.10009674952,within-subject z
R2-04,CLC,gaze deviation median,-0.199706645468,within-subject z
R2-04,INT,eye openness,-0.403234705065,within-subject z
R2-04,INT,pupil dilation,1.08212258064,within-subject z
R2-04,INT,cognitive load,1.15311170936,within-subject z
R2-04,INT,HR,1.1545270034,within-subject z
R2-04,INT,gaze deviation variance,-0.853923935267,within-subject z
R2-04,INT,gaze deviation median,-0.885077102127,within-subject z
R2-04,BOR,boredom,7,self-report
R2-04,BOR,engagement,1,self-report
R2-04,BOR,sleep-fight,6,self-report
R2-04,BOR,fatigue before,3,self-report
R2-04,BOR,fatigue after,5,self-report
R2-04,CLC,boredom,2,self-report
R2-04,CLC,engagement,3,self-report
R2-04,CLC,sleep-fight,1,self-report
R2-04,CLC,fatigue before,3,self-report
R2-04,CLC,fatigue after,3,self-report
R2-04,INT,boredom,3,self-report
R2-04,INT,engagement,7,self-report
R2-04,INT,sleep-fight,4,self-report
R2-04,INT,fatigue before,2,self-report
R2-04,INT,fatigue after,5,self-report
