subject,stimulus,quantity,value,kind
R2-04,BOR,eye openness,0.868846494918,physiology
R2-04,CLC,eye openness,0.901331333072,physiology
R2-04,INT,eye openness,0.874604602354,physiology
R2-04,BOR,pupil dilation,3.78077315469,physiology
R2-04,CLC,pupil dilation,3.8494977729,physiology
R2-04,INT,pupil dilation,3.97498126541,physiology
R2-04,BOR,cognitive load,0.473266306531,physiology
R2-04,CLC,cognitive load,0.47556248215,physiology
R2-04,INT,cognitive load,0.512282039321,physiology
R2-04,BOR,HR,72.971291866,physiology
R2-04,CLC,HR,73.0357142857,physiology
R2-04,INT,HR,76.2211981567,physiology
R2-04,BOR,gaze deviation variance,0.00975656203734,physiology
R2-04,CLC,gaze deviation variance,0.0112159504833,physiology
R2-04,INT,gaze deviation variance,0.00909774526847,physiology
R2-04,BOR,gaze deviation median,0.12182053359,physiology
R2-04,CLC,gaze deviation median,0.110666893496,physiology
R2-04,INT,gaze deviation median,0.10471560305,physiology
R2-04,BOR,head motion (gyro),5.22360545068,physiology
R2-04,CLC,head motion (gyro),5.12991631571,physiology
R2-04,INT,head motion (gyro),2.94652452756,physiology
R2-04,BOR,boredom,7,self-report
R2-04,CLC,boredom,2,self-report
R2-04,INT,boredom,3,self-report
R2-04,BOR,engagement,1,self-report
R2-04,CLC,engagement,3,self-report
R2-04,INT,engagement,7,self-report
R2-04,BOR,felt duration (min),20,self-report
R2-04,CLC,felt duration (min),15,self-report
R2-04,INT,felt duration (min),15,self-report
