source,target,relation,evidence_book_pages,edge_type,provenance
representative-anecdote-applied,constitution-as-stance-word,grounds-selection-of,323-340,methodological,exegetical
representative-anecdote-applied,terminal-as-anecdote,rejects-as-metonymic,326-328,methodological,exegetical
representative-anecdote-applied,total-war-as-representative-case,partially-rejects,328-335,methodological,exegetical
metonymic-vs-synecdochic-anecdote,representative-anecdote-applied,defines-criterion-of,326-328,definitional,exegetical
two-concentric-circles,coleridge-pantisocracy,inherited-from-biographia,325-326,intertextual,exegetical
two-concentric-circles,GM-01-CONTAINER-scene-act-ratio,extends-into,325-326,intra-volume,exegetical
total-war-as-representative-case,constitutive-vs-admonitory,licenses-partial-use-of-war,328-332,methodological,exegetical
constitutive-vs-admonitory,peace-constitutive-or-directive,instantiated-by,330-335,methodological,exegetical
peace-constitutive-or-directive,religious-vs-secular-futurism,leads-into,332-336,methodological,exegetical
religious-vs-secular-futurism,ontology-vs-futurism,subordinated-under,333-337,conceptual,exegetical
ontology-vs-futurism,scene-act-master-ratio-constitutional,grounds-in,336-337,scene-act-ratio,exegetical
imagistic-vs-conceptual-summary,five-terms-as-beginning,resolves-via,338-341,methodological,exegetical
five-terms-as-beginning,GM-00-INTRO-pentad,reasserts-canonical-statement,340-341,intra-volume,exegetical
constitution-as-stance-word,GM-02-ANTINOMIES-substance-vocabulary,inherits-from,323-341,intra-volume,exegetical
six-dictionary-meanings-of-constitution,constitution-as-stance-word,demonstrates-pentadic-spread-of,341,definitional,exegetical
six-dictionary-meanings-of-constitution,five-terms-as-beginning,covers-all-five-terms,341,pentad-applied,exegetical
law-as-codification-vs-innovation,GM-09-DIALECTIC-GEN-transformation-of-terms,prefigures,342-343,intra-volume,exegetical
anarchism-as-ideal,anarcho-syndicalism-oxymoron,collapses-into-when-organized,344-346,case-study,exegetical
anarcho-syndicalism-oxymoron,anarcho-syndicalist-constitution,operationalized-as,345-349,case-study,exegetical
anarcho-syndicalist-constitution,ideal-vs-organizational,exemplifies-tension,345-349,structural-tension,exegetical
positive-vs-negative-laissez-faire,spectrum-freedom-capitalism,located-on,349-353,case-study,exegetical
spectrum-freedom-capitalism,strategic-choice-of-circumference,governed-by,350-355,methodological,exegetical
strategic-choice-of-circumference,money-as-god-term,instantiated-by,354-356,case-study,exegetical
money-as-god-term,GM-04-SCENE-materialism,extends-scene-as-motive-locus,355-356,intra-volume,exegetical
money-as-god-term,principles-vs-reform,connects-to,355-357,case-study,exegetical
principles-vs-reform,constitutions-agonistic,exploited-rhetorically-by,356-360,methodological,exegetical
constitutions-agonistic,constitutions-addressed-by-agents-to-agents,structures-address-via-opponent,357-362,structural,exegetical
constitutions-addressed-by-agents-to-agents,GM-05-AGENT-idealism,identifies-constitution-as,360-362,intra-volume,exegetical
constitution-behind-the-constitution,scene-act-master-ratio-constitutional,implements,362-364,scene-act-ratio,exegetical
constitution-behind-the-constitution,capitalist-constitution,instantiated-as-business-values-in-US-case,362-364,case-study,exegetical
capitalist-constitution,shifts-locus-of-representative,produces,363-365,structural,exegetical
shifts-locus-of-representative,generalizing-of-wishes,answered-by-strategy-of,365-367,methodological,exegetical
generalizing-of-wishes,limits-and-powers-of-a-constitution,explains,365-368,methodological,exegetical
coleridge-pantisocracy,motive-vs-impulse,illustrates-via,368-371,intertextual,exegetical
motive-vs-impulse,ideal-vs-organizational,parallels,368-371,structural,exegetical
constitutions-partially-representative,coleridge-pantisocracy,demonstrated-by,371-373,case-study,exegetical
principles-of-conflict-among-principles,essentializing-vs-proportional,grounds,373-380,methodological,exegetical
constitution-makes-extra-constitutionality-mandatory,constitution-behind-the-constitution,requires-recourse-to,376-378,structural,exegetical
every-law-partially-constitutional,essentializing-vs-proportional,motivates-distinction,378-380,methodological,exegetical
essentializing-vs-proportional,marshall-judicial-review,exemplified-via-marbury,380-388,case-study,exegetical
marshall-judicial-review,capitalist-constitution,situates-in,385-388,case-study,exegetical
constitutional-unity-and-political-diversity,role-of-the-president,resolved-temporally-by,388-393,structural,exegetical
role-of-the-president,political-rhetoric-as-secular-prayer,exercised-via,391-394,rhetorical,exegetical
political-rhetoric-as-secular-prayer,constitutive-vs-admonitory,instantiates-distinction,393-394,rhetorical,exegetical
war-and-collective-sacrifice,money-as-god-term,inverts-individualist-substance-of,394-398,structural,exegetical
war-and-collective-sacrifice,constitutive-vs-admonitory,re-instantiates,394-398,case-study,exegetical
dialectics-of-federation,two-concentric-circles,maps-onto-imagination-fancy-via,398-401,intertextual,exegetical
dialectics-of-federation,constitutional-unity-and-political-diversity,resolves-spatially,398-401,structural,exegetical
representative-anecdote-applied,GM-03-SCOPE-representative-anecdote,inherits-from-Part-1.III,323-340,intra-volume,exegetical
constitution-as-stance-word,GM-13-TROPES-synecdoche,uses-trope-of,326-328,intra-volume,exegetical
metonymic-vs-synecdochic-anecdote,GM-13-TROPES-metonymy,uses-trope-of,326-328,intra-volume,exegetical
money-as-god-term,Calleja-PIM-anticipatory,template-for-diagnosing-game-theory-god-terms,355-356,cross-pipeline,anticipatory-projection
constitution-behind-the-constitution,Calleja-PIM-anticipatory,template-for-implicit-ground-of-game-theories,362-364,cross-pipeline,anticipatory-projection
strategic-choice-of-circumference,Calleja-PIM-anticipatory,template-for-circumference-of-game-experience-key-terms,354-355,cross-pipeline,anticipatory-projection
five-terms-as-beginning,Aristotle-final-cause-prime-mover,explicitly-cites,340,cross-pipeline,exegetical
constitutions-partially-representative,Burke-Rhetoric-of-Motives-1950,prefigures-consubstantiality,371-373,cross-pipeline,forward-reference
total-war-as-representative-case,Burke-War-of-Words-2018,anticipates-conflict-analytic,328-335,cross-pipeline,forward-reference
political-rhetoric-as-secular-prayer,Burke-War-of-Words-2018,anticipates-late-Burke-rhetoric-of-war,393-394,cross-pipeline,forward-reference
constitution-behind-the-constitution,Heidegger-Worumwillen-In-der-Welt-sein,parallels-implicit-ground-of-Dasein,362-364,cross-pipeline,anticipatory-projection
constitution-behind-the-constitution,Rickert-ambient-rhetoric,parallels-ambient-scenic-ground,362-364,cross-pipeline,anticipatory-projection
constitutive-vs-admonitory,Gross-uncomfortable-situations-incipient-acts,parallels-structure-of,330-332,cross-pipeline,anticipatory-projection
coleridge-pantisocracy,Coleridge-Biographia-ch-XXII,inherits-concentric-circles,325-326,intertextual,exegetical
essentializing-vs-proportional,GM-06-ACT-realism,connects-to-aristotelian-substance-as-act,380-385,intra-volume,exegetical
dialectics-of-federation,Coleridge-fancy-imagination,maps-onto,400-401,intertextual,exegetical
role-of-the-president,FDR-action-vs-motion,instantiated-by-polio-motivational-background,391-393,case-study,exegetical
constitutions-agonistic,GM-09-DIALECTIC-GEN-transformation,prefigures-dialectic-of-opponents,357-360,intra-volume,exegetical
war-and-collective-sacrifice,Adam-Smith-individualist-dialectic,inverts,397,intertextual,exegetical
