subject,stimulus,quantity,value,kind
R2-03,BOR,eye closure,0.116570351144,physiology
R2-03,CLC,eye closure,0.0639942637396,physiology
R2-03,INT,eye closure,0.0545838212334,physiology
R2-03,BOR,pupil dilation,3.8459363748,physiology
R2-03,CLC,pupil dilation,3.83660966004,physiology
R2-03,INT,pupil dilation,3.78842175162,physiology
R2-03,BOR,cognitive load,0.547926283707,physiology
R2-03,CLC,cognitive load,0.53737282493,physiology
R2-03,INT,cognitive load,0.541608051574,physiology
R2-03,BOR,HR,79.1625615764,physiology
R2-03,CLC,HR,76.8638297872,physiology
R2-03,INT,HR,88.645631068,physiology
R2-03,BOR,gaze deviation variance,0.00824855148803,physiology
R2-03,CLC,gaze deviation variance,0.00641415893199,physiology
R2-03,INT,gaze deviation variance,0.007249176169,physiology
R2-03,BOR,gaze deviation (per-file baseline),0.131123317035,physiology
R2-03,CLC,gaze deviation (per-file baseline),0.121095087891,physiology
R2-03,INT,gaze deviation (per-file baseline),0.121451997405,physiology
R2-03,BOR,head motion (gyro),,physiology
R2-03,CLC,head motion (gyro),,physiology
R2-03,INT,head motion (gyro),,physiology
R2-03,BOR,boredom,3,self-report
R2-03,CLC,boredom,1,self-report
R2-03,INT,boredom,2,self-report
R2-03,BOR,engagement,6,self-report
R2-03,CLC,engagement,8,self-report
R2-03,INT,engagement,8,self-report
R2-03,BOR,felt duration (min),20,self-report
R2-03,CLC,felt duration (min),20,self-report
R2-03,INT,felt duration (min),15,self-report
