source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-DRAMATISM,defines,C-PENTAD,dramatism,1,15,burke-own-claim,pentad as generating-principle of the dramatistic method
C-PENTAD,defines,C-ACT,dramatism,1,15,burke-own-claim,Act named as one of five key terms
C-PENTAD,defines,C-SCENE,dramatism,1,15,burke-own-claim,Scene named as one of five key terms
C-PENTAD,defines,C-AGENT,dramatism,1,15,burke-own-claim,Agent named as one of five key terms
C-PENTAD,defines,C-AGENCY,dramatism,1,15,burke-own-claim,Agency named as one of five key terms
C-PENTAD,defines,C-PURPOSE,dramatism,1,15,burke-own-claim,Purpose named as one of five key terms
C-ACT,glosses-question,Q-WHAT-WAS-DONE,dramatism,1,15,burke-own-claim,Act answers 'what was done?'
C-SCENE,glosses-question,Q-WHEN-WHERE,dramatism,1,15,burke-own-claim,Scene answers 'when or where was it done?'
C-AGENT,glosses-question,Q-WHO,dramatism,1,15,burke-own-claim,Agent answers 'who did it?'
C-AGENCY,glosses-question,Q-HOW,dramatism,1,15,burke-own-claim,Agency answers 'how he did it?'
C-PURPOSE,glosses-question,Q-WHY,dramatism,1,15,burke-own-claim,Purpose answers 'why?'
C-AGENT,defines,C-CO-AGENT,dramatism,2,19,burke-own-claim,Agent subdivides into co-agents (friends)
C-AGENT,defines,C-COUNTER-AGENT,dramatism,2,19,burke-own-claim,Agent subdivides into counter-agents (enemies)
C-DRAMATISM,defines,C-GRAMMAR-OF-MOTIVES,dramatism,1,16,burke-own-claim,Grammar of motives = concern with terms alone
C-GRAMMAR-OF-MOTIVES,contests,C-PHILOSOPHIC-IDIOM,philosophy-of-history-of-philosophy,1,17,burke-own-claim,Grammar/idiom is the two-level signature distinction
C-PHILOSOPHIC-IDIOM,instances-in-text,C-SCENE,philosophy-of-history-of-philosophy,1,17,burke-own-claim,God/nature/environment/history/means-of-production as substitutions for Scene
C-GRAMMAR-OF-MOTIVES,defines,C-CASUISTRY,dramatism,2,17,burke-own-claim,philosophies are casuistries applying grammatical principles to temporal situations
C-CASUISTRY,instances-in-text,C-PHILOSOPHIC-IDIOM,philosophy-of-history-of-philosophy,2,17,burke-own-claim,each philosophic idiom is a casuistry
C-UNIVERSAL-GRAMMAR-OPEN-IDIOM,defines,C-GRAMMAR-OF-MOTIVES,dramatism,1,17,burke-own-claim,grammatical principles claim universal validity
C-UNIVERSAL-GRAMMAR-OPEN-IDIOM,qualifies,C-PHILOSOPHIC-IDIOM,philosophy-of-history-of-philosophy,1,17,burke-own-claim,philosophic idioms are open to question (not universal)
C-AMBIGUITY-AS-RESOURCE,contests,X-SYMBOLIC-LOGIC,dramatism,1,18,burke-own-claim,Burke against logical positivism's no-ambiguity ideal
C-AMBIGUITY-AS-RESOURCE,defines,C-GREAT-CENTRAL-MOLTENNESS,dramatism,1,19,burke-own-claim,ambiguity-areas are where transformations take place
C-GREAT-CENTRAL-MOLTENNESS,defines,C-COMMON-GROUND-SUBSTANCE,dramatism,1,19,burke-own-claim,distinctions arise out of common ground
C-COMMON-GROUND-SUBSTANCE,defines,C-PENTAD-OVERLAPS,dramatism,1,19,burke-own-claim,participation in common substance makes for transformability
C-COMMON-GROUND-SUBSTANCE,defines,C-CONSUBSTANTIAL,dramatism,2,19,burke-own-claim,A becomes consubstantial with non-A via descent to logical-substance ground
C-CONSUBSTANTIAL,bridges-to-pipeline,P-RHET-IDENTIFICATION,rhetorical-theory,2,19,burke-own-claim,proto-consubstantiation seed for forward Rhetoric of Motives pipeline
C-PENTAD-OVERLAPS,defines,C-FINGERS-PALM,dramatism,2,22,burke-own-claim,fingers-and-palm figure for pentad-overlap
C-FINGERS-PALM,extends,C-GREAT-CENTRAL-MOLTENNESS,dramatism,2,22,burke-own-claim,second pentad-relational metaphor extending the moltenness figure
C-WAKES-OF-LAUNCHES,defines,C-PENTAD-AS-GENERATING-PRINCIPLE,dramatism,2,16,burke-own-claim,Road to Victory aerial photo as opening figure for generating-principle
C-PENTAD-AS-GENERATING-PRINCIPLE,defines,C-PENTAD,dramatism,1,16,burke-own-claim,pentad as generating principle is the structural characterization
C-PENTAD-SUBSTITUTION,instances-in-text,C-PENTAD-OVERLAPS,dramatism,1,20,burke-own-claim,pentad-substitution works because of the overlaps
C-PENTAD-SUBSTITUTION,instances-in-text,L-HERO-FILE,dramatism,1,20,burke-own-claim,hero-villain-file is the fullest worked pentad-substitution
L-HERO-FILE,defines,C-CASUISTIC-LOCATION,dramatism,1,20,burke-own-claim,four casuistic locations demonstrated (agent/scene/co-agent/counter-agent)
C-CASUISTIC-LOCATION,instances-in-text,I-CHRISTIAN-HERETICS,dramatism,2,20,burke-own-claim,heretical-Judas worship as counter-agent location
C-CASUISTIC-LOCATION,cites,I-ENGELS,dramatism,2,21,burke-own-claim,Engels Anti-Duhring slavery passage as secular counter-agent reduction
C-CASUISTIC-LOCATION,cites,I-DEWEY,dramatism,2,21,burke-own-claim,Dewey-pragmatist agency reduction as fourth casuistic location
C-CASUISTIC-LOCATION,cites,I-MEAD,dramatism,2,21,burke-own-claim,Mead's philosophy of the act as Act-titular reduction
I-DEWEY,features-as-locus,C-AGENCY,philosophy-of-history-of-philosophy,1,21,burke-own-claim,Dewey foregrounds intelligence as instrument (agency embodied in scientific method)
I-MEAD,features-as-locus,C-ACT,philosophy-of-history-of-philosophy,1,21,burke-own-claim,Mead names his pragmatism a philosophy of the act
I-DEWEY,glosses,C-SCENE,philosophy-of-history-of-philosophy,2,21,burke-own-claim,Dewey: experience and nature as continuity (act/scene equivalents)
X-METAPHYSICS-GRAND-STYLE,extends,C-PENTAD-OVERLAPS,philosophy-of-history-of-philosophy,2,22,burke-own-claim,grand-style metaphysics exploits pentad-pliancy via reduction-to-one
C-METAPHYSICAL-REDUCTION-TO-ONE,instances-in-text,X-METAPHYSICS-GRAND-STYLE,philosophy-of-history-of-philosophy,2,22,burke-own-claim,being-in-general/action-in-general/motion-in-general as titular over-all terms
C-NO-METAPHYSICS-IMPLICIT,contests,C-METAPHYSICAL-REDUCTION-TO-ONE,philosophy-of-history-of-philosophy,2,22,burke-own-claim,No-Metaphysics is the atomic-constituent variant (X is nothing but Y)
C-DRAMATISM,qualifies,C-METAPHYSICAL-REDUCTION-TO-ONE,dramatism,1,22,burke-own-claim,dramatism makes pliancy explicit and refuses to causally privilege any one term
C-DRAMATISM,defines,C-LANGUAGE-AS-MODE-OF-ACTION,dramatism,1,22,burke-own-claim,dramatism's core: language and thought primarily as modes of action
C-DRAMATISM,defines,C-SYNOPTIC-PLACEMENT,dramatism,2,22,burke-own-claim,synoptic = system-of-placement (not historical universal-survey)
C-SYNOPTIC-PLACEMENT,contests,X-EMPIRICAL-MOTIVE-SCIENCE,dramatism,1,23,burke-own-claim,system-of-placement vs empirical motivational science
C-DRAMATISM,defines,C-PHILOSOPHIC-NOT-EMPIRICAL,dramatism,1,23,burke-own-claim,motivation is philosophic not empirical-scientific
C-PHILOSOPHIC-NOT-EMPIRICAL,contests,I-BEHAVIORISTS,dramatism,1,20,burke-own-claim,behaviorist stimulus-response = sheer motion not act
C-PHILOSOPHIC-NOT-EMPIRICAL,contests,X-EMPIRICAL-MOTIVE-SCIENCE,dramatism,1,23,burke-own-claim,closing programmatic statement
C-DRAMATISM,extends,C-HUMAN-BARNYARD,dramatism,3,17,burke-own-claim,project origin in theory of comedy
C-HUMAN-BARNYARD,defines,C-TRILOGY-PLAN,dramatism,2,18,burke-own-claim,Grammar/Rhetoric/Symbolic three-volume program
C-TRILOGY-PLAN,bridges-to-pipeline,P-RHET-OF-MOTIVES,rhetorical-theory,2,18,burke-own-claim,Rhetoric of Motives 1950 is the named second volume
C-TRILOGY-PLAN,bridges-to-pipeline,P-SYMBOLIC-OF-MOTIVES,rhetorical-theory,3,18,burke-own-claim,Symbolic of Motives (eventually War of Words 2018) is the third volume
C-ACT,maps-to-pim-dimension,PIM-LUDIC-NARRATIVE-KIN,game-studies,1,15,anticipatory-projection,Act maps to Ludic+Narrative+Kinesthetic
C-SCENE,maps-to-pim-dimension,PIM-SPATIAL-KIN,game-studies,1,15,anticipatory-projection,Scene maps to Spatial+Kinesthetic
C-AGENT,maps-to-pim-dimension,PIM-SHARED,game-studies,1,15,anticipatory-projection,Agent maps to Shared (+avatar question)
C-AGENCY,maps-to-pim-dimension,PIM-KIN-LUD,game-studies,1,15,anticipatory-projection,Agency maps to Kinesthetic(controls)+Ludic(rules-as-means)
C-PURPOSE,maps-to-pim-dimension,PIM-LUD-NAR-AFF,game-studies,1,15,anticipatory-projection,Purpose maps to Ludic-goals+Narrative-arc+Affective-regulation
C-ACT,awaits-ontological-grounding-in,ARIST-ENERGEIA-DYNAMIS,exegetical-bridge,1,15,exegetical-direct,Act = Aristotelian energeia/dynamis via Burke GM-06 (forward reference)
C-SCENE,awaits-ontological-grounding-in,HEID-IN-DER-WELT-SEIN,exegetical-bridge,1,15,anticipatory-projection,Scene anticipated to Heideggerian In-der-Welt-sein (no exegetical access in Burke 1945)
C-AGENT,awaits-ontological-grounding-in,HEID-DASEIN,exegetical-bridge,2,15,anticipatory-projection,Agent anticipated to Dasein (anticipatory only)
