subject,stimulus,quantity,value,kind
S06,BOR,eye openness,-1.10940039245,within-subject z
S06,BOR,pupil dilation,-1.03529266007,within-subject z
S06,BOR,cognitive load,0.488265335214,within-subject z
S06,BOR,HR,1.14179677997,within-subject z
S06,BOR,gaze deviation variance,1.15328846944,within-subject z
S06,BOR,gaze deviation median,0.0371255267152,within-subject z
S06,CLC,eye openness,0.832050294338,within-subject z
S06,CLC,pupil dilation,0.0747842397512,within-subject z
S06,CLC,cognitive load,-1.15033227135,within-subject z
S06,CLC,HR,-0.719979189992,within-subject z
S06,CLC,gaze deviation variance,-0.527204577576,within-subject z
S06,CLC,gaze deviation median,0.980920238724,within-subject z
S06,INT,eye openness,0.277350098113,within-subject z
S06,INT,pupil dilation,0.960508420315,within-subject z
S06,INT,cognitive load,0.662066936134,within-subject z
S06,INT,HR,-0.421817589983,within-subject z
S06,INT,gaze deviation variance,-0.626083891861,within-subject z
S06,INT,gaze deviation median,-1.01804576544,within-subject z
S06,BOR,boredom,4,self-report
S06,BOR,engagement,5,self-report
S06,BOR,sleep-fight,6,self-report
S06,BOR,fatigue before,8,self-report
S06,BOR,fatigue after,8,self-report
S06,CLC,boredom,6,self-report
S06,CLC,engagement,3,self-report
S06,CLC,sleep-fight,3,self-report
S06,CLC,fatigue before,6,self-report
S06,CLC,fatigue after,5,self-report
S06,INT,boredom,8,self-report
S06,INT,engagement,2,self-report
S06,INT,sleep-fight,6,self-report
S06,INT,fatigue before,4,self-report
S06,INT,fatigue after,6,self-report
