subject,stimulus,quantity,value,kind
R2-02,BOR,eye closure,1.15311821934,within-subject z
R2-02,BOR,pupil dilation,-0.432769644667,within-subject z
R2-02,BOR,cognitive load,-0.514239432447,within-subject z
R2-02,BOR,HR,,within-subject z
R2-02,BOR,gaze deviation variance,0.10510513997,within-subject z
R2-02,BOR,gaze deviation (per-file baseline),1.14190979161,within-subject z
R2-02,CLC,eye closure,-0.524225763121,within-subject z
R2-02,CLC,pupil dilation,1.14349475432,within-subject z
R2-02,CLC,cognitive load,-0.638239627609,within-subject z
R2-02,CLC,HR,0.707106781187,within-subject z
R2-02,CLC,gaze deviation variance,-1.04840129452,within-subject z
R2-02,CLC,gaze deviation (per-file baseline),-0.719385084361,within-subject z
R2-02,INT,eye closure,-0.628892456224,within-subject z
R2-02,INT,pupil dilation,-0.710725109655,within-subject z
R2-02,INT,cognitive load,1.15247906006,within-subject z
R2-02,INT,HR,-0.707106781187,within-subject z
R2-02,INT,gaze deviation variance,0.943296154553,within-subject z
R2-02,INT,gaze deviation (per-file baseline),-0.422524707246,within-subject z
R2-02,BOR,boredom,9,self-report
R2-02,BOR,engagement,1,self-report
R2-02,BOR,sleep-fight,9,self-report
R2-02,BOR,fatigue before,6,self-report
R2-02,BOR,fatigue after,9,self-report
R2-02,CLC,boredom,8,self-report
R2-02,CLC,engagement,4,self-report
R2-02,CLC,sleep-fight,7,self-report
R2-02,CLC,fatigue before,6,self-report
R2-02,CLC,fatigue after,8,self-report
R2-02,INT,boredom,7,self-report
R2-02,INT,engagement,6,self-report
R2-02,INT,sleep-fight,6,self-report
R2-02,INT,fatigue before,5,self-report
R2-02,INT,fatigue after,7,self-report
